#	Anglické textové atomy
BULLET	&#149;
TOK_COMPANY	SAP
TOK_LIB	Kurz
TOK_TOUR	Učební jednotka
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	Konec
BTN_CLOSE	Konec
BTN_OK	OK
BTN_CLOSE_DLG	Zavřít
BTN_CONTINUE	Pokračovat
BTN_PREVIEW	Náhled
BTN_PROCEED	Pokračovat
BTN_RESTART	Začít znovu
BTN_SKIP	Přeskočit
BTN_START	Zahájení
BTN_STOP	Zastavit
BTN_EXECUTE	Provést
CA_SWITCH	Kontextová nápověda
CONTENT_CAP	Obsah
MAIL_SUBJECT	Žádost o obsah pro desktopového asistenta
MAIL_HEADER	Vážený autore,\n\nrád bych Vás požádal(a) o obsah pro:
MAIL_FOOTER	- Proces/transakce: Popište aktuálně používaný aplikační proces. \n\n- Popis: Popište potřebné informace. \n\nS pozdravem
MAIL_DATA	- Název aplikace:
MAIL_TOOLTIP	Žádost o obsah
SHARE_TOOLTIP	Sdílet obsah
REQUEST_TEXT	Klikněte na %s, chcete-li požádat o obsah
REQUEST_LINK	zde
SEARCH_CAP	Hledání
INFO_CAP	Informace
SETTINGS_CAP	Nastavení
BACK_TOOLTIP	Zpět
SHARE_CONTENT_TOOLTIP	Sdílet obsah
CB_HIDE_OPTION	Již nezobrazovat
MY_ROLES	Moje role
EDIT_ROLES	Změnit role
NO_ROLES	Zobrazit obsah bez rolí
SELECT_ALL_CAPTION	Vybrat vše
USER_CAPTION	Uživatelská oblast
READ_MORE	Číse více...
NO_CATEGORY_CAPTION	Jiný obsah
DELETE_FAILED	Operace vymazání se nezdařila.
RENAME_FAILED	Operace přejmenování se nezdařila.
FILE_EXISTS	Soubor se stejným názvem již existuje. Zadejte jiný název.
LBL_YES	Ano
LBL_DELETE	Vymazat
LBL_NO	Ne
LBL_OK	OK
DELETE_DLG_TEXT	Opravdu chcete smazat vybrané dokumenty (%N)?
LBL_CONCURRENT	Spustit souběžný režim
LBL_DA	Desktopový asistent
