#	Στοιχεία Αγγλικού κειμένου
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Μάθημα
TOK_TOUR	Μάθημα
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	βιβλιοθήκη
BTN_ABORT	Εξοδος
BTN_CLOSE	Εξοδος
BTN_OK	ΟΚ
BTN_CLOSE_DLG	Κλείσιμο
BTN_CONTINUE	Συνέχεια
BTN_PREVIEW	Προεπισκόπηση
BTN_PROCEED	Συνέχεια
BTN_RESTART	Επανέναρξη
BTN_SKIP	Παράλειψη Βήματος
BTN_START	Εναρξη
BTN_STOP	Διακοπή
BTN_EXECUTE	Εκτέλεση
CA_SWITCH	Θεματική Βοήθεια
CONTENT_CAP	Περιεχ.
MAIL_SUBJECT	Απαίτηση Περιεχομένων για Βοηθό Επιφάνειας Εργασίας
MAIL_HEADER	Αγαπητέ δημιουργέ,\n\nθα ήθελα να ζητήσω περιεχόμενα για:
MAIL_FOOTER	Διαδικασία/Συναλλαγή: Παρακαλώ περιγράψτε την διαδικασία εφαρμογής που είναι σε χρήση τώρα \n\n- Περιγραφή: Παρακαλώ περιγράψτε τις πληροφορίες που χρειάζεστε. \n\nΜε εκτίμηση,
MAIL_DATA	- Ονομα Εφαρμογής:
MAIL_TOOLTIP	Απαίτηση Περιεχομένων
SHARE_TOOLTIP	Κοινή Χρήση Περιεχομένων
REQUEST_TEXT	Κάντε κλικ στο %s για να ζητήσετε περιεχόμενα 
REQUEST_LINK	εδώ
SEARCH_CAP	Αναζήτ
INFO_CAP	Πληροφ.
SETTINGS_CAP	Ρυθμίσεις
BACK_TOOLTIP	Πίσω
SHARE_CONTENT_TOOLTIP	Κοινή Χρήση Περιεχομένων
CB_HIDE_OPTION	Μην εμφανίσετε ξανά
MY_ROLES	Οι Ρόλοι Μου
EDIT_ROLES	Αλλαγή Ρόλων
NO_ROLES	Εμφάνιση Περιεχομένου Χωρίς Ρόλους
SELECT_ALL_CAPTION	Επιλογή Ολων
USER_CAPTION	Περιοχή Χρήστη
READ_MORE	Ανάγνωση περισσοτέρων...
NO_CATEGORY_CAPTION	Άλλο Περιεχόμενο
DELETE_FAILED	Διαγραφή απέτυχε.
RENAME_FAILED	Λειτουργία μετονομασίας απέτυχε.
FILE_EXISTS	Αρχείο με το ίδιο όνομα υπάρχει ήδη. Εισάγετε διαφορετικό όνομα.
LBL_YES	Ναι
LBL_DELETE	Διαγραφή
LBL_NO	Όχι
LBL_OK	Ok
DELETE_DLG_TEXT	Θέλετε να διαγράψετε τα επιλεγμένα έγγραφα (%N);
LBL_CONCURRENT	Εναρξη Ταυτόχρονης Λειτουργίας
LBL_DA	Βοηθός Επιφάνειας Εργασίας
LBL_SIM	Έναρξη Προσομοίωσης
LBL_CDOC	Ανοικτό
LBL_DEMO	Εναρξη Λειτουργίας Demo
LBL_NAVI	Εναρξη Πλοήγησης
LBL_BOOK	Βιβλίο Περιγραφής
LBL_GROUP	Άνοιγμα στην βιβλιοθήκη
LBL_NAVIGATION	Βοηθός Επιφάνειας Εργασίας
LBL_PA	Πλοήγηση
LBL_PRACTICE	Εναρξη Λειτουργίας Πρακτικής
LBL_SIMULATION	Προσομοίωση
LBL_BOOKPAGE	Εμφάνιση Σελίδας Βιβλίου
LBL_TEST	Εναρξη Λειτουργίας Ελέγχου
LBL_RECORD_DOCUMENT	Eγγραφή Αρχείου
MSG_AUTOMATION_FINISHED	Η αυτοματοποίηση ολοκληρώθηκε
MSG_AUTOMATION_FINISHED_2	Κάντε κλικ στο πλήκτρο 'Επανέναρξη', για να αρχίσ.ξανά την αυτοματοπ.διαδ.
MSG_AUTOMATION_START	Επεξεργασία τιμών εισόδου
MSG_AUTOMATION_START_2	Ελέγξτε ή επεξερ.τις ακόλ.τιμές. Αυτές θα καταχω.αυτόμ.κατά τη διαδικασία.
MSG_EPO_DIALOG	Βελτιστοποίηση Ηλεκτρονικής Διαδικασίας
MSG_NAVI_LIBRARY_NO_APP	Δεν υπάρχουν διαθέσιμες πληροφορίες.
LBL_NAVI_NO_MATCH	Δεν υπάρχουν αποτελέσματα για την αναζήτησή σας.
NO_RECORDS	Δεν υπάρχουν διαθέιμα έγγραφα.
MSG_NAVI_LIBRARY_SUBTITLE	Διαθέσιμα περιεχόμενα:
MSG_NAVI_LIBRARY_TITLE	Βοηθός Επιφάνειας Εργασίας
MSG_NOT_APPLICABLE	μη επεξεργάσιμο
MSG_PA_CONTROL_STEP	Απαραίτητη ενέργεια για το βήμα:
MSG_PA_EXPLANATION_STEP	Πλοήγηση στην οθόνη που εμφανίζεται παρακάτω.
MSG_PA_FORM_STEP	Υποχρεωτικά πεδία για να συμπληρωθούν στην φόρμα:
MSG_PA_DIALOG	Βοηθός Διαδικασίας
MSG_PA_START_SCREEN	Ανοιγμα αρχικής οθόνης.
MSG_PA_STEP_NOT_FOUND	Μεταβείτε στην απαραίτητη οθόνη
MSG_PA_STEP_NOT_FOUND1	Βεβαιωθείτε ότι η εφαρμογή στόχου (@{TARGETAPPNAME}) είναι ανοιχτή.
MSG_PA_STEP_NOT_FOUND2	Πλοήγηση στην οθόνη με τον επισημασμένο έλεγχο που εμφανίζεται παρακάτω.
MSG_STEP_LIGHT	Προεπισκόπηση Βήματος
MSG_STEP_NOT_FOUND	Βήμα καθοδηγούμενης περιήγησης δεν βρέθηκε.
MSG_STEP_NOT_FOUND_2	Κάντε κλικ στη γραμμή τίτλου της εφαρμογής στόχου ή πλοηγηθείτε στη δεξιά οθόνη.<br><br>Κάντε κλικ στο 'Προεπισκόπηση' για να δείτε την απαιτούμενη οθόνη.
PA_FINISHED	Η Πλοήγηση  Ολοκληρώθηκε.
PROJECT_TITLE	Τίτλος Εργου
TRAY_INFO_BUBBLE_HEADING	Βοηθός Διαδικασίας
TRAY_INFO_BUBBLE_TEXT	Το τρέχον βήμα δεν μπορεί να εμφανιστεί. Κάντε κλικ για περισσότερες πληροφορίες.
RESTRICTED_BUBBLE_HEADING	Ενέργεια Παρεμποδίστηκε
RESTRICTED_BUBBLE_TEXT	Δε μπορείτε να εκτελέσετε ενέργειες μέχρι να επιβεβαιωθεί το τρέχον βήμα
HELP_TITLE	Βοήθεια
HELP_INTRO	Η βοήθεια σας παρέχει επισκόπηση των κύριων τμημάτων και λειτουργιών του @{NAVIGATOR}.</br></br><b> Σημείωση:</b> Οι διαθέσιμες λειτουργίες εξαρτώνται από τις διαμορφώσεις των @{NAVIGATOR}.</br>
HELP_TITLE_DA	Πλευρική Μπάρα και Windows
HELP_SIDEBAR_T	Πλευρική μπάρα
HELP_SIDEBAR_H	Η πλευρική μπάρα σας επιτρέπει να ξεκινήσετε τις βασικές λειτουργίες του @{NAVIGATOR}. Για κάθε λειτουργία εμφανίζεται ένα κουμπί. Η πλευρική μπάρα μπορεί να μετακινηθεί χρησιμοποιώντας την μεταφορά και απόθεση, και μπορείτε να ελαχιστοποιήσετε και να μεγιστοποιήσετε με ένα κλικ το περίγραμμα της πλευρικής μπάρας.
HELP_CONTENT_CONTROL_T	Περιεχ.
HELP_CONTENT_CONTROL_H	Υποδεικνύει, αν το περιεχόμενο είναι διαθέσιμο. Ανοίγει το κύριο παράθυρο με το περιεχόμενο.
HELP_SEARCH_CONTROL_T	Αναζήτηση
HELP_SEARCH_CONTROL_H	Ανοίγει την αναζήτηση για αναζήτηση περιεχομένου.
HELP_EXTSEARCH_CONTROL_T	Εξωτερική Αναζήτηση
HELP_EXTSEARCH_CONTROL_H	Ανοίγει την αναζήτηση για αναζήτηση περιεχομένου.
HELP_STICKY_CONTROL_T	Προσθήκη Σημείωσης
HELP_STICKY_CONTROL_H	Προσθέτει ένα χαρτάκι σημείωσης για το τρέχον παράθυρο εφαρμογής. Μπορείτε να εισάγετε ένα κείμενο στο χαρτάκι της σημείωσης.
HELP_RECORDING_CONTROL_T	Έναρξη Καταγραφής
HELP_RECORDING_CONTROL_H	Ξεκινά την καταγραφή μίας διαδικασίας. Η καταγεγραμμένη διαδικασία θα αποθηκευτεί ως έγγραφο στην Περιοχή Χρήστη.
HELP_MAIN_WINDOW_T	Κύριο Παράθυρο
HELP_MAIN_WINDOW_H	Το κύριο παράθυρο εμφανίζει τα διαθέσιμα περιεχόμενα για το γενικό πλαίσιο συγκεκριμένης σελίδας.</br>Κατά τη διάρκεια της αναπαραγωγής της καθοδηγούμενης περιήγησης, το παράθυρο εμφανίζει τη λίστα με τα βήματα.
HELP_HEADER_T	Κεφαλίδα
HELP_HEADER_H	Το εικονίδιο κατάστασης στην κεφαλίδα υποδεικνύει αν τα περιεχόμενα είναι διαθέσιμα για το τρέχον γενικό πλαίσιο.
HELP_CONTENT_TAB_T	Περιεχόμενο Καρτέλας
HELP_CONTENT_TAB_H	Η καρτέλα δείχνει το διαθέσιμο περιεχόμενο για την τρέχουσα εφαρμογή.
HELP_CONTENT_VIEW_T	Προβολή Περιεχομένου
HELP_CONTENT_VIEW_H	Η προβολή περιεχομένου εμφανίζει τις διαθέσιμες πληροφορίες, λειτουργίες και τεκμηρίωση για το επιλεγμένο περιεχόμενο.</br>Μπορείτε να χρησιμοποιήσετε τον έλεγχο 'Πίσω' για να επιστρέψετε στην λίστα περιεχομένων.
HELP_SEARCH_TAB_T	Καρτέλα Αναζήτησης
HELP_SEARCH_TAB_H	ΣΤην καρτέλα μπορείτε να αναζητήσετε συγκεκριμένα περιεχόμενα για το τρέχον γενικό πλαίσιο.
HELP_INFO_TAB_T	Καρτέλα Πληροφοριών
HELP_INFO_TAB_H	Η καρτέλα εμφανίζει γενικές πληροφορίες σχετικά με τον @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Καρτέλα Περιοχής Χρήστη
HELP_USERAREA_TAB_H	Η καρτέλα περιέχει τα έγγραφα της διαδικασίας καταγραφής. Μπορείτε να ανοίξετε, κάνετε κοινή χρήση ή διαγράψετε ένα έγγραφο. Μπορείτε να καταγράψετε περαιτέρω διαδικασίες.
HELP_INSTANT_T	Άμεση Βοήθεια
HELP_INSTANT_H	Με την ενεργοποιημένη ρύθμιση οι πρόσθετες θεματικές πληροφορίες εμφανίζονται δεξιά στην οθόνη της τρέχουσας εφαρμογής. Η ρύθμιση είναι ενεργοποιημένη από προεπιλογή.
HELP_REQCONTENT_T	Απαίτηση Περιεχομένων
HELP_REQCONTENT_H	Ανοίγει ένα παράθυρο e-mail για απαίτηση περιεχομένου που λείπει από τον δημιουργό.
HELP_SETTINGS_T	Ρυθμίσεις
HELP_SETTINGS_H	Η προβολή περιέχει ρυθμίσεις για την εμφάνιση του περιεχομένου @{NAVIGATOR}.
HELP_MYROLES_T	Οι Ρόλοι Μου
HELP_MYROLES_H	Αυτή η ρύθμιση εμφανίζει περιεχόμενο για τον αντιστοιχισμένο ρόλο.
HELP_WITHOUTROLES_T	Εμφάνιση Περιεχομένου Χωρίς Ρόλους
HELP_WITHOUTROLES_H	Αυτή η ρύθμιση εμφανίζει περιεχόμενο χωρίς αντιστοιχισμένους ρόλους.
HELP_EDITROLES_T	Ρόλοι
HELP_EDITROLES_H	Ολοι οι ρόλοι που χρησιμοποιήθηκαν για το περιεχόμενο εμφανίζονται και μπορούν να ενεργοποιηθούν ή να απενεργοποιηθούν για να εμφανίσουν το περιεχόμενο.
HELP_SHARECONTENT_T	Κοινή Χρήση Περιεχομένων
HELP_SHARECONTENT_H	Ανοίγει το πλαίσιο διαλόγου με τον σύνδεσμο στα περιεχόμενα. Ο σύνδεσμος μπορεί να χρησιμοποιηθεί και από άλλους χρήστες.
HELP_REQUESTCONTENT_T	Απαίτηση Περιεχομένων
HELP_REQUESTCONTENT_H	Ανοίγει προκαθορισμένο email για απαίτηση περιεχομένων για συγκεκριμένη περίπτωση.
HELP_PLAYBACK_CONTENT_T	Περιεχόμενα Αναπαραγωγής
HELP_PLAYBACK_CONTENT_H	Τα διαθέσιμα περιεχόμενα μπορούν να αρχίσουν ή να ανοίξουν με τα κουμπιά που βρίσκονται στο παράθυρο περιεχομένων.
HELP_MINIMIZED_STATUS_T	Κατάσταση Ελαχιστοποίησης
HELP_MINIMIZED_STATUS_H	Στην περίπτωση που κλείσετε το κύριο παράθυρο ένα κυμαινόμενο εικονίδιο κατάστασης θα υποδεικνύει αν τα περιεχόμενα είναι διαθέσιμα για το τρέχον γενικό πλαίσιο. Κάντε κλικ στο εικονίδιο για να επαναφέρετε το κύριο παράθυρο.
HELP_MINIMIZED_MENU_T	Θεματικό Μενού
HELP_MINIMIZED_MENU_H	Το θεματικό μενού (δεξί κλικ στο εικονίδιο) περιλαμβάνει λειτουργίες για την εμφάνιση του κύριου παραθύρου και της άμεσης βοήθειας.
HELP_BOOK_WINDOW_T	Παράθυρο Βιβλίου
