#	Átomos de texto en inglés
BULLET	&#149;
TOK_COMPANY	SAP
TOK_LIB	Curso
TOK_TOUR	Lección
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	biblioteca
BTN_ABORT	Abandonar
BTN_CLOSE	Abandonar
BTN_OK	OK
BTN_CLOSE_DLG	Cerrar
BTN_CONTINUE	Continuar
BTN_PREVIEW	Vista previa
BTN_PROCEED	Continuar
BTN_RESTART	Reiniciar
BTN_SKIP	Omitir paso
BTN_START	Iniciar
BTN_STOP	Detener
BTN_EXECUTE	Ejecutar
CA_SWITCH	Ayuda de contexto
CONTENT_CAP	Contenido
MAIL_SUBJECT	Solicitud de contenido para asistente de escritorio
MAIL_HEADER	Estimado autor:\n\nQuisiera solicitar contenido para:
MAIL_FOOTER	- Proceso/transacción: Describa el proceso de aplicación actualmente en uso. \n\n- Descripción: Describa la información. \n\nSaludos cordiales,
MAIL_DATA	- Nombre de aplicación:
MAIL_TOOLTIP	Solicitar contenido
SHARE_TOOLTIP	Compartir contenido
REQUEST_TEXT	Haga clic en %s para solicitar contenido
REQUEST_LINK	aquí
SEARCH_CAP	Buscar
INFO_CAP	Información
SETTINGS_CAP	Configuración
BACK_TOOLTIP	Atrás
SHARE_CONTENT_TOOLTIP	Compartir contenido
CB_HIDE_OPTION	No mostrar nuevamente
MY_ROLES	Mis roles
EDIT_ROLES	Modificar roles
NO_ROLES	Mostrar contenido sin roles
SELECT_ALL_CAPTION	Seleccionar todo
USER_CAPTION	Área del usuario
READ_MORE	Leer más...
NO_CATEGORY_CAPTION	Otro contenido
DELETE_FAILED	Falló la eliminación.
RENAME_FAILED	Falló la operación de renombrado.
FILE_EXISTS	Ya existe un archivo con el mismo nombre. Ingrese un nombre diferente.
LBL_YES	Sí
LBL_DELETE	Eliminar
LBL_NO	No
LBL_OK	Ok
DELETE_DLG_TEXT	¿Realmente desea eliminar los documentos seleccionados (%N)?
LBL_CONCURRENT	Iniciar modo simultáneo
LBL_DA	Asistente de escritorio
LBL_SIM	Iniciar simulación
LBL_CDOC	Pendiente
LBL_DEMO	Iniciar modo de demostración
LBL_NAVI	Iniciar recorrido guiado
LBL_BOOK	Reproducir libro
LBL_GROUP	Abrir en la biblioteca
LBL_NAVIGATION	Asistente de escritorio
LBL_PA	Recorrido guiado
LBL_PRACTICE	Iniciar modo de práctica
LBL_SIMULATION	Simulación
LBL_BOOKPAGE	Visualizar página del libro
LBL_TEST	Iniciar modo de prueba
LBL_RECORD_DOCUMENT	Registrar documento
MSG_AUTOMATION_FINISHED	Automatización finalizada
MSG_AUTOMATION_FINISHED_2	Haga clic en 'Reiniciar' para iniciar nuevamente el proceso de automatización.
MSG_AUTOMATION_START	Editar valores de entrada
MSG_AUTOMATION_START_2	Verificar o editar los valores siguientes. Se introducirán de forma automática durante el proceso.
MSG_EPO_DIALOG	Optimizador de proceso electrónico
MSG_NAVI_LIBRARY_NO_APP	No hay información disponible.
LBL_NAVI_NO_MATCH	No hay resultados para la búsqueda.
NO_RECORDS	No hay documentos disponibles.
MSG_NAVI_LIBRARY_SUBTITLE	Contenido disponible:
MSG_NAVI_LIBRARY_TITLE	Asistente de escritorio
MSG_NOT_APPLICABLE	no se puede editar
MSG_PA_CONTROL_STEP	Acción solicitada para el paso:
MSG_PA_EXPLANATION_STEP	Navegar a la pantalla que se muestra a continuación.
MSG_PA_FORM_STEP	Campos requeridos que deben completarse en el formulario:
MSG_PA_DIALOG	Recorrido guiado
MSG_PA_START_SCREEN	Abra la pantalla de inicio.
MSG_PA_STEP_NOT_FOUND	Cambie a la pantalla solicitada
MSG_PA_STEP_NOT_FOUND1	Asegúrese de que la aplicación destino (@{TARGETAPPNAME}) esté abierta.
MSG_PA_STEP_NOT_FOUND2	Navegue a la pantalla con control destacado que se muestra a continuación:
MSG_STEP_LIGHT	Vista previa del paso
MSG_STEP_NOT_FOUND	No se encontró el paso del recorrido guiado.
MSG_STEP_NOT_FOUND_2	Haga clic en la barra de título de la aplicación destino o navegue a la pantalla derecha.<br><br>Haga clic en "Vista previa" para ver la pantalla solicitada.
PA_FINISHED	Recorrido guiado finalizado.
PROJECT_TITLE	Título del proyecto
TRAY_INFO_BUBBLE_HEADING	Recorrido guiado
TRAY_INFO_BUBBLE_TEXT	El paso actual del proceso no se puede visualizar. Haga clic aquí para obtener más información.
RESTRICTED_BUBBLE_HEADING	Acción bloqueada
RESTRICTED_BUBBLE_TEXT	No puede ejecutar ninguna acción hasta confirmar el paso actual.
HELP_TITLE	Ayuda
HELP_INTRO	La ayuda le ofrece un resumen de las partes y funciones principales de @{NAVIGATOR}.</br></br><b>Nota:</b> Las funciones disponibles dependen de la configuración de @{NAVIGATOR}.</br>
HELP_TITLE_DA	Barra lateral y ventanas
HELP_SIDEBAR_T	Barra lateral
HELP_SIDEBAR_H	Esta barra lateral le permite iniciar las principales funciones de @{NAVIGATOR}. Para cada función, hay un botón. La barra lateral se puede mover con la función arrastrar y soltar, y se puede minimizar y maximizar haciendo clic sobre el borde de la barra lateral.
HELP_CONTENT_CONTROL_T	Contenido
HELP_CONTENT_CONTROL_H	Indica si el contenido está disponible. Abre la ventana principal con el contenido.
HELP_SEARCH_CONTROL_T	Búsqueda
HELP_SEARCH_CONTROL_H	Abre la búsqueda de contenido.
HELP_EXTSEARCH_CONTROL_T	Búsqueda externa
HELP_EXTSEARCH_CONTROL_H	Abre la búsqueda externa para búsqueda de contenido.
HELP_STICKY_CONTROL_T	Agregar notita
HELP_STICKY_CONTROL_H	Inserta una notita para la ventana de aplicaciones actual. Puede introducir un texto para la notita.
HELP_RECORDING_CONTROL_T	Iniciar grabación
HELP_RECORDING_CONTROL_H	Inicie la grabación de un proceso. El proceso grabado será guardado como documento en el área de usuario.
HELP_MAIN_WINDOW_T	Ventana principal
HELP_MAIN_WINDOW_H	La ventana principal muestra los contenidos disponibles para un contexto de página específico.</br>Durante la reproducción de un recorrido guiado, la ventana mostrará la lista de pasos.
HELP_HEADER_T	Cabecera
HELP_HEADER_H	El icono de estado en la cabecera indica si el contenido está disponible para el contexto actual.
HELP_CONTENT_TAB_T	Pestaña de contenido
HELP_CONTENT_TAB_H	La pestaña el contenido disponible para la aplicación actual.
HELP_CONTENT_VIEW_T	Vista de contenido
HELP_CONTENT_VIEW_H	La vista de contenido muestra la información disponible, los modos y la documentación para el contenido seleccionado.</br>Puede usar el control 'Atrás' para volver a la lista de contenidos.
HELP_SEARCH_TAB_T	Pestaña de búsqueda
HELP_SEARCH_TAB_H	En la pestaña, puede buscar contenido específico para su contexto actual.
HELP_INFO_TAB_T	Pestaña de información
HELP_INFO_TAB_H	La pestaña muestra información general sobre @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Pestaña de área de usuario
HELP_USERAREA_TAB_H	La pestaña contiene los documentos de proceso grabados. Puede abrir, compartir o eliminar un documento. Puede grabar más procesos.
HELP_INSTANT_T	Ayuda instantánea
HELP_INSTANT_H	Con la opción activada, se muestra información contextual adicional exactamente en la pantalla de aplicación actual. La opción está activada por defecto.
HELP_REQCONTENT_T	Solicitar contenido
HELP_REQCONTENT_H	Abre una ventana de correo electrónico que le permite solicitar contenido faltante por autor.
HELP_SETTINGS_T	Configuración
HELP_SETTINGS_H	La vista incluye opciones para visualizar el contenido de @{NAVIGATOR}.
HELP_MYROLES_T	Mis roles
HELP_MYROLES_H	La opción muestra el contenido para el rol asignado.
HELP_WITHOUTROLES_T	Mostrar contenido sin roles
HELP_WITHOUTROLES_H	Esta opción muestra el contenido sin roles asignados.
HELP_EDITROLES_T	Roles
HELP_EDITROLES_H	Todos los roles usados para el contenido están enumerados y pueden activarse o desactivarse para visualizar el contenido.
HELP_SHARECONTENT_T	Compartir contenido
HELP_SHARECONTENT_H	Abre una ventana de diálogo con el enlace del contenido. El enlace se puede compartir con otros usuarios.
HELP_REQUESTCONTENT_T	Solicitar contenido
HELP_REQUESTCONTENT_H	Abre un correo electrónico predefinido para solicitar contenido de un caso específico
HELP_PLAYBACK_CONTENT_T	Contenido de reproducción
