#	Átomos de texto inglés
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Curso
TOK_TOUR	Unidad
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	Salir
BTN_CLOSE	Salir
BTN_OK	OK
BTN_CLOSE_DLG	Cerrar
BTN_CONTINUE	Continuar
BTN_PREVIEW	Vista preliminar
BTN_PROCEED	Continuar
BTN_RESTART	Repetir
BTN_SKIP	Omitir
BTN_START	Iniciar
BTN_STOP	Detener
BTN_EXECUTE	Ejecutar
CA_SWITCH	Ayuda de contexto
CONTENT_CAP	Contenido
MAIL_SUBJECT	Solicitud de contenido para asistente de escritorio
MAIL_HEADER	Estimado autor,\n\nme gustaría solicitar el contenido de:
MAIL_FOOTER	- Proceso/Transacción: describa el proceso de aplicación actualmente en uso. \n\n- Descripción: describa la información que necesite. \n\nAtentamente,
MAIL_DATA	- Nombre de aplicación:
MAIL_TOOLTIP	Solicitar contenido
SHARE_TOOLTIP	Compartir contenido
REQUEST_TEXT	Haga clic en %s para solicitar contenido.
REQUEST_LINK	aquí
SEARCH_CAP	Buscar
INFO_CAP	Información
SETTINGS_CAP	Parametrizaciones
BACK_TOOLTIP	Atrás
SHARE_CONTENT_TOOLTIP	Compartir contenido
CB_HIDE_OPTION	No volver a mostrar
MY_ROLES	Mis roles
EDIT_ROLES	Modificar roles
NO_ROLES	Muestra roles sin contenido
SELECT_ALL_CAPTION	Seleccionar todo
USER_CAPTION	Área de usuario
READ_MORE	Leer más...
NO_CATEGORY_CAPTION	Otro contenido
DELETE_FAILED	Borrar operación fallido
RENAME_FAILED	Renombrar operación fallido
FILE_EXISTS	Ya existe un fichero con el mismo nombre. Introduzca un nombre diferente.
LBL_YES	Sí
LBL_DELETE	Borrar
LBL_NO	No
LBL_OK	OK
DELETE_DLG_TEXT	¿Realmente desea borrar los proyectos seleccionados(%N)?
LBL_CONCURRENT	Iniciar modo simultáneo
LBL_DA	Asistente de escritorio
LBL_SIM	Iniciar simulación
LBL_CDOC	Abrir
LBL_DEMO	Iniciar modo de demostración
LBL_NAVI	Iniciar una visita guiada
LBL_BOOK	Reproducir libro
LBL_GROUP	Abrir en la biblioteca
LBL_NAVIGATION	Asistente de escritorio
LBL_PA	Visita guiada
LBL_PRACTICE	Iniciar modo de práctica
LBL_SIMULATION	Simulación
LBL_BOOKPAGE	Mostrar página de libro
LBL_TEST	Iniciar modo de test
LBL_RECORD_DOCUMENT	Grabar documento
MSG_AUTOMATION_FINISHED	Automatización finalizada
MSG_AUTOMATION_FINISHED_2	Haga clic en 'Repetir' para volver a iniciar el proceso automático.
MSG_AUTOMATION_START	Editar valores de entrada
MSG_AUTOMATION_START_2	Compruebe o edite los valores siguientes. Éstos se introducen automáticamente durante el proceso.
MSG_EPO_DIALOG	Optimizador de proceso electrónico
MSG_NAVI_LIBRARY_NO_APP	No hay más información disponible.
LBL_NAVI_NO_MATCH	No existen resultados para su búsqueda.
NO_RECORDS	No existen documentos disponibles.
MSG_NAVI_LIBRARY_SUBTITLE	Contenidos disponibles:
MSG_NAVI_LIBRARY_TITLE	Asistente de escritorio
MSG_NOT_APPLICABLE	No editable
MSG_PA_CONTROL_STEP	Acción necesaria para el paso:
MSG_PA_EXPLANATION_STEP	Navegar a pantalla mostrada abajo
MSG_PA_FORM_STEP	Completar campos requeridos en el formulario:
MSG_PA_DIALOG	Visita guiada
MSG_PA_START_SCREEN	Abra la pantalla inicial
MSG_PA_STEP_NOT_FOUND	Cambie a la pantalla necesaria
MSG_PA_STEP_NOT_FOUND1	Asegúrese de que la aplicación de destino (@{TARGETAPPNAME}) está abierta.
MSG_PA_STEP_NOT_FOUND2	y navegue hasta la pantalla con el control resaltado mostrado abajo
MSG_STEP_LIGHT	Vista previa de pasos
MSG_STEP_NOT_FOUND	No existe el paso de visita guiada
MSG_STEP_NOT_FOUND_2	Haga clic en la barra de título de la aplicación de destino o navegue a la pantalla de la derecha.<br><br>Haga clic en "Vista precia" para visualizar la pantalla requerida.
PA_FINISHED	Visita guiada finalizada.
PROJECT_TITLE	Título de proyecto
TRAY_INFO_BUBBLE_HEADING	Visita guiada
TRAY_INFO_BUBBLE_TEXT	No se puede mostrar el paso actual. Para más información, haga clic aquí.
RESTRICTED_BUBBLE_HEADING	Acción bloqueada
RESTRICTED_BUBBLE_TEXT	No puede ejecutar acciones hasta que se haya confirmado el paso actual.
HELP_TITLE	Ayuda
HELP_INTRO	La ayuda ofrece un resumen de las partes y funciones principales de @{NAVIGATOR}.</br></br><b>Nota:</b> las funciones disponibles dependen de la configuración de @{NAVIGATOR}.</br>
HELP_TITLE_DA	Barra lateral y ventanas
HELP_SIDEBAR_T	Barra lateral
HELP_SIDEBAR_H	La barra lateral permite iniciar las funciones principales de @{NAVIGATOR}. Para cada función se muestra un pulsador. La barra lateral puede moverse utilizando arrastrar y soltar, y puede minimizarse y maximizarse haciendo clic en el borde de la barra lateral.
HELP_CONTENT_CONTROL_T	Contenido
HELP_CONTENT_CONTROL_H	Indica si el contenido está disponible. Abre la ventana principal con el contenido
HELP_SEARCH_CONTROL_T	Buscar
HELP_SEARCH_CONTROL_H	Abre la búsqueda para buscar contenido
HELP_EXTSEARCH_CONTROL_T	Búsqueda externa
HELP_EXTSEARCH_CONTROL_H	Abre la búsqueda externa para buscar contenido
HELP_STICKY_CONTROL_T	Añadir nota rápida
HELP_STICKY_CONTROL_H	Inserta una nota rápida para la ventana de aplicación actual. Puede indicar un texto para su nota rápida
HELP_RECORDING_CONTROL_T	Iniciar grabación
HELP_RECORDING_CONTROL_H	Inicia la grabación de un proceso. El proceso grabado se grabará como documento en el área de usuario.
HELP_MAIN_WINDOW_T	Ventana principal
HELP_MAIN_WINDOW_H	La ventana principal muestra los contenidos disponibles para un contexto de página específico.</br>Durante la reproducción de una visita guiada, la ventana muestra la lista de pasos del proceso.
HELP_HEADER_T	Encabezado
HELP_HEADER_H	El icono de status del encabezado indica si hay contenido disponible para el contexto actual
HELP_CONTENT_TAB_T	Etiqueta de contenido
HELP_CONTENT_TAB_H	La etiqueta muestra el contenido disponible para la aplicación actual.
HELP_CONTENT_VIEW_T	Vista de contenido
HELP_CONTENT_VIEW_H	La vista de contenido muestra la información disponible, los modos y la documentación para el contenido seleccionado.</br>Puede utilizar el control "Atrás" para volver a la lista de contenidos.
HELP_SEARCH_TAB_T	Etiqueta de búsqueda
HELP_SEARCH_TAB_H	En la etiqueta puede buscar contenido específico para su contexto actual
HELP_INFO_TAB_T	Etiqueta info
HELP_INFO_TAB_H	La etiqueta muestra información general sobre @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Etiqueta de área de usuario
HELP_USERAREA_TAB_H	La etiqueta contiene los documento de proceso grabados. Puede abrir, compartir o borrar un documento. Puede registrar otros procesos.
HELP_INSTANT_T	Ayuda instantánea
HELP_INSTANT_H	Si se activa el ajuste, la información de contexto adicional se mostrará inmediatamente en la pantalla de aplicación actual. Por defecto este ajuste está activado.
HELP_REQCONTENT_T	Solicitar contenido
HELP_REQCONTENT_H	Abre una ventana de correo electrónico para solicitar el contenido que falta del autor
HELP_SETTINGS_T	Parametrizaciones
HELP_SETTINGS_H	La vista contiene parametrizaciones para la visualización del contenido de @{NAVIGATOR}.
HELP_MYROLES_T	Mis roles
HELP_MYROLES_H	Esta parametrización muestra el contenido para el rol asignado
HELP_WITHOUTROLES_T	Muestra roles sin contenido
HELP_WITHOUTROLES_H	Esta parametrización muestra el contenido sin roles asignados
HELP_EDITROLES_T	Roles
HELP_EDITROLES_H	Todos los roles utilizados para el contenido están enumerados y se pueden activar o desactivar para visualizar el contenido
HELP_SHARECONTENT_T	Compartir contenido
HELP_SHARECONTENT_H	Abre una ventana de diálogo con el enlace al contenido. En enlace se puede compartir con otros usuarios
HELP_REQUESTCONTENT_T	Solicitar contenido
HELP_REQUESTCONTENT_H	Abre un e-mail predefinido para solicitar el contenido para un caso específico
HELP_PLAYBACK_CONTENT_T	Reproducir contenido
HELP_PLAYBACK_CONTENT_H	El contenido disponible se puede iniciar o abrir utilizando los botones en la ventana de contenido
HELP_MINIMIZED_STATUS_T	Status minimizado
HELP_MINIMIZED_STATUS_H	En caso de que cierre la ventana principal, un icono de estado flotante indicará si el contenido está disponible para el contexto actual. Haga clic en el icono para restablecer la ventana principal.
HELP_MINIMIZED_MENU_T	Menú de contexto
HELP_MINIMIZED_MENU_H	El menú de contexto (haga clic con el botón derecho del ratón en el icono) incluye funciones para visualizar la ventana principal y la ayuda de contexto.
HELP_BOOK_WINDOW_T	Ventana de libro
HELP_BOOK_WINDOW_H	La ventana de libro está abierta al reproducir el libro. El libro principal y la ventana del contenido están ocultos
HELP_GOTOTOP	Ir arriba
HELP_CAPTION	@{NAVIGATOR} Ayuda
NAVHELP_TITLE	Ícono de estado y menú contextual
NAVHELP_INTRO	</br>La ayuda le ofrece un resumen del icono de estado y las entradas del menú contextual.
NAVHELP_STATUS_ICON_T	Icono de status (barra de tareas)
NAVHELP_STATUS_ICON_H	El icono de estado se coloca en la barra de tareas y muestra las actividades actuales del @{NAVIGATOR}. Existen los siguientes estados:
NAVHELP_STATUS_FOUND_T	Contenido disponible (icono verde)
NAVHELP_STATUS_FOUND_H	El contenido disponible para el contexto actual se visualiza
NAVHELP_STATUS_CHECK_T	Carga de contenido (icono amarillo)
NAVHELP_STATUS_CHECK_H	El @{NAVIGATOR} verifica el contexto actual para el contenido disponible y carga el contenido.
NAVHELP_STATUS_NOFOUND_T	No hay contenido disponible (icono rojo)
NAVHELP_STATUS_NOFOUND_H	No hay contenido disponible para el contexto actual
NAVHELP_STANDBY_T	Desactivado
NAVHELP_STANDBY_H	El @{NAVIGATOR} está deshabilitado. Un clic en el icono de estado (<i>CTRL + F11</i>) habilita o deshabilita el @{NAVIGATOR}.
NAVHELP_STATUS_MIN_T	Minimizado
NAVHELP_STATUS_MIN_H	Las ventanas y la barra lateral están minimizadas.
NAVHELP_STATUS_MENU_T	Menú de contexto
NAVHELP_STATUS_MENU_H	El menú de contexto (clic con el botón derecho en el icono) incluye funciones generales de @{NAVIGATOR}.
NAVHELP_VERSION_T	Visualizar la versión
NAVHELP_VERSION_H	Muestra el número de versión del @{NAVIGATOR} instalado. Esto es necesario para ponerse en contacto con el soporte en caso de problemas.
NAVHELP_JSCONSOLE_T	Consola JavaScript
NAVHELP_JSCONSOLE_H	Muestra JavaScript Console para proporcionar mensajes de error detallados. Esto es necesario para ponerse en contacto con el soporte en caso de problemas.
NAVHELP_NAV_CACHE_T	Borrar caché local
NAVHELP_NAV_CACHE_H	Borra el caché local del contenido del @{NAVIGATOR}.
NAVHELP_RESET_HIDDEN_T	Mostrar de nuevo todas las ayudas suprimidas
NAVHELP_RESET_HIDDEN_H	Reinicializa los elementos auxiliares que se han fijado para Suprimir durante la reproducción
NAVHELP_EXIT_T	Finalizar
NAVHELP_EXIT_H	Detiene la reproducción y cierra @{NAVIGATOR}.
IDS_NAVP_ABOUT	Mostrar versión...
IDS_NAVP_CONSOLE	Consola JavaScript...
IDS_NAVP_DELETE_CACHE	Borrar caché local
IDS_NAVP_HOOKER	Hooker
IDS_SEARCH_INPUT	Buscar contenido de ayuda
IDS_CLEAR_SEARCH	Borrar búsqueda
IDS_NAVP_CLOSE	Finalizar
IDS_RESET_CURRENT	Volver a mostrar elemento de ayuda oculto
IDS_RESET_ALL	Mostrar de nuevo todas las ayudas suprimidas
IDS_RESET_ALL_TIP	Mostrar todas las sugerencias desactivadas de nuevo al indicar por primera vez una pantalla.
IDS_OPEN_RECORD_LBL	Abierto
IDS_EDIT_RECORD_LBL	Renombrar
IDS_DELETE_RECORD_LBL	Borrar
IDS_SHARE_RECORD_LBL	Compartir
IDS_EXTERNAL_SEARCH_BTN	Búsqueda externa
IDS_EXTERNAL_SEARCH_SUB_MENU	Búsqueda externa
IDS_SHOW_SCREEN_ICON	Mostrar asistente de escritorio
IDS_SHOW_DA	Visualizar ventana principal
IDS_SHOW_CONTENT	Mostrar contenido
IDS_HIDE_CONTENT	Suprimir contenido
IDS_SEARCH_BTN	Búsqueda
IDS_REQUEST_CONTENT_BTN	Solicitar contenido
IDS_RECORDING_BTN	Iniciar grabación
IDS_SHOW_CA_SWITCH	Mostrar ayuda de contexto
IDS_HIDE_CA_SWITCH	Suprimir ayuda de contexto
IDS_CA_SWITCH_INACTIVE_BTN	Ninguna ayuda de contexto disponible
IDS_DO_CTX_RECOGNITION	Mostrar ayuda de contexto
IDS_NAV_STANDBY	@{NAVIGATOR} deshabilitado.
IDS_NAV_NO_STANDBY	@{NAVIGATOR} habilitado.
IDS_SHOW_DA_PANELS	@{NAVIGATOR} está ahora disponible. Puede utilizar @{NAVIGATOR} si necesita ayuda.
