#	Englanninkieliset tekstiatomit
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Kurssi
TOK_TOUR	Oppitunti
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	Lopeta
BTN_CLOSE	Lopeta
BTN_OK	OK
BTN_CLOSE_DLG	Sulje
BTN_CONTINUE	Jatka
BTN_PREVIEW	Esikatselu
BTN_PROCEED	Jatka
BTN_RESTART	Aloita uudelleen
BTN_SKIP	Ohita askel
BTN_START	Käynnistä
BTN_STOP	Pysäytä
BTN_EXECUTE	Suorita
CA_SWITCH	Kontekstiohje
CONTENT_CAP	Sisältö
MAIL_SUBJECT	Sisältöpyyntö työpöytäavustajaa varten
MAIL_HEADER	Hyvä tekijä,\n\npyydän seuraavaa sisältöä:
MAIL_FOOTER	- Prosessi/tapahtuma: kuvaa tällä hetkellä olevaa sovellusprosessia. \n\n- Kuvaus: kuvaa tarvitsemiasi tietoja. \n\nYstävällisin terveisin
MAIL_DATA	- Sovelluksen nimi:
MAIL_TOOLTIP	Pyydä sisältöä
SHARE_TOOLTIP	Jaa sisältö
REQUEST_TEXT	Pyydä sisältöä napsauttamalla %s
REQUEST_LINK	tässä
SEARCH_CAP	Haku
INFO_CAP	Info
SETTINGS_CAP	Asetukset
BACK_TOOLTIP	Paluu
SHARE_CONTENT_TOOLTIP	Jaa sisältö
CB_HIDE_OPTION	Älä näytä enää uudelleen
MY_ROLES	Omat roolit
EDIT_ROLES	Muuta rooleja
NO_ROLES	Näytä sisältö ilman rooleja
SELECT_ALL_CAPTION	Valitse kaikki
USER_CAPTION	Käyttäjäalue
READ_MORE	Lue lisää...
NO_CATEGORY_CAPTION	Muu sisältö
DELETE_FAILED	Poistotoiminto epäonnistui.
RENAME_FAILED	Uudelleennimeämistoiminto epäonnistui.
FILE_EXISTS	Samanniminen tiedosto jo olemassa. Syötä toinen nimi.
LBL_YES	Kyllä
LBL_DELETE	Poista
LBL_NO	Ei
LBL_OK	OK
DELETE_DLG_TEXT	Haluatko todella poistaa valitut asiakirjat (%N)?
LBL_CONCURRENT	Käynnistä rinnakkaistila
LBL_DA	Työpöytäavustaja
LBL_SIM	Aloita simulointi
LBL_CDOC	Avaa
LBL_DEMO	Käynnistä demotila
LBL_NAVI	Käynnistä opastettu kierros
LBL_BOOK	Toista kirja
LBL_GROUP	Avaa libraryssä
LBL_NAVIGATION	Työpöytäavustaja
LBL_PA	Opastettu kierros
LBL_PRACTICE	Käynnistä harjoitustila
LBL_SIMULATION	Simulointi
LBL_BOOKPAGE	Näytä kirjan sivu
LBL_TEST	Käynnistä testitila
LBL_RECORD_DOCUMENT	Tallenna asiakirja
MSG_AUTOMATION_FINISHED	Automatisointi lopetettu
MSG_AUTOMATION_FINISHED_2	Aloita automatisoitu prosessi uudelleen napsauttamalla 'Aloita uudelleen'.
MSG_AUTOMATION_START	Muokkaa syöttöarvoja
MSG_AUTOMATION_START_2	Tarkista tai muokkaa seuraavat arvot. Ne syötetään automaattisesti uudelleen prosessin aikana.
MSG_EPO_DIALOG	Electronic Process Optimizer
MSG_NAVI_LIBRARY_NO_APP	Lisätietoja ei ole käytettävissä.
LBL_NAVI_NO_MATCH	Haullesi ei ole tuloksia.
NO_RECORDS	Asiakirjoja ei ole käytettävissä.
MSG_NAVI_LIBRARY_SUBTITLE	Käytettävissä olevat sisällöt:
MSG_NAVI_LIBRARY_TITLE	Työpöytäavustaja
MSG_NOT_APPLICABLE	ei muokattavissa
MSG_PA_CONTROL_STEP	Askelta varten tarvittava toimi:
MSG_PA_EXPLANATION_STEP	Navigoi alla esitettyyn näyttöön.
MSG_PA_FORM_STEP	Lomakkeessa täytettävät pakolliset kentät:
MSG_PA_DIALOG	Opastettu kierros
MSG_PA_START_SCREEN	Avaa aloitusnäyttö.
MSG_PA_STEP_NOT_FOUND	Vaihda tarvittavaan näyttöön
MSG_PA_STEP_NOT_FOUND1	Varmista, että kohdesovellus (@{TARGETAPPNAME}) on avattu.
MSG_PA_STEP_NOT_FOUND2	Navigoi alla esitettyyn, korostetun ohjauselementin sisältävään näyttöön.
MSG_STEP_LIGHT	Askel - esikatselu
MSG_STEP_NOT_FOUND	Opastetun kierroksen vaihetta ei löytynyt.
MSG_STEP_NOT_FOUND_2	Napsauta kohdesovelluksen otsikkopalkkia tai navigoi oikealle sivulle.<br><br>Napsauttamalla 'Esikatselu' voit näyttää' tarvittavan sivun.
PA_FINISHED	Opastettu kierros lopetettu.
PROJECT_TITLE	Projektin otsikko
TRAY_INFO_BUBBLE_HEADING	Opastettu kierros
TRAY_INFO_BUBBLE_TEXT	Nykyistä askelta ei voi näyttää. Lisätietoja saat napsauttamalla tästä.
RESTRICTED_BUBBLE_HEADING	Toimi lukittu.
RESTRICTED_BUBBLE_TEXT	Et voi suorittaa toimia, ennen kuin nykyinen askel on vahvistettu.
HELP_TITLE	Ohje
HELP_INTRO	Ohjeessa on kuvattu yleistiedot kohteen @{NAVIGATOR} pääosista ja -toiminnoista.</br></br><b>Huomautus:</b> Käytettävissä olevat toiminnot riippuvat kohteen @{NAVIGATOR} konfiguraatiosta.</br>
HELP_TITLE_DA	Sivupalkki ja ikkunat
HELP_SIDEBAR_T	Sivupalkki
HELP_SIDEBAR_H	Sivupalkin avulla voit käynnistää kohteen @{NAVIGATOR} päätoiminnot. Kullakin toiminnolla on painike. Sivupalkkia voidaan siirtää vetämällä ja pudottamalla sekä pienentää ja suurentaa napsauttamalla sivupalkin reunaa.
HELP_CONTENT_CONTROL_T	Sisältö
HELP_CONTENT_CONTROL_H	Osoittaa, onko sisältöä käytettävissä. Avaa pääikkunan, jossa on sisältö.
HELP_SEARCH_CONTROL_T	Hae
HELP_SEARCH_CONTROL_H	Avaa haun sisällön hakua varten.
HELP_EXTSEARCH_CONTROL_T	Ulkoinen haku
HELP_EXTSEARCH_CONTROL_H	Avaa ulkoisen haun sisällön hakua varten.
HELP_STICKY_CONTROL_T	Lisää muistilappu
HELP_STICKY_CONTROL_H	Lisää muistilapun nykyistä sovellusikkunaa varten. Voit syöttää tekstiä muistilappuun.
HELP_RECORDING_CONTROL_T	Aloita tallennus
HELP_RECORDING_CONTROL_H	Aloittaa prosessin tallennuksen. Tallennettu prosessi tallennetaan asiakirjana käyttäjäalueella.
HELP_MAIN_WINDOW_T	Pääikkuna
HELP_MAIN_WINDOW_H	Pääikkunassa näkyy tietyn sivukontekstin käytettävissä oleva sisältö.</br>Opastetun kierroksen toiston aikana ikkunassa näkyy luettelo vaiheista.
HELP_HEADER_T	Otsikko
HELP_HEADER_H	Otsikossa oleva tilakuvake näyttää, onko nykyistä kontekstia varten käytettävissä sisältöä.
HELP_CONTENT_TAB_T	Sisältö-välilehti
HELP_CONTENT_TAB_H	Välilehdessä näkyy nykyisen sovelluksen käytettävissä oleva sisältö.
HELP_CONTENT_VIEW_T	Sisältönäkymä
HELP_CONTENT_VIEW_H	Sisältönäkymässä näkyvät valitun sisällön käytettävissä olevat tiedot, tilat ja dokumentaatio.</br>Voit palata takaisin sisältöluetteloon 'Paluu'-ohjauselementin avulla.
HELP_SEARCH_TAB_T	Hakuvälilehti
HELP_SEARCH_TAB_H	Välilehdestä voit hakea erityistä sisältöä nykyiselle kontekstillesi.
HELP_INFO_TAB_T	Infovälilehti
HELP_INFO_TAB_H	Välilehti näyttää yleiset tiedot kohteesta @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Käyttäjäalue-välilehti
HELP_USERAREA_TAB_H	Välilehti sisältää tallennetun prosessin asiakirjat. Voit avata, jakaa tai poistaa asiakirjan. Voit tallentaa muita prosesseja.
HELP_INSTANT_T	Pikaohje
HELP_INSTANT_H	Jos asetus aktivoidaan, lisäkontekstitiedot näytetään nykyisen sovellusnäytön oikeassa reunassa. Oletusarvoisesti asetus on aktiivinen.
HELP_REQCONTENT_T	Pyydä sisältöä
HELP_REQCONTENT_H	Avaa sähköposti-ikkunan, jonka avulla pyydetään puuttuvaa sisältöä tekijältä.
HELP_SETTINGS_T	Asetukset
HELP_SETTINGS_H	Näkymä sisältää asetukset kohteen @{NAVIGATOR} sisällön näyttöä varten.
HELP_MYROLES_T	Omat roolit
HELP_MYROLES_H	Tämä asetus näyttää kohdistetun roolin sisällön.
HELP_WITHOUTROLES_T	Näytä sisältö ilman rooleja
HELP_WITHOUTROLES_H	Tämä asetus näyttää sisällön ilman kohdistettuja rooleja.
HELP_EDITROLES_T	Roolit
HELP_EDITROLES_H	Kaikki sisältöä varten käytettävät roolit listataan, ja ne voidaan aktivoida tai aktivointi poistaa sisällön näyttämiseksi.
HELP_SHARECONTENT_T	Jaa sisältö
HELP_SHARECONTENT_H	Avaa valintaikkunan, jossa on linkki sisältöön. Linkki voidaan jakaa muille käyttäjille.
HELP_REQUESTCONTENT_T	Pyydä sisältöä
HELP_REQUESTCONTENT_H	Avaa ennalta määritetyn sähköpostin tietyn tapauksen sisällön pyyntöä varten.
HELP_PLAYBACK_CONTENT_T	Toista sisältö
HELP_PLAYBACK_CONTENT_H	Käytettävissä oleva sisältö voidaan käynnistää tai avata käyttämällä sisältöikkunan painikkeita.
HELP_MINIMIZED_STATUS_T	Pienennetty tila
HELP_MINIMIZED_STATUS_H	Jos pääikkuna suljetaan, kelluvassa tilakuvakkeessa näkyy edelleen, onko nykyiselle kontekstille saatavissa sisältöä. Voit palauttaa pääikkunan napsauttamalla kuvaketta.
HELP_MINIMIZED_MENU_T	Kontekstivalikko
HELP_MINIMIZED_MENU_H	Kontekstivalikko (kuvaketta napsautetaan hiiren kakkospainikkeella) sisältää toimintoja pääikkunan ja kontekstiohjeen näyttöä varten.
HELP_BOOK_WINDOW_T	Kirjaikkuna
HELP_BOOK_WINDOW_H	Kirjaikkuna avataan, kun kirja toistetaan. Pääikkuna ja sisältöikkuna piilotetaan.
HELP_GOTOTOP	Siirry ylös
HELP_CAPTION	@{NAVIGATOR} - ohje
NAVHELP_TITLE	Tilakuvake ja kontekstivalikko
NAVHELP_INTRO	</br>Ohjeessa esitetään yleistiedot tilakuvakkeen ja kontekstivalikon merkinnöistä.
NAVHELP_STATUS_ICON_T	Tilakuvake (tehtäväpalkki)
NAVHELP_STATUS_ICON_H	Tilakuvake on sijoitettu tehtäväpalkkiin ja siinä näkyvät kohteen @{NAVIGATOR} nykyiset toiminnot. Kuvakkeella on kolme eri tilaa:
NAVHELP_STATUS_FOUND_T	Sisältö käytettävissä (vihreä kuvake)
NAVHELP_STATUS_FOUND_H	Sisältö on käytettävissä nykyistä kontekstia varten, ja se näytetään.
NAVHELP_STATUS_CHECK_T	Ladataan sisältöä (keltainen kuvake)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR} tarkistaa käytettävissä olevan sisällön nykyisen kontekstin ja lataa sisällön.
NAVHELP_STATUS_NOFOUND_T	Sisältöä ei ole käytettävissä (punainen kuvake)
NAVHELP_STATUS_NOFOUND_H	Sisältö ei ole käytettävissä nykyistä kontekstia varten.
NAVHELP_STANDBY_T	Aktivointi poistettu
NAVHELP_STANDBY_H	Kohteen @{NAVIGATOR} aktivointi on poistettu. Voit aktivoida kohteen @{NAVIGATOR} tai poistaa sen aktivoinnin napsauttamalla tilakuvaketta (<i>CTRL + F11</i>).
NAVHELP_STATUS_MIN_T	Pienennetty
NAVHELP_STATUS_MIN_H	Ikkunat ja sivupalkki pienennetään.
NAVHELP_STATUS_MENU_T	Kontekstivalikko
NAVHELP_STATUS_MENU_H	Kontekstivalikko (napsauta kuvaketta hiiren kakkospainikkeella) sisältää @{NAVIGATOR} yleiset toiminnot.
NAVHELP_VERSION_T	Näytä versio
NAVHELP_VERSION_H	Näyttää asennetun @{NAVIGATOR} versionumeron. Tietoja tarvitaan, jos ongelmien ilmetessä otetaan yhteys tukeen.
NAVHELP_JSCONSOLE_T	JavaScript-konsoli
NAVHELP_JSCONSOLE_H	Näyttää JavaScript-konsolin ja yksityiskohtaiset virheilmoitukset. Tietoja tarvitaan, jos ongelmien ilmetessä otetaan yhteys tukeen.
NAVHELP_NAV_CACHE_T	Poista paikallinen välimuisti
NAVHELP_NAV_CACHE_H	Poistaa kohteen @{NAVIGATOR} sisällön paikallisen välimuistin.
NAVHELP_RESET_HIDDEN_T	Näytä kaikki piilotetut ohjeet uudelleen
NAVHELP_RESET_HIDDEN_H	Palauttaa tilaan 'Piilotettu' asetetut apuelementit toiston aikana.
NAVHELP_EXIT_T	Lopeta
NAVHELP_EXIT_H	Pysäyttää toiston ja sulkee kohteen @{NAVIGATOR}.
IDS_NAVP_ABOUT	Näytä versio...
IDS_NAVP_CONSOLE	JavaScript-konsoli...
IDS_NAVP_DELETE_CACHE	Poista paikallinen välimuisti
IDS_NAVP_HOOKER	Hooker
