#	אטומי טקסט באנגלית
BULLET	&#149;
TOK_COMPANY	SAP
TOK_LIB	קורס
TOK_TOUR	שיעור
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	צא
BTN_CLOSE	צא
BTN_OK	OK
BTN_CLOSE_DLG	סגור
BTN_CONTINUE	המשך
BTN_PREVIEW	תצוגה מקדימה
BTN_PROCEED	המשך
BTN_RESTART	אתחל
BTN_SKIP	דלג על שלב
BTN_START	התחל
BTN_STOP	הפסק
BTN_EXECUTE	בצע
CA_SWITCH	עזרת הקשר
CONTENT_CAP	תוכן
MAIL_SUBJECT	בקשת תוכן עבור סייע של שולחן עבודה
MAIL_HEADER	מחבר יקר,\n\nאני מבקש תוכן עבור:
MAIL_FOOTER	- תהליך/טרנזקציה: תאר את תהליך היישום שנמצא בשימוש כעת. \n\n- תיאור: תאר את המידע לו אתה זקוק. \n\n בברכה,
MAIL_DATA	- שם יישום:
MAIL_TOOLTIP	בקש תוכן
SHARE_TOOLTIP	שתף תוכן
REQUEST_TEXT	לחץ על %s כדי לבקש תוכן
REQUEST_LINK	כאן
SEARCH_CAP	חפש
INFO_CAP	מידע
SETTINGS_CAP	הגדרות
BACK_TOOLTIP	חזור
SHARE_CONTENT_TOOLTIP	שתף תוכן
CB_HIDE_OPTION	אל תציג שוב
MY_ROLES	התפקידים שלי
EDIT_ROLES	שנה תפקידים
NO_ROLES	הצג תוכן ללא תפקידים
SELECT_ALL_CAPTION	בחר הכול
USER_CAPTION	אזור משתמש
READ_MORE	קרא עוד...
NO_CATEGORY_CAPTION	תוכן אחר
DELETE_FAILED	פעולת מחיקה נכשלה.
RENAME_FAILED	שינוי שם פעולה נכשל.
FILE_EXISTS	כבר קיים קובץ בשם זהה. הזן שם שונה.
LBL_YES	כן
LBL_DELETE	מחק
LBL_NO	לא
LBL_OK	Ok
DELETE_DLG_TEXT	האם אתה בטוח שברצונך למחוק את המסמכים שנבחרו (%N)?
LBL_CONCURRENT	התחל מצב מקביל
LBL_DA	סייע שולחן עבודה
LBL_SIM	התחל הדמיה
LBL_CDOC	פתוח
LBL_DEMO	התחל מצב הדגמה
LBL_NAVI	התחל סיור מודרך
LBL_BOOK	הפעל ספר
LBL_GROUP	פתח בספרייה
LBL_NAVIGATION	סייע שולחן עבודה
LBL_PA	סיור מודרך
LBL_PRACTICE	התחל מצב תרגול
LBL_SIMULATION	הדמיה
LBL_BOOKPAGE	הצג דף ספר
LBL_TEST	התחל מצב בדיקה
LBL_RECORD_DOCUMENT	מסמך רשומה
MSG_AUTOMATION_FINISHED	אוטומציה הסתיימה
MSG_AUTOMATION_FINISHED_2	לחץ על 'אתחל' כדי להתחיל את התהליך האוטומטי שוב.
MSG_AUTOMATION_START	ערוך ערכי קלט
MSG_AUTOMATION_START_2	בדוק או ערוך את הערכים הבאים. הם יוזנו אוטומטית במהלך התהליך.
MSG_EPO_DIALOG	ממטב תהליך אלקטרוני
MSG_NAVI_LIBRARY_NO_APP	אין מידע נוסף זמין.
LBL_NAVI_NO_MATCH	החיפוש שלך לא החזיר תוצאות.
NO_RECORDS	אין מסמכים זמינים.
MSG_NAVI_LIBRARY_SUBTITLE	תוכן זמין:
MSG_NAVI_LIBRARY_TITLE	סייע שולחן עבודה
MSG_NOT_APPLICABLE	לא ניתן לעריכה
MSG_PA_CONTROL_STEP	פעולה נדרשת עבור השלב:
MSG_PA_EXPLANATION_STEP	נווט אל המסך שמוצג למטה.
MSG_PA_FORM_STEP	שדות נדרשים למילוי בטופס:
MSG_PA_DIALOG	סיור מודרך
MSG_PA_START_SCREEN	פתח את מסך הפתיחה.
MSG_PA_STEP_NOT_FOUND	עבור למסך הנדרש
MSG_PA_STEP_NOT_FOUND1	ודא שיישום היעד (@{TARGETAPPNAME}) פתוח.
MSG_PA_STEP_NOT_FOUND2	נווט למסך עם הבקרה המודגשת שמוצג למטה.
MSG_STEP_LIGHT	תצוגה מקדימה של שלב
MSG_STEP_NOT_FOUND	שלב בסיור מודרך לא נמצא.
MSG_STEP_NOT_FOUND_2	לחץ בפס הכותרת של יישום היעד או נווט למסך הנכון.<br><br>לחץ על 'תצוגה מקדימה' כדי לראות את המסך הנדרש.
PA_FINISHED	סיור מודרך הסתיים.
PROJECT_TITLE	כותרת פרויקט
TRAY_INFO_BUBBLE_HEADING	סיור מודרך
TRAY_INFO_BUBBLE_TEXT	לא ניתן להציג את השלב הנוכחי. לחץ כאן כדי לקבל מידע נוסף.
RESTRICTED_BUBBLE_HEADING	פעולה חסומה
RESTRICTED_BUBBLE_TEXT	לא ניתן לבצע פעולות עד שהשלב הנוכחי יאושר.
HELP_TITLE	עזרה
HELP_INTRO	העזרה מספקת לך סקירה על הפונקציות והחלקים העיקריים של @{NAVIGATOR}.</br></br><b>שים לב:</b> הפונקציות הזמינות תלויות בתצורה של @{NAVIGATOR}.</br>
HELP_TITLE_DA	חלונות וסרגל צידי
HELP_SIDEBAR_T	סרגל צידי
HELP_SIDEBAR_H	סרגל הצד מאפשר הפעלת הפונקציות העיקריות של @{NAVIGATOR}. כל פונקציה מיוצגת על-ידי לחצן. ניתן להעביר את סרגל הצד ממקום למקום באמצעות פעולה 'גרור ושחרר' וניתן להקטינו ולהגדילו על-ידי לחיצה על גבול הסרגל הצידי.
HELP_CONTENT_CONTROL_T	תוכן
HELP_CONTENT_CONTROL_H	מציין אם התוכן זמין. פותח את החלון הראשי עם התוכן.
HELP_SEARCH_CONTROL_T	חפש
HELP_SEARCH_CONTROL_H	פותח את החיפוש לצורך חיפוש תוכן.
HELP_EXTSEARCH_CONTROL_T	חיפוש חיצוני
HELP_EXTSEARCH_CONTROL_H	פותח את החיפוש החיצוני עבור חיפוש תוכן.
HELP_STICKY_CONTROL_T	הוסף פתק נדבק
HELP_STICKY_CONTROL_H	מכניס פתק נדבק לחלון היישום הנוכחי. באפשרותך להזין טקסט לפתק הנדבק.
HELP_RECORDING_CONTROL_T	התחל הקלטה
HELP_RECORDING_CONTROL_H	מתחיל את הרישום של תהליך. התהליך שנרשם יישמר כמסמך באזור המשתמש.
HELP_MAIN_WINDOW_T	חלון ראשי
HELP_MAIN_WINDOW_H	החלון הראשי מציג את התכנים הזמינים עבור הקשר דף מסוים.</br>במהלך ניגון הקלטה של סיור מודרך, החלון מציג את רשימת השלבים.
HELP_HEADER_T	כותרת עליונה
HELP_HEADER_H	סמל הסטאטוס בכותרת העליונה מציין אם התוכן זמין עבור ההקשר הנוכחי.
HELP_CONTENT_TAB_T	לשונית תוכן
HELP_CONTENT_TAB_H	הלשוניות מציגות את התוכן הזמין עבור היישום הנוכחי.
HELP_CONTENT_VIEW_T	תצוגת תוכן
HELP_CONTENT_VIEW_H	תצוגת התוכן מציגה את המידע, המצבים והתיעוד הזמינים עבור התוכן שנבחר.</br>ניתן להשתמש בבקרה 'הקודם' כדי לחזור לרשימת התכנים.
HELP_SEARCH_TAB_T	לשונית חיפוש
HELP_SEARCH_TAB_H	בלשונית תוכל לחפש תוכן מסוים עבור ההקשר הנוכחי שלך.
HELP_INFO_TAB_T	לשונית מידע
HELP_INFO_TAB_H	הלשונית מציגה מידע כללי על אודות @{NAVIGATOR}.
HELP_USERAREA_TAB_T	לשונית אזור משתמש.
HELP_USERAREA_TAB_H	הלשונית מכילה את מסמכי התהליך שנרשמו. באפשרותך לפתוח, לשתף או למחוק מסמך. באפשרותך לבצע רישום של תהליכים נוספים.
HELP_INSTANT_T	עזרה מיידית
HELP_INSTANT_H	באמצעות ההגדרה המופעלת, מידע הקשר נוסף מוצג ישירות במסך היישום הנוכחי. ההגדרה מופעלת בברירת מחדל.
HELP_REQCONTENT_T	בקש תוכן
HELP_REQCONTENT_H	פותח חלון דוא"ל עבור בקשות לתוכן חסר מהמחבר.
HELP_SETTINGS_T	הגדרות
HELP_SETTINGS_H	התצוגה מכילה הגדרות להצגת התוכן של @{NAVIGATOR} .
HELP_MYROLES_T	התפקידים שלי
HELP_MYROLES_H	הגדרה זו מציגה תוכן עבור התפקיד שהוקצה.
HELP_WITHOUTROLES_T	הצג תוכן ללא תפקידים
HELP_WITHOUTROLES_H	הגדרה זו מציגה תוכן ללא תפקידים מוקצים.
HELP_EDITROLES_T	תפקידים
HELP_EDITROLES_H	כל התפקידים המשמשים את התוכן רשומים וניתנים להפעלה או להשבתה לצורך הצגת התוכן.
HELP_SHARECONTENT_T	שתף תוכן
HELP_SHARECONTENT_H	פותח תיבת דיאלוג עם הקישור לתוכן. ניתן לשתף את הקישור עם משתמשים אחרים.
HELP_REQUESTCONTENT_T	בקש תוכן
HELP_REQUESTCONTENT_H	פותח הודעת דוא"ל מוגדרת מראש לבקשת תוכן עבור מקרה ספציפי
HELP_PLAYBACK_CONTENT_T	תוכן ניגון הקלטה
HELP_PLAYBACK_CONTENT_H	ניתן להפעיל או לפתוח את התוכן הזמין באמצעות הלחצנים בחלון התוכן.
HELP_MINIMIZED_STATUS_T	סטאטוס ממוזער
HELP_MINIMIZED_STATUS_H	במקרה של סגירת החלון הראשי, סמל סטאטוס צף עדיין יציין אם יש תוכן זמין עבור ההקשר הנוכחי. לחץ על הסמל כדי לשחזר את החלון הראשי.
HELP_MINIMIZED_MENU_T	תפריט לחצן ימני
