#	अंग्रेज़ी टेक्स्ट एटम
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	पाठ्यक्रम
TOK_TOUR	पाठ
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	लाइब्रेरी
BTN_ABORT	छोड़ दें
BTN_CLOSE	छोड़ दें
BTN_OK	ठीक
BTN_CLOSE_DLG	बंद करें
BTN_CONTINUE	जारी रखें
BTN_PREVIEW	पूर्वावलोकन
BTN_PROCEED	जारी रखें
BTN_RESTART	पुनर्प्रारंभ करें
BTN_SKIP	चरण छोड़ें
BTN_START	प्रारंभ करें
BTN_STOP	बंद करें
BTN_EXECUTE	निष्पादित करें
CA_SWITCH	प्रसंग सहायता
CONTENT_CAP	सामग्री
MAIL_SUBJECT	डेस्कटॉप सहायता के लिए सामग्री अनुरोध
MAIL_HEADER	प्रिय लेखक,\n\nमैं सामग्री के लिए अनुरोध करना चाहता हूँ:
MAIL_FOOTER	प्रक्रिया/लेनदेन: कृपया यह बताएं कि एप्लिकेशन प्रक्रिया वर्तमान में उपयोग में है \n\n– वर्णन: आपको जिस चीज की जानकारी चाहिए, कृपया उसके बारे में बताएं \n\n भवदीय
MAIL_DATA	- एप्लिकेशन का नाम:
MAIL_TOOLTIP	अनुरोध सामग्री
SHARE_TOOLTIP	सामग्री का साझा करें
REQUEST_TEXT	अनुसोध सामग्री के लिए %s क्लिक करें
REQUEST_LINK	यहां
SEARCH_CAP	खोजें
INFO_CAP	सूचना
SETTINGS_CAP	सेटिंग
BACK_TOOLTIP	पिछला
SHARE_CONTENT_TOOLTIP	सामग्री का साझा करें
CB_HIDE_OPTION	पुनः न दिखाएं
MY_ROLES	मेरी भूमिकाएं
EDIT_ROLES	भूमिकाओं को बदलें
NO_ROLES	भूमिकाओं के बिना सामग्री दिखाएं
SELECT_ALL_CAPTION	सभी का चयन करें
USER_CAPTION	उपयोगकर्ता क्षेत्र
READ_MORE	अधिक पढ़ें...
NO_CATEGORY_CAPTION	अन्य सामग्री
DELETE_FAILED	विफल संचालन हटाएं.
RENAME_FAILED	विफल संचालन नाम बदलें.
FILE_EXISTS	एक हीं नाम से फ़ाइल पहले से मौजूद है. अलग नाम दर्ज करें.
LBL_YES	हां
LBL_DELETE	हटाएं
LBL_NO	नहीं
LBL_OK	ठीक
DELETE_DLG_TEXT	क्या आप वाकई चयनित दस्तावेज़ों (%N) को हटाना चाहते हैं?
LBL_CONCURRENT	समवर्ती मोड प्रारंभ करें
LBL_DA	डेस्कटॉप सहायक
LBL_SIM	अनुरूपण प्रारंभ करें
LBL_CDOC	खोलें
LBL_DEMO	डेमो मोड प्रारंभ करें
LBL_NAVI	निर्देशित यात्रा प्रारंभ करें
LBL_BOOK	बुक चलाएं
LBL_GROUP	लाइब्रेरी में खोलें
LBL_NAVIGATION	डेस्कटॉप सहायक
LBL_PA	निर्देशित यात्रा
LBL_PRACTICE	अभ्यास मोड प्रारंभ करें
LBL_SIMULATION	अनुरूपण
LBL_BOOKPAGE	बुक पेज दिखाएं
LBL_TEST	परीक्षण मोड प्रारंभ करें
LBL_RECORD_DOCUMENT	रिकॉर्ड दस्तावेज़
MSG_AUTOMATION_FINISHED	स्वचालन समाप्त
MSG_AUTOMATION_FINISHED_2	स्वचालित प्रोसेस पुनः प्रारंभ करने के लिए "पुनर्प्रारंभ करें" क्लिक करें.
MSG_AUTOMATION_START	इनपुट मानों को संपादित करें
MSG_AUTOMATION_START_2	निम्न मान जांचें या संपादित करें. इन्हें प्रोसेस के दौरान स्वतः दर्ज किया जाएगा.
MSG_EPO_DIALOG	इलेक्ट्रोनिक प्रोसेस ऑप्टीमाइज़र
MSG_NAVI_LIBRARY_NO_APP	कोई जानकारी उपलब्ध नहीं है.
LBL_NAVI_NO_MATCH	आपके खोज के लिए कोई परिणाम नहीं है.
NO_RECORDS	कोई दस्तावेज़ उपलब्ध नहीं हैं.
MSG_NAVI_LIBRARY_SUBTITLE	उपलब्ध सामग्रियां:
MSG_NAVI_LIBRARY_TITLE	डेस्कटॉप सहायक
MSG_NOT_APPLICABLE	संपादन योग्य नहीं
MSG_PA_CONTROL_STEP	इस चरण के लिए आवश्यक कार्रवाई:
MSG_PA_EXPLANATION_STEP	नीचे दिए गए स्क्रीन को नेविगेट करें.
MSG_PA_FORM_STEP	आवश्यक फ़ील्ड फ़ॉर्म में भरा जाना है:
MSG_PA_DIALOG	निर्देशित यात्रा
MSG_PA_START_SCREEN	प्रारंभ स्क्रीन खोलें.
MSG_PA_STEP_NOT_FOUND	आवश्यक स्क्रीन पर स्विच करें
MSG_PA_STEP_NOT_FOUND1	सुनिश्चित करें कि लक्षित एप्लिकेशन (@{TARGETAPPNAME}) खुला है.
MSG_PA_STEP_NOT_FOUND2	नीचे दिए गए हाइलाइट नियंत्रण के साथ स्क्रीन के लिए नेविगेट करें.
MSG_STEP_LIGHT	चरण पूर्वावलोकन
MSG_STEP_NOT_FOUND	निर्देशित भ्रमण चरण नहीं मिला.
MSG_STEP_NOT_FOUND_2	लक्ष्य एप्लिकेशन के संज्ञा बार में क्लिक करें या दाईं स्क्रीन पर क्लिक करें.<br><br>आवश्यक स्क्रीन देखने के लिए 'पूर्वावलोकन' क्लिक करें.
PA_FINISHED	निर्देशित यात्रा समाप्त हुई.
PROJECT_TITLE	प्रोजेक्ट शीर्षक
TRAY_INFO_BUBBLE_HEADING	निर्देशित यात्रा
TRAY_INFO_BUBBLE_TEXT	वर्तमान चरण प्रदर्शित नहीं किया जा सकता. अधिक जानकारी के लिए यहां क्लिक करें.
RESTRICTED_BUBBLE_HEADING	अवरोधित कार्रवाई
RESTRICTED_BUBBLE_TEXT	वर्तमान चरण की पुष्टि होने तक आप कोई भी कार्रवाई निष्पादित नहीं कर सकते.
HELP_TITLE	सहायता
HELP_INTRO	सहायता से आप मुख्य भाग का ओवरव्यू और डेस्कटॉप सहायक के फ़ंक्शन बताते हैं.@{NAVIGATOR}.</br></br><b>ध्यान दें:</b> कि उपलब्ध फ़ंक्शन डेस्कटॉप सहायक के कॉन्फ़िगरेशन पर निर्भर करता है.@{NAVIGATOR}.</br>.
HELP_TITLE_DA	लाइडबार और विंडो
HELP_SIDEBAR_T	साइडबार
HELP_SIDEBAR_H	साइडबार आपको डेस्कटॉप सहायक के लिए मुख्य फ़ंक्शन आरंभ करने की अनुमति देता है @{NAVIGATOR}. प्रत्येक फ़ंक्शन बटन के लिए प्रदर्शन किया गया है. साइटबार खीचते और छोड़ते समय जाया जा सकता है और कम से कम और साइडबार सीमा पर क्लिक करने के साथ बड़ा किया जा सकता है.
HELP_CONTENT_CONTROL_T	सामग्री
HELP_CONTENT_CONTROL_H	सामग्री उपलब्ध होने पर संकेत देता है. सामग्री के साथ मुख्य विंडो खोलता है.
HELP_SEARCH_CONTROL_T	खोजें
HELP_SEARCH_CONTROL_H	सामग्री खोज करने के लिए खोज खोलता है.
HELP_EXTSEARCH_CONTROL_T	बाहरी खोज
HELP_EXTSEARCH_CONTROL_H	सामग्री खोज करने के लिए बाहरी खोज खोलता है.
HELP_STICKY_CONTROL_T	स्टिकी नोट जोडें
HELP_STICKY_CONTROL_H	वर्तमान एप्लिकेशन विंडो के लिए स्टिकी नोट सम्मिलित करता है. अपने स्टिकी नोट के लिए आप टेक्स्ट दर्ज कर सकत
HELP_RECORDING_CONTROL_T	रिकॉर्डिंग प्रारंभ करें
HELP_RECORDING_CONTROL_H	प्रक्रिया की रिकॉर्डिंग प्रारंभ करता है. रिकॉर्ड की गई प्रक्रिया उपयोगकर्ता क्षेत्र में दस्तावेज़ के रूप में सहेजी जाएगी.
HELP_MAIN_WINDOW_T	मुख्य विंडो
HELP_MAIN_WINDOW_H	मुख्य विंडो विशिष्ट पृष्ठ प्रसंग के लिए उपलब्ध सामग्रियां दिखाता है.</br>निर्देशित यात्रा के प्लेबैक के दौरान, विंडो चरण सूची को प्रदर्शित करता है.
HELP_HEADER_T	शीर्षलेख
HELP_HEADER_H	शीर्षलेख में स्थिति आइकन यह इंगित करता है कि सामग्री वर्तमान प्रसंग के लिए उपलब्ध है.
HELP_CONTENT_TAB_T	सामग्री टैब
HELP_CONTENT_TAB_H	टैब वर्तमान एप्लिकेशन के लिए उपलब्ध सामग्री दिखाता है.
HELP_CONTENT_VIEW_T	सामग्री दृश्य
HELP_CONTENT_VIEW_H	सामग्री दृश्य चयनित सामग्री के लिए उपलब्ध जानकारी, मोड और दस्तावेजीकरण दिखाता है.</br>सामग्री सूची पर वापस जाने के लिए आप ‘वापस जाएं’ नियंत्रण का उपयोग कर सकते हैं.
HELP_SEARCH_TAB_T	खोज टैब
HELP_SEARCH_TAB_H	टैब पर आप अपने वर्तमान प्रसंग के लिए विशिष्ट प्रसंग खोज सकते हैं.
HELP_INFO_TAB_T	सूचना टैब
HELP_INFO_TAB_H	टैब, डेस्कटॉप सहायक के बारे में सामान्य जानकारी दिखाता है @{NAVIGATOR}.
HELP_USERAREA_TAB_T	उपयोगकर्ता क्षेत्र टैब
HELP_USERAREA_TAB_H	टैब में रिकॉर्ड किए गए प्रक्रिया दस्तावेज़ शामिल होते हैं. आप दस्तावेज़ को खोल सकते हैं, साझा कर सकते हैं या हटा सकते हैं. आप अग्रिम प्रक्रिया को रिकॉर्ड कर सकते हैं.
HELP_INSTANT_T	तत्काल सहायता
HELP_INSTANT_H	सक्रिय की गई सेटिंग के साथ अतिरिक्त प्रसंग जानकारी वर्तमान एप्लिकेशन स्क्रीन पर सीधे दिखाई देती है. सेटिंग डिफ़ॉल्ट रूप से सक्षम है.
HELP_REQCONTENT_T	अनुरोध सामग्री
HELP_REQCONTENT_H	लेखक से अनुपलब्ध प्रसंग का अनुरोध करने के लिए एक ई-मेल विंडो खोलता है.
HELP_SETTINGS_T	सेटिंग
HELP_SETTINGS_H	सेटिंग मेनु डेस्कटॉप सहायक सामग्री प्रदर्शन के लिए सेटिंग में @{NAVIGATOR} शामिल है.
HELP_MYROLES_T	मेरी भूमिकाएं
HELP_MYROLES_H	असाइन किए गए भूमिका के लिए सेटिंग सामग्री प्रदर्शित करता है
HELP_WITHOUTROLES_T	भूमिकाओं के बिना सामग्री दिखाएं
HELP_WITHOUTROLES_H	इस असाइन किए गए भूमिकाओं के बिना सेटिंग प्रदर्शित करता है.
HELP_EDITROLES_T	भूमिकाएं
HELP_EDITROLES_H	सामग्री के लिए प्रयुक्त सभी भूमिकाओं का सूचीबद्ध किया गया है और सामग्री प्रदर्शित करने के लिए सक्रिय या न
HELP_SHARECONTENT_T	सामग्री का साझा करें
HELP_SHARECONTENT_H	सामग्री के लिए लिंक के साथ डाएलॉग बॉक्स खोलें. लिंक अन्य उपयोगकर्ता के साथ साझा हो सकता है.
HELP_REQUESTCONTENT_T	अनुरोध सामग्री
HELP_REQUESTCONTENT_H	निर्दिष्ट केस हेतु अनुरोध सामग्री के लिए पूर्व-निर्धारित ई-मेल खोलते है.
HELP_PLAYBACK_CONTENT_T	प्लेबैक प्रसंग
HELP_PLAYBACK_CONTENT_H	उपलब्ध सामग्री को कनटेंट विंडो में दिए गए बटन का उपयोग करते समय प्रारंभ या खोला जा सकता है.
HELP_MINIMIZED_STATUS_T	न्यूनतम स्थिति
HELP_MINIMIZED_STATUS_H	अगर आप विंडो को बंद कर देते हैं, तो एक फ़्लोटिंग स्थिति आइकन यह इंगित करेगा कि सामग्री वर्तमान प्रसंग के लिए उपलब्ध है या नहीं. मुख्य विंडो को प्रतिस्थापित करने के लिए आइकन क्लिक करें.
HELP_MINIMIZED_MENU_T	प्रसंग मेनू
HELP_MINIMIZED_MENU_H	प्रसंग मेनू में (आइकन पर दायां माउस क्लिक करें) मुख्य विंडो और प्रसंग सहायता प्रदर्शित करने के फ़ंक्शन शामिल होते हैं.
HELP_BOOK_WINDOW_T	बुक विंडो
HELP_BOOK_WINDOW_H	बुक विंडो बुक को वापस खेलने के लिए खोला गया. मुख्य विंडो और सामग्री विंडो को छिपाया गया.
HELP_GOTOTOP	शीर्ष पर जाएं
HELP_CAPTION	@{NAVIGATOR} सहायता
NAVHELP_TITLE	स्थिति आइकन और प्रसंग मेनु
NAVHELP_INTRO	</br>सहायता आपको के मुख्य भागों और फ़ंक्शन के बारे में ओवरव्यू देता है.
NAVHELP_STATUS_ICON_T	स्थिति आइकन (टास्कबार)
NAVHELP_STATUS_ICON_H	स्थिति आइकन को टास्कबार में स्थित किया जाता है और वह @{NAVIGATOR} की वर्तमान गतिविधियां दिखाता है. निम्नलिखित स्थितियां हैं:
NAVHELP_STATUS_FOUND_T	सामग्री उपलब्ध (हरा आइकन)
NAVHELP_STATUS_FOUND_H	वर्तमान प्रसंग के लिए सामग्री उपलब्ध और प्रदर्शित है.
