#	Atom teks berbahasa Inggris
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Kursus
TOK_TOUR	Pelajaran
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	pustaka
BTN_ABORT	Berhenti
BTN_CLOSE	Berhenti
BTN_OK	OK
BTN_CLOSE_DLG	Tutup
BTN_CONTINUE	Lanjutkan
BTN_PREVIEW	Pratinjau
BTN_PROCEED	Lanjutkan
BTN_RESTART	Mulai ulang
BTN_SKIP	Lewatkan Tahap
BTN_START	Mulai
BTN_STOP	Berhenti
BTN_EXECUTE	Eksekusi
CA_SWITCH	Bantuan Konteks
CONTENT_CAP	Konten
MAIL_SUBJECT	Pemintaan Konten untuk Asisten Desktop
MAIL_HEADER	Penulis yang terhormat,\n\nSaya ingin meminta konten untuk hal-hal berikut:
MAIL_FOOTER	- Proses/Transaksi: Harap deskripsikan proses aplikasi yang saat ini Anda gunakan. \n\n- Deskripsi: Harap deskripsikan informasi yang Anda perlukan. \n\nSalam hormat,
MAIL_DATA	- Nama Aplikasi:
MAIL_TOOLTIP	Konten Permintaan
SHARE_TOOLTIP	Konten Berbagi
REQUEST_TEXT	Klik %s ke konten yang diminta
REQUEST_LINK	di sini
SEARCH_CAP	Cari
INFO_CAP	Info
SETTINGS_CAP	Pengaturan
BACK_TOOLTIP	Kembali
SHARE_CONTENT_TOOLTIP	Konten Berbagi
CB_HIDE_OPTION	Jangan ditampilkan lagi
MY_ROLES	Peran saya
EDIT_ROLES	Ubah Peran
NO_ROLES	Tampilkan Konteks Tanpa Peran
SELECT_ALL_CAPTION	Pilih Semua
USER_CAPTION	Area Pengguna
READ_MORE	Baca lebih banyak...
NO_CATEGORY_CAPTION	Tidak Ada
DELETE_FAILED	Operasi penghapusan gagal.
RENAME_FAILED	Operasi penggantian nama gagal.
FILE_EXISTS	File dengan nama yang sama sudah ada. Masukkan nama yang berbeda.
LBL_YES	Ya
LBL_DELETE	Hapus
LBL_NO	Tidak
LBL_OK	Ok
DELETE_DLG_TEXT	Apakah Anda benar-benar ingin menghapus dokumen(%N) terpilih?
LBL_CONCURRENT	Mulai Mode Serentak
LBL_DA	Asisten Desktop
LBL_SIM	Mulai Simulasi
LBL_CDOC	Buka
LBL_DEMO	Mulai Mode Demo
LBL_NAVI	Mulai Tur Terpandu
LBL_BOOK	Putar Buku
LBL_GROUP	Buka dalam library
LBL_NAVIGATION	Asisten Desktop
LBL_PA	Tur Terpandu
LBL_PRACTICE	Mulai Mode Latihan
LBL_SIMULATION	Simulasi
LBL_BOOKPAGE	Tampilkan Halaman Buku
LBL_TEST	Mulai Mode Uji
LBL_RECORD_DOCUMENT	Rekam Dokumen
MSG_AUTOMATION_FINISHED	Otomasi berakhir
MSG_AUTOMATION_FINISHED_2	Klik pada 'Ulangi', untuk memulai proses otomatis lagi.
MSG_AUTOMATION_START	Mengedit nilai input
MSG_AUTOMATION_START_2	Periksa atau edit nilai berikut. Saat proses, ini akan dimasukkan secara otomatis.
MSG_EPO_DIALOG	Pengoptimal Proses Elektronik (Electronic Process Optimizer)
MSG_NAVI_LIBRARY_NO_APP	Tidak ada informasi yang tersedia.
LBL_NAVI_NO_MATCH	Tidak ada hasil untuk pencarian Anda.
NO_RECORDS	Tidak ada dokumen yang tersedia.
MSG_NAVI_LIBRARY_SUBTITLE	Konten tersedia:
MSG_NAVI_LIBRARY_TITLE	Asisten Desktop
MSG_NOT_APPLICABLE	tidak dapat diedit
MSG_PA_CONTROL_STEP	Kontrol yang diperlukan untuk tahap:
MSG_PA_EXPLANATION_STEP	Navigasikan ke layar yang ditampilkan di bawah.
MSG_PA_FORM_STEP	Bidang yang diperlukan yang harus diisi dalam formulir:
MSG_PA_DIALOG	Tur Terpandu
MSG_PA_START_SCREEN	Buka layar awal.
MSG_PA_STEP_NOT_FOUND	Ganti ke layar yang diperlukan
MSG_PA_STEP_NOT_FOUND1	Pastikan aplikasi target (@{TARGETAPPNAME}) terbuka.
MSG_PA_STEP_NOT_FOUND2	Navigasikan ke layar dengan kontrol tersorot yang ditampilkan di bawah.
MSG_STEP_LIGHT	Pratinjau Tahap
MSG_STEP_NOT_FOUND	Tahap tur terpandu tidak ditemukan.
MSG_STEP_NOT_FOUND_2	Klik pada bar judul dari aplikasi target atau navigasikan ke layar yang benar.<br><br>Klik pada 'Pratinjau' untuk melihat layar yang diperlukan.
PA_FINISHED	Tur Terpandu Berakhir.
PROJECT_TITLE	Judul Proyek
TRAY_INFO_BUBBLE_HEADING	Tur Terpandu
TRAY_INFO_BUBBLE_TEXT	Tahap saat ini tidak dapat ditampilkan. Klik di sini untuk informasi lebih lanjut.
RESTRICTED_BUBBLE_HEADING	Tindakan Diblokir
RESTRICTED_BUBBLE_TEXT	Anda tidak dapat menjalankan tindakan apa pun hingga tahap saat ini dikonfirmasi.
HELP_TITLE	Bantuan
HELP_INTRO	Bantuan memberikan Anda gambaran umum mengenai bagian utama dan fungsi @{NAVIGATOR}.</br></br><b>Catatan:</b> Fungsi yang tersedia bergantung pada konfigurasi @{NAVIGATOR}.</br>
HELP_TITLE_DA	Bar Sisi dan Jendela
HELP_SIDEBAR_T	Sidebar
HELP_SIDEBAR_H	Sidebar memungkinkan Anda untuk memulai fungsi utama pada @{NAVIGATOR}. Sebuah tombol ditampilkan untuk setiap fungsi. Sidebar dapat digerakkan dengan tarik dan taruh dan dapat diminimalkan dan dimaksimalkan dengan mengklik tepi sidebar.
HELP_CONTENT_CONTROL_T	Konten
HELP_CONTENT_CONTROL_H	Mengindikasikan jika konten telah tersedia. Membuka jendela utama dengan konten.
HELP_SEARCH_CONTROL_T	Cari
HELP_SEARCH_CONTROL_H	Membuka pencarian untuk mencari konten.
HELP_EXTSEARCH_CONTROL_T	Pencarian Eksternal
HELP_EXTSEARCH_CONTROL_H	Membuka pencarian eksternal untuk mencari konten.
HELP_STICKY_CONTROL_T	Tambahkan Catatan Tempel
HELP_STICKY_CONTROL_H	Masukkan catatan tempel untuk jendela aplikasi saat ini. Anda dapat memasukkan teks untuk catatan tempel Anda.
HELP_RECORDING_CONTROL_T	Mulai Merekam
HELP_RECORDING_CONTROL_H	Memulai perekaman proses. Proses yang direkam akan disimpan sebagai dokumen dalam Area Pengguna.
HELP_MAIN_WINDOW_T	Jendela Utama
HELP_MAIN_WINDOW_H	Jendela utama menampilkan konten yang tersedia untuk konteks halaman spesifik.</br>Selama pemutaran ulang tur terpandu, jendela menampilkan daftar tahap.
HELP_HEADER_T	Judul
HELP_HEADER_H	Ikon status di bagian atas terindikasi apabila konten tersedia untuk konteks terkini.
HELP_CONTENT_TAB_T	Tab Konten
HELP_CONTENT_TAB_H	Tab menampilkan konten yang tersedia untuk aplikasi saat ini.
HELP_CONTENT_VIEW_T	Tampilan Konten
HELP_CONTENT_VIEW_H	Tampilan konten menampilkan mode informasi yang tersedia dan dokumentasi untuk konten yang dipilih.</br>Anda dapat menggunakan kontrol ‘Kembali’ untuk kembali ke daftar konten.
HELP_SEARCH_TAB_T	Tab Pencarian
HELP_SEARCH_TAB_H	Pada tab Anda dapat mencari konten tertentu untuk konteks terkini Anda.
HELP_INFO_TAB_T	Tab Info
HELP_INFO_TAB_H	Tab menampilkan informasi umum mengenai @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Tab Area Pengguna
HELP_USERAREA_TAB_H	Tab berisi dokumen proses yang direkam. Anda dapat membuka, membagi atau menghapus dokumen. Anda dapat merekam proses lebih lanjut.
HELP_INSTANT_T	Bantuan Instan
HELP_INSTANT_H	Dengan mengaktifkan pengaturan tambahan informasi konteks yang ditampilkan tepat di layar aplikasi terkini. Pengaturan diaktifkan melalui default.
HELP_REQCONTENT_T	Meminta Konten
HELP_REQCONTENT_H	Membuka jendela e-mail untuk meminta konten yang hilang dari penulis.
HELP_SETTINGS_T	Pengaturan
HELP_SETTINGS_H	Tampilan berisi pengaturan untuk menampilkan konten @{NAVIGATOR}.
HELP_MYROLES_T	Peran saya
HELP_MYROLES_H	Pengaturan ini menampilkan konten untuk peran yang ditugaskan.
HELP_WITHOUTROLES_T	Tampilkan Konteks Tanpa Peran
HELP_WITHOUTROLES_H	Pengaturan ini menampilkan konten tanpa peran yang ditugaskan.
HELP_EDITROLES_T	Peran
HELP_EDITROLES_H	Semua peran yang digunakan untuk konten dicantumkan dan dapat diaktifkan atau dinonaktifkan untuk menampilkan konten.
HELP_SHARECONTENT_T	Konten Berbagi
HELP_SHARECONTENT_H	Membuka kotak dialog dengan tautan ke konten. Tautan dapat dibagi dengan pengguna lain.
HELP_REQUESTCONTENT_T	Meminta Konten
HELP_REQUESTCONTENT_H	Membuka email yang ditentukan sebelumnya untuk meminta konten untuk kasus khusus.
HELP_PLAYBACK_CONTENT_T	Konten Putar Ulang
HELP_PLAYBACK_CONTENT_H	Konten yang tersedia dapat dimulai atau dibuka menggunakan tombol di jendela konten.
HELP_MINIMIZED_STATUS_T	Status Minimal 
HELP_MINIMIZED_STATUS_H	Jika Anda menutup jendela utama ikon status mengambang akan tetap muncul apabila konten tersedia untuk konteks terkini. Klik ikon untuk memulihkan jendela utama.
HELP_MINIMIZED_MENU_T	Menu Konteks
HELP_MINIMIZED_MENU_H	Menu konteks (klik kanan mouse pada ikon) termasuk fungsi untuk menampilkan jendela utama dan bantuan konteks.
HELP_BOOK_WINDOW_T	Jendela Buku
HELP_BOOK_WINDOW_H	Jendela buku terbuka saat memutar suatu buku. Jendela utama dan jendela konten tersembunyi.
HELP_GOTOTOP	Ke atas
HELP_CAPTION	@{NAVIGATOR} Bantuan
NAVHELP_TITLE	Ikon Status dan Menu Konteks
NAVHELP_INTRO	</br>Bantuan memberikan Anda gambaran umum mengenai entri ikon status dan menu konteks.
NAVHELP_STATUS_ICON_T	Ikon Status (Bar Tugas)
NAVHELP_STATUS_ICON_H	Ikon status diposisikan di bar tugas dan menampilkan aktivitas terkini dari @{NAVIGATOR}. Terdapat status berikut:
NAVHELP_STATUS_FOUND_T	Konten yang Tersedia (Ikon Hijau)
NAVHELP_STATUS_FOUND_H	Konten tersedia untuk konteks terkini dan ditampilkan.
NAVHELP_STATUS_CHECK_T	Memuat Konten (Ikon Kuning)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR} memeriksa konteks terkini untuk konten yang tersedia dan memuat konten tersebut.
NAVHELP_STATUS_NOFOUND_T	Tidak Ada Konten yang Tersedia (Ikon Merah)
NAVHELP_STATUS_NOFOUND_H	Konten tidak tersedia untuk konteks terkini.
NAVHELP_STANDBY_T	Dinonaktifkan
NAVHELP_STANDBY_H	@{NAVIGATOR} dinonaktifkan. Satu klik pada ikon status (<i>CTRL + F11</i>) akan menonaktifkan atau mengaktifkan @{NAVIGATOR}.
NAVHELP_STATUS_MIN_T	Diminimalkan
NAVHELP_STATUS_MIN_H	Jendela dan bar sisi diminimalkan.
NAVHELP_STATUS_MENU_T	Menu Konteks
NAVHELP_STATUS_MENU_H	Menu konteks (klik kanan mouse pada ikon) termasuk fungsi umum dari @{NAVIGATOR}.
NAVHELP_VERSION_T	Tampilkan Versi
NAVHELP_VERSION_H	Menampilkan nomor versi dari @{NAVIGATOR} yang diinstal. Ini perlu untuk setiap kontak dengan pendukung SAP pada saat terjadi masalah.
NAVHELP_JSCONSOLE_T	Konsol JavaScript
NAVHELP_JSCONSOLE_H	Menampilkan Konsol JavaScript untuk memberikan pesan kesalahan terperinci. Ini perlu untuk setiap kontak dengan pendukung SAP pada saat terjadi masalah.
NAVHELP_NAV_CACHE_T	Hapus Cache Lokal
NAVHELP_NAV_CACHE_H	Menghapus cache lokal dari konten @{NAVIGATOR}.
NAVHELP_RESET_HIDDEN_T	Tampilkan Bantuan yang Tertutup Kembali
NAVHELP_RESET_HIDDEN_H	Atur ulang elemen bantuan yang diatur menjadi 'Tersembunyi' selama pemutaran ulang.
NAVHELP_EXIT_T	Keluar
NAVHELP_EXIT_H	Hentikan pemutaran ulang dan tutup @{NAVIGATOR}.
IDS_NAVP_ABOUT	Tampilkan Versi...
IDS_NAVP_CONSOLE	Konsol JavaScript...
IDS_NAVP_DELETE_CACHE	Hapus Cache Lokal
IDS_NAVP_HOOKER	Hooker
IDS_SEARCH_INPUT	Cari Konten Bantuan
IDS_CLEAR_SEARCH	Hapus Pencarian
IDS_NAVP_CLOSE	Keluar
IDS_RESET_CURRENT	Tampilkan Elemen Bantuan Tersembunyi kembali
IDS_RESET_ALL	Tampilkan Kembali Bantuan yang Tertutup
IDS_RESET_ALL_TIP	Tampilkan kembali semua petunjuk yang dinonaktifkan ketika pertama kali masuk ke layar.
IDS_OPEN_RECORD_LBL	Buka
IDS_EDIT_RECORD_LBL	Ubah nama
IDS_DELETE_RECORD_LBL	Hapus
