#	Ағылшын мәтінінің бөлшектері
BULLET	&#149;
TOK_COMPANY	SAP
TOK_LIB	Курс
TOK_TOUR	Сабақ
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	кітапхана
BTN_ABORT	Шығу
BTN_CLOSE	Шығу
BTN_OK	OK
BTN_CLOSE_DLG	Жабу
BTN_CONTINUE	Жалғастыру
BTN_PREVIEW	Алдын ала көру
BTN_PROCEED	Жалғастыру
BTN_RESTART	Қайта іске қосу
BTN_SKIP	Қадамды өткізіп жіберу
BTN_START	Іске қосу
BTN_STOP	Тоқтату
BTN_EXECUTE	Орындау
CA_SWITCH	Мәнмәтін анықтамасы
CONTENT_CAP	Мазмұн
MAIL_SUBJECT	Жұмыс үстелінің көмекшісіне арналған мазмұн сұрауы
MAIL_HEADER	Құрметті автор,\n\nкелесі мәселе бойынша мазмұн сұрамақпын:
MAIL_FOOTER	- Процесс/транзакция: ағымдағы уақытта пайдаланылатын қолданба процесін сипаттаңыз. \n\n- Сипаттама: қажетті ақпаратты сипаттаңыз. \n\nҚұрметпен,
MAIL_DATA	- Қолданба аты:
MAIL_TOOLTIP	Мазмұнды сұрау
SHARE_TOOLTIP	Мазмұнды ортақ пайдалану
REQUEST_TEXT	Мазмұн сұрау үшін %s түймесін басыңыз
REQUEST_LINK	осы жерде
SEARCH_CAP	Іздеу
INFO_CAP	Ақпарат
SETTINGS_CAP	Параметрлер
BACK_TOOLTIP	Артқа
SHARE_CONTENT_TOOLTIP	Мазмұнды ортақ пайдалану
CB_HIDE_OPTION	Қайта көрсетпеу
MY_ROLES	Менің рөлдерім
EDIT_ROLES	Рөлдерді өзгерту
NO_ROLES	Рөлдері жоқ мазмұнды көрсету
SELECT_ALL_CAPTION	Барлығын таңдау
USER_CAPTION	Пайдаланушы аймағы
READ_MORE	Қосымша ақпарат оқу...
NO_CATEGORY_CAPTION	Ешқайсысы
DELETE_FAILED	Операцияны жою сәтсіз аяқталды.
RENAME_FAILED	Операция атын өзгерту сәтсіз аяқталды.
FILE_EXISTS	Мұндай файл аты бар. Басқа ат енгізіңіз.
LBL_YES	Иә
LBL_DELETE	Жою
LBL_NO	Жоқ
LBL_OK	Ok
DELETE_DLG_TEXT	%N құжат(тар)ын жою қажеттігін растайсыз ба?
LBL_CONCURRENT	Қатарлас режимді іске қосу
LBL_DA	Жұмыс үстелінің көмекшісі
LBL_SIM	Үлгілеуді іске қосу
LBL_CDOC	Ашу
LBL_DEMO	Демо режимді іске қосу
LBL_NAVI	Экскурсияны іске қосу
LBL_BOOK	Кітапты ойнату
LBL_GROUP	Кітапханада ашу
LBL_NAVIGATION	Жұмыс үстелінің көмекшісі
LBL_PA	Экскурсия
LBL_PRACTICE	Жаттығу режимін іске қосу
LBL_SIMULATION	Үлгілеу
LBL_BOOKPAGE	Кітап бетін көрсету
LBL_TEST	Сынақ режимін іске қосу
LBL_RECORD_DOCUMENT	Құжатты жазып алу
MSG_AUTOMATION_FINISHED	Автоматтандыру аяқталды
MSG_AUTOMATION_FINISHED_2	Автоматтандырылған процесті қайта іске қосу үшін “Қайта іске қосу” түймесін басыңыз.
MSG_AUTOMATION_START	Енгізу мәндерін өңдеу
MSG_AUTOMATION_START_2	Келесі мәндерді тексеріңіз немесе өңдеңіз. Бұл процесс кезінде автоматты түрде енгізіледі.
MSG_EPO_DIALOG	Электрондық процесс оңтайландырғышы
MSG_NAVI_LIBRARY_NO_APP	Қолжетімді ақпарат жоқ.
LBL_NAVI_NO_MATCH	Іздеу параметрлеріне сай ештеңе табылмады.
NO_RECORDS	Қолжетімді құжат жоқ.
MSG_NAVI_LIBRARY_SUBTITLE	Қолжетімді мазмұн:
MSG_NAVI_LIBRARY_TITLE	Жұмыс үстелінің көмекшісі
MSG_NOT_APPLICABLE	өңделмейді
MSG_PA_CONTROL_STEP	Қадам үшін талап етілетін әрекет:
MSG_PA_EXPLANATION_STEP	Төменде көрсетілген экранға өтіңіз.
MSG_PA_FORM_STEP	Формада толтырылу қажет өрістер:
MSG_PA_DIALOG	Экскурсия
MSG_PA_START_SCREEN	Іске қосу экранын ашыңыз.
MSG_PA_STEP_NOT_FOUND	Қажетті экранға ауысу
MSG_PA_STEP_NOT_FOUND1	Мақсатты қолданбаның (@{TARGETAPPNAME}) ашық екеніне көз жеткізіңіз.
MSG_PA_STEP_NOT_FOUND2	Төменде көрсетілген бөлектелген басқару элементі бар экранға өтіңіз.
MSG_STEP_LIGHT	Қадамды алдын ала көру
MSG_STEP_NOT_FOUND	Экскурсия қадамы табылмады.
MSG_STEP_NOT_FOUND_2	Мақсатты қолданбаның тақырып жолағына басыңыз немесе оң жақ экранға өтіңіз.<br><br>Қажетті экранды қарау үшін, “Алдын ала көру” түймесін басыңыз.
PA_FINISHED	Экскурсия аяқталды.
PROJECT_TITLE	Жоба тақырыбы
TRAY_INFO_BUBBLE_HEADING	Экскурсия
TRAY_INFO_BUBBLE_TEXT	Ағымдағы қадамды көрсету мүмкін емес. Қосымша ақпарат алу үшін осы жерді басыңыз.
RESTRICTED_BUBBLE_HEADING	Әрекет блокталды
RESTRICTED_BUBBLE_TEXT	Ағымдағы қадам расталмайынша ешқандай операция орындай алмайсыз.
HELP_TITLE	Анықтама
HELP_INTRO	Анықтама @{NAVIGATOR} негізгі бөліктері мен функцияларына жалпы шолуды қамтамасыз етеді.</br></br><b>Ескертпе:</b> қолжетімді функциялар @{NAVIGATOR} конфигурациясына байланысты болады.</br>
HELP_TITLE_DA	Бүйірлік панель және терезелер
HELP_SIDEBAR_T	Бүйірлік панель
HELP_SIDEBAR_H	Бүйірлік панель @{NAVIGATOR} негізгі функцияларын іске қосуға мүмкіндік береді. Әрбір функция үшін түйме көрсетіледі. Бүйірлік панельді апарып тастау элементі арқылы жылжытуға және бүйірлік панель жиегін басу арқылы кішірейтуге және үлкейтуге болады.
HELP_CONTENT_CONTROL_T	Мазмұн
HELP_CONTENT_CONTROL_H	Мазмұнның қолжетімділігін көрсетеді. Мазмұны бар негізгі терезені ашады.
HELP_SEARCH_CONTROL_T	Іздеу
HELP_SEARCH_CONTROL_H	Мазмұнды іздеу үшін іздеу құралын ашады.
HELP_EXTSEARCH_CONTROL_T	Сыртқы іздеу құралы
HELP_EXTSEARCH_CONTROL_H	Мазмұнды іздеу үшін сыртқы іздеу құралын ашады.
HELP_STICKY_CONTROL_T	Жапсырма қосу
HELP_STICKY_CONTROL_H	Ағымдағы қолданба терезесіне жапсырма кірістіреді. Жапсырмаға мәтін енгізуге болады.
HELP_RECORDING_CONTROL_T	Жазуды бастау
HELP_RECORDING_CONTROL_H	Процестің жазылуын іске қосады. Жазылған процесс пайдаланушы аймағында жазылған процесс ретінде сақталады.
HELP_MAIN_WINDOW_T	Негізгі терезе
HELP_MAIN_WINDOW_H	Негізгі терезеде белгілі бір бет мәнмәтіні үшін қолжетімді мазмұндар көрсетіледі.</br>Экскурсияны ойнату кезінде терезеде қадамдар тізімі көрсетіледі.
HELP_HEADER_T	Тақырып
HELP_HEADER_H	Тақырыбындағы күй белгішесі мазмұнның ағымдағы мәнмәтін үшін қолжетімділік күйін көрсетеді.
HELP_CONTENT_TAB_T	Мазмұн қойындысы
HELP_CONTENT_TAB_H	Қойындыда ағымдағы қолданбадағы қолжетімді мазиұн көрсетілген.
HELP_CONTENT_VIEW_T	Мазмұн көрінісі
HELP_CONTENT_VIEW_H	Мазмұн көрінісінде таңдалған мазмұн бойынша қолжетімді ақпарат, режимдер мен құжаттама көрсетіледі.</br>Мазмұн тізіміне оралу үшін, “Артқа” басқару элементін пайдалануға болады.
HELP_SEARCH_TAB_T	Іздеу қойындысы
HELP_SEARCH_TAB_H	Қойындыда ағымдағы мәнмәтін бойынша белгілі бір мазмұнды іздей аласыз.
HELP_INFO_TAB_T	Ақпарат қойындысы
HELP_INFO_TAB_H	Қойынды @{NAVIGATOR} туралы жалпы ақпаратты көрсетеді.
HELP_USERAREA_TAB_T	Пайдаланушы аймағы қойындысы
HELP_USERAREA_TAB_H	Қойындыда жазылған процесс құжаттары қамтылған. Құжатты ашуға, ортақ пайдалануға және жоюға болады. Қосымша процестерді жазуға болады.
HELP_INSTANT_T	Жедел анықтама
HELP_INSTANT_H	Белсендірілген параметр арқылы ағымдағы қолданба экранында қосымша мәнмәтін ақпараты көрсетіледі. Параметр әдепкі бойынша іске қосылады.
HELP_REQCONTENT_T	Мазмұнды сұрау
HELP_REQCONTENT_H	Автордан жоқ мазмұнды сұрау үшін, электрондық пошта терезесін ашады.
HELP_SETTINGS_T	Параметрлер
HELP_SETTINGS_H	Көріністе @{NAVIGATOR} мазмұнын көрсетуге арналған параметрлер қамтылады.
HELP_MYROLES_T	Менің рөлдерім
HELP_MYROLES_H	Бұл параметр тағайындалған рөлге арналған мазмұнды көрсетеді.
HELP_WITHOUTROLES_T	Рөлдері жоқ мазмұнды көрсету
HELP_WITHOUTROLES_H	Бұл параметр тағайындалған рөлдері жоқ мазмұнды көрсетеді.
HELP_EDITROLES_T	Рөлдер
HELP_EDITROLES_H	Мазмұн үшін пайдаланылған барлық рөлдер тізімде беріледі және мазмұнды көрсету үшін белсендіріледі немесе ажыратылады.
HELP_SHARECONTENT_T	Мазмұнды ортақ пайдалану
HELP_SHARECONTENT_H	Мазмұнға арналған сілтемесі бар диалогтік терезені ашады. Сілтемені басқа пайдаланушылармен ортақ пайдалануға болады.
HELP_REQUESTCONTENT_T	Мазмұнды сұрау
HELP_REQUESTCONTENT_H	Белгілі бір жағдай бойынша мазмұнды сұрау үшін алдын ала белгіленген электрондық поштаны ашады.
HELP_PLAYBACK_CONTENT_T	Ойнату мазмұны
HELP_PLAYBACK_CONTENT_H	Қолжетімді мазмұнды мазмұн терезесіндегі түймелерді пайдалану арқылы іске қосуға немесе ашуға болады.
HELP_MINIMIZED_STATUS_T	Кішірейтілген күйі
