#	영어 텍스트 Atom
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	교육 과정
TOK_TOUR	학습
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	종료
BTN_CLOSE	종료
BTN_OK	확인
BTN_CLOSE_DLG	닫기
BTN_CONTINUE	계속
BTN_PREVIEW	미리보기
BTN_PROCEED	계속
BTN_RESTART	다시 시작
BTN_SKIP	단계 건너뛰기
BTN_START	시작
BTN_STOP	중지
BTN_EXECUTE	실행
CA_SWITCH	상황에 맞는 도움말
CONTENT_CAP	컨텐츠
MAIL_SUBJECT	데스크톱 보조 도구의 컨텐츠 요청
MAIL_HEADER	작성자님,\n\n 다음에 대한 컨텐츠를 요청하고자 합니다.
MAIL_FOOTER	- 프로세스/트랜잭션: 현재 사용 중인 애플리케이션 프로세스를 명시하십시오. \n\n- 설명: 필요한 정보를 명시하십시오. \n\n안녕하십니까,
MAIL_DATA	- 애플리케이션 이름:
MAIL_TOOLTIP	컨텐츠 요청
SHARE_TOOLTIP	컨텐츠 공유
REQUEST_TEXT	컨텐츠를 요청하려면 %s을(를) 클릭하십시오.
REQUEST_LINK	여기
SEARCH_CAP	검색
INFO_CAP	정보
SETTINGS_CAP	설정
BACK_TOOLTIP	뒤로
SHARE_CONTENT_TOOLTIP	컨텐츠 공유
CB_HIDE_OPTION	더 이상 표시하지 않음
MY_ROLES	내 역할
EDIT_ROLES	역할 변경
NO_ROLES	역할이 없는 컨텐츠 표시
SELECT_ALL_CAPTION	모두 선택
USER_CAPTION	사용자 영역
READ_MORE	더 읽기...
NO_CATEGORY_CAPTION	기타 컨텐츠
DELETE_FAILED	삭제 작업에 실패했습니다. 
RENAME_FAILED	이름 바꾸기 작업에 실패했습니다.
FILE_EXISTS	같은 이름의 파일이 이미 있습니다. 다른 이름을 입력하십시오.
LBL_YES	예
LBL_DELETE	삭제
LBL_NO	아니오
LBL_OK	확인
DELETE_DLG_TEXT	선택한 문서를 삭제하시겠습니까(%N)?
LBL_CONCURRENT	지원 모드 시작
LBL_DA	데스크톱 보조 도구
LBL_SIM	시뮬레이션 시작
LBL_CDOC	열기
LBL_DEMO	데모 모드 시작
LBL_NAVI	안내 동영상 시작
LBL_BOOK	책 재생
LBL_GROUP	library에서 열기
LBL_NAVIGATION	데스크톱 보조 도구
LBL_PA	안내 동영상
LBL_PRACTICE	연습 모드 시작
LBL_SIMULATION	시뮬레이션
LBL_BOOKPAGE	책 페이지 표시
LBL_TEST	테스트 모드 시작
LBL_RECORD_DOCUMENT	레코드 문서
MSG_AUTOMATION_FINISHED	자동화가 완료되었습니다.
MSG_AUTOMATION_FINISHED_2	자동화 프로세스를 다시 시작하려면 '다시 시작'을 클릭하십시오.
MSG_AUTOMATION_START	입력 값 편집
MSG_AUTOMATION_START_2	다음 값을 확인 또는 편집하십시오. 이 값은 프로세스가 진행되는 동안 자동으로 입력됩니다.
MSG_EPO_DIALOG	전자 프로세스 최적화
MSG_NAVI_LIBRARY_NO_APP	사용 가능한 정보가 없습니다.
LBL_NAVI_NO_MATCH	검색 결과가 없습니다.
NO_RECORDS	사용 가능한 문서가 없습니다. 
MSG_NAVI_LIBRARY_SUBTITLE	사용 가능한 컨텐츠:
MSG_NAVI_LIBRARY_TITLE	데스크톱 보조 도구
MSG_NOT_APPLICABLE	편집할 수 없음
MSG_PA_CONTROL_STEP	이 단계의 필수 액션:
MSG_PA_EXPLANATION_STEP	아래 표시된 화면을 탐색합니다.
MSG_PA_FORM_STEP	양식에서 입력할 필수 필드:
MSG_PA_DIALOG	안내 동영상
MSG_PA_START_SCREEN	시작 화면을 여십시오.
MSG_PA_STEP_NOT_FOUND	필수 화면으로 이동하십시오.
MSG_PA_STEP_NOT_FOUND1	대상 애플리케이션(@{TARGETAPPNAME})이 열려 있는지 확인하십시오.
MSG_PA_STEP_NOT_FOUND2	아래 표시된 컨트롤이 하이라이트된 화면을 탐색합니다.
MSG_STEP_LIGHT	단계 미리보기
MSG_STEP_NOT_FOUND	안내 동영상 단계가 없습니다.
MSG_STEP_NOT_FOUND_2	대상 애플리케이션의 제목 표시줄을 클릭하거나 오른쪽 화면으로 이동하십시오.<br><br>필요한 화면을 보려면 '미리보기'를 클릭하십시오.
PA_FINISHED	안내 동영상 종료됨
PROJECT_TITLE	프로젝트 제목
TRAY_INFO_BUBBLE_HEADING	안내 동영상
TRAY_INFO_BUBBLE_TEXT	다음 단계를 표시할 수 없습니다. 자세한 내용은 여기를 클릭하십시오.
RESTRICTED_BUBBLE_HEADING	작업이 보류됨
RESTRICTED_BUBBLE_TEXT	현재 단계를 확인할 때까지 작업을 실행할 수 없습니다. 
HELP_TITLE	도움말
HELP_INTRO	이 도움말은 @{NAVIGATOR}의 주요 부분 및 기능에 대한 개요를 제공합니다.</br></br><b>참고:</b> 사용 가능한 기능은 @{NAVIGATOR}의 구성에 따라 달라집니다.</br>
HELP_TITLE_DA	사이드바 및 윈도우
HELP_SIDEBAR_T	사이드바
HELP_SIDEBAR_H	사이드바를 사용하여 @{NAVIGATOR}의 주 기능을 시작할 수 있습니다. 각 기능에 대한 버튼이 표시됩니다. 끌어서 놓기를 사용하여 사이드바를 이동할 수 있으며 사이드바 경계를 클릭하여 최소화 및 최대화할 수 있습니다.
HELP_CONTENT_CONTROL_T	컨텐츠
HELP_CONTENT_CONTROL_H	컨텐츠를 사용할 수 있는지 여부를 나타내고 컨텐츠가 있는 주 창을 엽니다.
HELP_SEARCH_CONTROL_T	검색
HELP_SEARCH_CONTROL_H	컨텐츠를 검색하기 위해 검색을 엽니다.
HELP_EXTSEARCH_CONTROL_T	외부 검색
HELP_EXTSEARCH_CONTROL_H	컨텐츠를 검색하기 위해 외부 검색을 엽니다.
HELP_STICKY_CONTROL_T	스티커 메모 추가
HELP_STICKY_CONTROL_H	현재 애플리케이션 창에 대한 스티커 메모를 삽입합니다. 스티커 메모의 텍스트를 입력할 수 있습니다.
HELP_RECORDING_CONTROL_T	녹화 시작
HELP_RECORDING_CONTROL_H	프로세스 녹화를 시작합니다. 녹화된 프로세스는 사용자 영역의 문서로 저장됩니다. 
HELP_MAIN_WINDOW_T	주 창
HELP_MAIN_WINDOW_H	주 창에는 특정 페이지 컨텍스트에 대한 가용 컨텐츠가 표시됩니다.</br>안내 동영상 재생 시 창에 단계 목록이 표시됩니다.
HELP_HEADER_T	헤더
HELP_HEADER_H	헤더에 있는 상태 아이콘은 현재의 컨텍스트에 대한 컨텐츠가 있는지를 나타냅니다.
HELP_CONTENT_TAB_T	컨텐츠 탭
HELP_CONTENT_TAB_H	이 탭에는 현재 애플리케이션에 사용할 수 있는 컨텐츠가 표시됩니다.
HELP_CONTENT_VIEW_T	컨텐츠 보기
HELP_CONTENT_VIEW_H	컨텐츠 보기에는 선택한 컨텐츠에 사용 가능한 정보, 모드 및 문서가 표시됩니다.</br>'뒤로' 컨트롤을 사용하면 컨텐츠 목록으로 다시 돌아갈 수 있습니다.
HELP_SEARCH_TAB_T	검색 탭
HELP_SEARCH_TAB_H	이 탭에서는 현재의 컨텍스트에 관한 특정 컨텐츠를 검색할 수 있습니다.
HELP_INFO_TAB_T	정보 탭
HELP_INFO_TAB_H	탭에 @{NAVIGATOR}에 대한 일반 정보가 표시됩니다.
HELP_USERAREA_TAB_T	사용자 영역 탭
HELP_USERAREA_TAB_H	이 탭에는 녹화된 프로세스 문서가 있습니다. 문서를 열거나 공유하거나 삭제할 수 있습니다. 프로세스를 추가로 녹화할 수도 있습니다. 
HELP_INSTANT_T	빠른 도움말
HELP_INSTANT_H	설정이 활성화되면 현재 애플리케이션 화면의 오른쪽에 추가 컨텍스트 정보가 표시됩니다. 이 설정은 기본적으로 활성화됩니다.
HELP_REQCONTENT_T	컨텐츠 요청
HELP_REQCONTENT_H	누락된 컨텐츠를 작성자에게 요청하기 위해 전자메일 창을 엽니다.
HELP_SETTINGS_T	설정
HELP_SETTINGS_H	이 뷰에는 @{NAVIGATOR} 컨텐츠를 표시하기 위한 설정이 포함되어 있습니다.
HELP_MYROLES_T	내 역할
HELP_MYROLES_H	이 설정은 지정된 역할의 컨텐츠를 표시합니다.
HELP_WITHOUTROLES_T	역할이 없는 컨텐츠 표시
HELP_WITHOUTROLES_H	이 설정은 지정된 역할이 없는 컨텐츠를 표시합니다.
HELP_EDITROLES_T	역할
HELP_EDITROLES_H	컨텐츠에 사용되는 모든 역할이 나열되고 이 역할은 컨텐츠의 표시를 활성화하거나 비활성화할 수 있습니다.
HELP_SHARECONTENT_T	컨텐츠 공유
HELP_SHARECONTENT_H	컨텐츠에 대한 링크가 있는 대화 상자를 엽니다. 이 링크는 다른 사용자와 공유할 수 있습니다.
HELP_REQUESTCONTENT_T	컨텐츠 요청
HELP_REQUESTCONTENT_H	특정 컨텐츠를 요청하기 위해 미리 정의된 전자메일을 엽니다.
HELP_PLAYBACK_CONTENT_T	컨텐츠 재생
HELP_PLAYBACK_CONTENT_H	사용 가능한 컨텐츠는 컨텐츠 창에 있는 버튼을 사용하여 시작하거나 열 수 있습니다.
HELP_MINIMIZED_STATUS_T	최소화 상태
HELP_MINIMIZED_STATUS_H	주 창을 닫아도 유동 상태의 아이콘을 통해, 현재 컨텍스트에 컨텐츠를 사용 가능한지 계속 알 수 있습니다. 해당 아이콘을 클릭하면 주 창이 복원됩니다.
HELP_MINIMIZED_MENU_T	단축 메뉴
HELP_MINIMIZED_MENU_H	단축 메뉴(아이콘을 마우스 오른쪽 버튼으로 클릭)에는 주 창과 상황에 맞는 도움말을 표시할 수 있는 기능이 포함되어 있습니다.
HELP_BOOK_WINDOW_T	책 윈도우
HELP_BOOK_WINDOW_H	책을 재생할 때 책 윈도우가 열립니다. 주 윈도우 및 컨텐츠 윈도우가 숨겨집니다.
HELP_GOTOTOP	최상위로 이동
HELP_CAPTION	@{NAVIGATOR} 도움말
NAVHELP_TITLE	상태 아이콘 및 단축 메뉴
NAVHELP_INTRO	</br>이 도움말은 상태 아이콘 및 단축 메뉴 엔트리에 대한 개요를 제공합니다.
NAVHELP_STATUS_ICON_T	상태 아이콘(작업 표시줄)
NAVHELP_STATUS_ICON_H	상태 아이콘은 작업 표시줄에 위치하며 @{NAVIGATOR}의 현재 액티비티를 보여 줍니다. 다음과 같은 상태를 가집니다.
NAVHELP_STATUS_FOUND_T	컨텐츠 사용 가능(녹색 아이콘)
NAVHELP_STATUS_FOUND_H	현재 컨텍스트의 가용 컨텐츠가 있으며 해당 컨텐츠가 표시됩니다.
NAVHELP_STATUS_CHECK_T	컨텐츠 로드 중(노란색 아이콘)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR}이(가) 가용 컨텐츠의 현재 컨텍스트를 점검한 후 컨텐츠를 로드합니다.
NAVHELP_STATUS_NOFOUND_T	사용 가능한 컨텐츠 없음(빨간색 아이콘)
NAVHELP_STATUS_NOFOUND_H	현재 컨텍스트에 대한 가용 컨텐츠가 없습니다.
NAVHELP_STANDBY_T	사용 안 함
NAVHELP_STANDBY_H	@{NAVIGATOR}이(가) 비활성화되었습니다. 상태 아이콘을 클릭(<i>CTRL + F11</i>)하여 @{NAVIGATOR}을(를) 비활성화하거나 활성화합니다.
NAVHELP_STATUS_MIN_T	최소화됨
NAVHELP_STATUS_MIN_H	창과 사이드바가 최소화되었습니다.
NAVHELP_STATUS_MENU_T	단축 메뉴
NAVHELP_STATUS_MENU_H	단축 메뉴(아이콘에서 마우스 오른쪽 버튼 클릭)에 @{NAVIGATOR}의 일반 기능이 있습니다.
NAVHELP_VERSION_T	버전 표시
NAVHELP_VERSION_H	설치된 @{NAVIGATOR}의 버전 번호가 표시됩니다. 이 기능은 문제 발생 시 SAP Support에 문의할 때 필요합니다.
NAVHELP_JSCONSOLE_T	JavaScript 콘솔
NAVHELP_JSCONSOLE_H	자세한 오류 메시지를 볼 수 있는 JavaScript 콘솔을 표시합니다. 이 기능은 문제 발생 시 SAP Support에 문의할 때 필요합니다.
NAVHELP_NAV_CACHE_T	로컬 캐시 삭제
NAVHELP_NAV_CACHE_H	@{NAVIGATOR} 컨텐츠의 로컬 캐시를 삭제합니다.
NAVHELP_RESET_HIDDEN_T	숨겨진 모든 도움말 다시 표시
NAVHELP_RESET_HIDDEN_H	재생하는 동안 '숨김'으로 설정된 도움말 요소를 재설정합니다.
NAVHELP_EXIT_T	종료
NAVHELP_EXIT_H	재생을 중지하고 @{NAVIGATOR}을(를) 닫습니다.
IDS_NAVP_ABOUT	버전 표시...
IDS_NAVP_CONSOLE	JavaScript 콘솔...
IDS_NAVP_DELETE_CACHE	로컬 캐시 삭제
IDS_NAVP_HOOKER	후커
IDS_SEARCH_INPUT	검색 도움말 컨텐츠
IDS_CLEAR_SEARCH	검색 지우기
