#	Mapeamentos de texto em inglês
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Curso
TOK_TOUR	Unidade de aprendizagem
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	biblioteca
BTN_ABORT	Sair
BTN_CLOSE	Sair
BTN_OK	OK
BTN_CLOSE_DLG	Fechar
BTN_CONTINUE	Continuar
BTN_PREVIEW	Pré-visualização
BTN_PROCEED	Continuar
BTN_RESTART	Reiniciar
BTN_SKIP	Saltar passo
BTN_START	Iniciar
BTN_STOP	Parar
BTN_EXECUTE	Executar
CA_SWITCH	Ajuda de contexto
CONTENT_CAP	Conteúdo
MAIL_SUBJECT	Pedido de conteúdo para assistente de ambiente de trabalho
MAIL_HEADER	Caro autor,\n\nGostaria de solicitar conteúdo para:
MAIL_FOOTER	- Processo/transação: descreva o processo de aplicação atualmente em uso \n\n- Descrição: descreva a informação desejada. \n\nCom os melhores cumprimentos,
MAIL_DATA	- Nome da aplicação:
MAIL_TOOLTIP	Conteúdo do pedido
SHARE_TOOLTIP	Partilhar conteúdo
REQUEST_TEXT	Clique em %s para solicitar conteúdo
REQUEST_LINK	aqui
SEARCH_CAP	Procurar
INFO_CAP	Informação
SETTINGS_CAP	Definições
BACK_TOOLTIP	Voltar
SHARE_CONTENT_TOOLTIP	Partilhar conteúdo
CB_HIDE_OPTION	Não apresentar mais
MY_ROLES	As minhas funções
EDIT_ROLES	Modificar funções
NO_ROLES	Mostrar conteúdo sem funções
SELECT_ALL_CAPTION	Marcar tudo
USER_CAPTION	Área do utilizador
READ_MORE	Ler mais...
NO_CATEGORY_CAPTION	Outro conteúdo
DELETE_FAILED	Eliminação da operação falhada.
RENAME_FAILED	Falha ao renomear operação.
FILE_EXISTS	Já existe um ficheiro com o mesmo nome. Introduza um nome diferente.
LBL_YES	Sim
LBL_DELETE	Eliminar
LBL_NO	Não
LBL_OK	Ok
DELETE_DLG_TEXT	Quer mesmo eliminar os documentos selecionados (%N)?
LBL_CONCURRENT	Iniciar modo simultâneo
LBL_DA	Assistente de ambiente de trabalho
LBL_SIM	Iniciar simulação
LBL_CDOC	Abrir
LBL_DEMO	Iniciar modo de demonstração
LBL_NAVI	Iniciar apresentação assistida
LBL_BOOK	Executar livro
LBL_GROUP	Abrir em library
LBL_NAVIGATION	Assistente de ambiente de trabalho
LBL_PA	Apresentação assistida
LBL_PRACTICE	Iniciar modo de exercício
LBL_SIMULATION	Simulação
LBL_BOOKPAGE	Mostrar página do livro
LBL_TEST	Iniciar modo de teste
LBL_RECORD_DOCUMENT	Gravar documento
MSG_AUTOMATION_FINISHED	Automatização concluída
MSG_AUTOMATION_FINISHED_2	Clique em "Reiniciar" para reiniciar o processo automático.
MSG_AUTOMATION_START	Editar os valores de introdução
MSG_AUTOMATION_START_2	Verifique ou edite os seguintes valores. Estes são introduzidos automaticamente durante o processo.
MSG_EPO_DIALOG	Optimizador de processo electrónico
MSG_NAVI_LIBRARY_NO_APP	Não existem informações disponíveis.
LBL_NAVI_NO_MATCH	Não há resultados para a pesquisa.
NO_RECORDS	Não estão disponíveis documentos.
MSG_NAVI_LIBRARY_SUBTITLE	Conteúdos disponíveis:
MSG_NAVI_LIBRARY_TITLE	Assistente de ambiente de trabalho
MSG_NOT_APPLICABLE	não editável
MSG_PA_CONTROL_STEP	Ação necessária para o passo:
MSG_PA_EXPLANATION_STEP	Navegar para o ecrã mostrado em baixo.
MSG_PA_FORM_STEP	Campos necessários a serem preenchidos no formulário:
MSG_PA_DIALOG	Apresentação assistida
MSG_PA_START_SCREEN	Abrir o ecrã inicial.
MSG_PA_STEP_NOT_FOUND	Mude para o ecrã necessário
MSG_PA_STEP_NOT_FOUND1	Certificar-se de que a aplicação de destino (@{TARGETAPPNAME}) está aberta.
MSG_PA_STEP_NOT_FOUND2	Navegar para o ecrã com o controlo destacado mostrado em baixo:
MSG_STEP_LIGHT	Pré-visualização de passo
MSG_STEP_NOT_FOUND	Passo de visita guiada não encontrado.
MSG_STEP_NOT_FOUND_2	Clique na barra do título da aplicação de destino ou navegue para o ecrã à direita.<br><br>Clique em "Pré-visualização" para ver o ecrã desejado.
PA_FINISHED	Apresentação assistida terminada.
PROJECT_TITLE	Título do projecto
TRAY_INFO_BUBBLE_HEADING	Apresentação assistida
TRAY_INFO_BUBBLE_TEXT	O passo atual não pode ser visualizado. Clique aqui para mais informações.
RESTRICTED_BUBBLE_HEADING	Ação bloqueada
RESTRICTED_BUBBLE_TEXT	Não pode executar ações até o passo atual estar confirmado.
HELP_TITLE	Ajuda
HELP_INTRO	A ajuda fornece-lhe uma síntese sobre as partes principais e funções do @{NAVIGATOR}.</br></br><b>Nota:</b> as funções disponíveis dependem da configuração do @{NAVIGATOR}.</br>
HELP_TITLE_DA	Barra lateral e janelas
HELP_SIDEBAR_T	Barra lateral
HELP_SIDEBAR_H	A barra lateral permite-lhe iniciar as funções principais do @{NAVIGATOR}. Para cada função é visualizado um botão. A barra lateral pode ser deslocada ao utilizar arrastar e soltar e pode ser minimizada ou maximizada com um clique no limite da barra lateral.
HELP_CONTENT_CONTROL_T	Conteúdo
HELP_CONTENT_CONTROL_H	Indica se o conteúdo está disponível. Abre a janela principal com o conteúdo.
HELP_SEARCH_CONTROL_T	Procurar
HELP_SEARCH_CONTROL_H	Abre a pesquisa para procurar conteúdo.
HELP_EXTSEARCH_CONTROL_T	Pesquisa externa
HELP_EXTSEARCH_CONTROL_H	Abre a pesquisa externa para procurar conteúdo.
HELP_STICKY_CONTROL_T	Adicionar nota autocolante
HELP_STICKY_CONTROL_H	Introduz uma nota autocolante para a janela de aplicação atual. Pode introduzir um texto para a nota autocolante.
HELP_RECORDING_CONTROL_T	Iniciar gravação
HELP_RECORDING_CONTROL_H	Inicia a gravação de um processo. O processo gravado será guardado como documento em uma Área do utilizador.
HELP_MAIN_WINDOW_T	Janela principal
HELP_MAIN_WINDOW_H	A janela principal mostra os conteúdos disponíveis para um determinado contexto de página.</br>Durante a reprodução de uma visita guiada, a janela mostra a lista de passos.
HELP_HEADER_T	Cabeçalho
HELP_HEADER_H	O ícone de status no cabeçalho indica se o conteúdo está disponível para o contexto actual.
HELP_CONTENT_TAB_T	Separador de conteúdo
HELP_CONTENT_TAB_H	O separador mostra o conteúdo disponível para a aplicação atual.
HELP_CONTENT_VIEW_T	Vista de conteúdo
HELP_CONTENT_VIEW_H	A vista do conteúdo mostra as informações disponíveis, modos e documentação para o conteúdo selecionado.</br>Pode utilizar o controlo 'Voltar' para voltar à lista de conteúdos.
HELP_SEARCH_TAB_T	Ficha de pesquisa
HELP_SEARCH_TAB_H	Na ficha pode procurar conteúdo específico para o contexto actual.
HELP_INFO_TAB_T	Ficha de informação
HELP_INFO_TAB_H	A ficha mostra informações gerais sobre o @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Separador Área do utilizador
HELP_USERAREA_TAB_H	O separador contém os documentos do processo. Pode abrir, partilhar ou eliminar um documento. Pode gravar outros processos.
HELP_INSTANT_T	Ajuda instantânea
HELP_INSTANT_H	Com a configuração activada, as informações de contexto adicionais são mostradas logo no ecrã de aplicação actual. A configuração está activada por default.
HELP_REQCONTENT_T	Conteúdo do pedido
HELP_REQCONTENT_H	Abre uma janela de e-mail para solicitar conteúdo em falta do autor.
HELP_SETTINGS_T	Definições
HELP_SETTINGS_H	A vista contém configurações para a visualização do conteúdo do @{NAVIGATOR}.
HELP_MYROLES_T	As minhas funções
HELP_MYROLES_H	Esta configuração mostra o conteúdo para a função atribuída.
HELP_WITHOUTROLES_T	Mostrar conteúdo sem funções
HELP_WITHOUTROLES_H	Esta configuração mostra conteúdo sem funções atribuídas.
HELP_EDITROLES_T	Funções
HELP_EDITROLES_H	Todas as funções utilizadas para o conteúdo são listadas e podem ser ativadas ou desativadas para mostrar o conteúdo.
HELP_SHARECONTENT_T	Partilhar conteúdo
HELP_SHARECONTENT_H	Abre uma caixa de diálogo com o link para o conteúdo. O link pode ser partilhado com outros utilizadores.
HELP_REQUESTCONTENT_T	Conteúdo do pedido
HELP_REQUESTCONTENT_H	Abre um e-mail predefinido para solicitar conteúdo para um caso específico.
HELP_PLAYBACK_CONTENT_T	Conteúdo de reprodução
HELP_PLAYBACK_CONTENT_H	O conteúdo disponível pode ser iniciado ou aberto utilizando os botões na janela de conteúdo.
HELP_MINIMIZED_STATUS_T	Status minimizado
HELP_MINIMIZED_STATUS_H	Caso feche a janela principal, um ícone de status flutuante ainda indicará se o conteúdo está disponível para o contexto actual. Clique no ícone para restaurar a janela principal.
HELP_MINIMIZED_MENU_T	Menu de contexto
HELP_MINIMIZED_MENU_H	O menu de contexto (clique direito do rato no ícone) inclui funções para mostrar a janela principal e a ajuda de contexto.
HELP_BOOK_WINDOW_T	Janela do livro
HELP_BOOK_WINDOW_H	A janela do livro está aberta quando um livro é reproduzido. A janela principal e a janela de conteúdo estão ocultas.
HELP_GOTOTOP	Ir para o topo
HELP_CAPTION	Ajuda do @{NAVIGATOR}
NAVHELP_TITLE	Ícone de status e menu de contexto
NAVHELP_INTRO	</br>A ajuda fornece-lhe uma síntese sobre o ícone de status e as entradas de menu de contexto.
NAVHELP_STATUS_ICON_T	Ícone de status (barra de tarefas)
NAVHELP_STATUS_ICON_H	O ícone de status é posicionado na barra de tarefas e mostra as atividades atuais do @{NAVIGATOR}. Existem os seguintes status:
NAVHELP_STATUS_FOUND_T	Conteúdo disponível (ícone verde)
NAVHELP_STATUS_FOUND_H	O conteúdo está disponível para o contexto actual e é mostrado.
NAVHELP_STATUS_CHECK_T	A carregar conteúdo (ícone amarelo)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR} verifica o contexto atual para o conteúdo disponível e carrega o conteúdo.
NAVHELP_STATUS_NOFOUND_T	Nenhum conteúdo disponível (ícone vermelho)
NAVHELP_STATUS_NOFOUND_H	O conteúdo não está disponível para o contexto actual.
NAVHELP_STANDBY_T	Desativado
NAVHELP_STANDBY_H	@{NAVIGATOR} está desativado. Um clique no ícone do status (<i>CTRL + F11</i>) desativa ou ativa @{NAVIGATOR}.
NAVHELP_STATUS_MIN_T	Minimizado
NAVHELP_STATUS_MIN_H	As janelas e a barra lateral são minimizadas.
NAVHELP_STATUS_MENU_T	Menu de contexto
NAVHELP_STATUS_MENU_H	O menu do contexto (clique com o botão direito do rato no ícone) inclui funções gerais do @{NAVIGATOR}.
NAVHELP_VERSION_T	Mostrar versão
NAVHELP_VERSION_H	Mostra o número da versão do @{NAVIGATOR} instalado. Isto é necessário para qualquer contacto com o suporte no caso de problemas.
NAVHELP_JSCONSOLE_T	Console JavaScript
NAVHELP_JSCONSOLE_H	Mostra a console JavaScript que fornece mensagens de erro detalhadas. Isto é necessário para qualquer contacto com o suporte no caso de problemas.
NAVHELP_NAV_CACHE_T	Eliminar cache local
NAVHELP_NAV_CACHE_H	Elimina o cache local do conteúdo do @{NAVIGATOR}.
NAVHELP_RESET_HIDDEN_T	Mostrar novamente toda a ajuda eliminada
NAVHELP_RESET_HIDDEN_H	Repor elementos de ajuda que foram definidos como 'Oculto' durante a reprodução.
NAVHELP_EXIT_T	Sair
NAVHELP_EXIT_H	Fecha o @{NAVIGATOR} e pára a reprodução da navegação.
IDS_NAVP_ABOUT	Mostrar versão...
IDS_NAVP_CONSOLE	Console JavaScript...
IDS_NAVP_DELETE_CACHE	Eliminar cache local
IDS_NAVP_HOOKER	Hooker
IDS_SEARCH_INPUT	Mostrar conteúdo de ajuda
IDS_CLEAR_SEARCH	Limpar pesquisa
IDS_NAVP_CLOSE	Sair
IDS_RESET_CURRENT	Mostrar de novo elemento de ajuda oculto
IDS_RESET_ALL	Mostrar novamente toda a ajuda eliminada
IDS_RESET_ALL_TIP	Mostrar novamente todas as sugestões desativadas ao introduzir um ecrã pela primeira vez.
IDS_OPEN_RECORD_LBL	Abrir
IDS_EDIT_RECORD_LBL	Mudar o nome
IDS_DELETE_RECORD_LBL	Eliminar
IDS_SHARE_RECORD_LBL	Partilhar
IDS_EXTERNAL_SEARCH_BTN	Pesquisa externa
IDS_EXTERNAL_SEARCH_SUB_MENU	Pesquisa externa
IDS_SHOW_SCREEN_ICON	Mostrar assistente de ambiente de trabalho
IDS_SHOW_DA	Mostrar janela principal
IDS_SHOW_CONTENT	Mostrar conteúdo
IDS_HIDE_CONTENT	Ocultar conteúdo
IDS_SEARCH_BTN	Procurar
IDS_REQUEST_CONTENT_BTN	Conteúdo do pedido
IDS_RECORDING_BTN	Iniciar gravação
IDS_SHOW_CA_SWITCH	Mostrar ajuda de contexto
IDS_HIDE_CA_SWITCH	Ocultar ajuda de contexto
IDS_CA_SWITCH_INACTIVE_BTN	Nenhuma ajuda de contexto disponível
IDS_DO_CTX_RECOGNITION	Mostrar ajuda de contexto
