#	Token-uri de bază
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Curs
TOK_TOUR	Lecţie
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	bibliotecă
BTN_ABORT	Terminare
BTN_CLOSE	Terminare
BTN_OK	OK
BTN_CLOSE_DLG	Închidere
BTN_CONTINUE	Continuare
BTN_PREVIEW	Previzualizare
BTN_PROCEED	Continuare
BTN_RESTART	Relansare
BTN_SKIP	Omitere etapă
BTN_START	Lansare
BTN_STOP	Oprire
BTN_EXECUTE	Executare
CA_SWITCH	Ajutor context
CONTENT_CAP	Conţinut
MAIL_SUBJECT	Solicitare conţinut pt.asistent desktop
MAIL_HEADER	Stimate autor,\n\naş dori să solicit conţinutul pt.:
MAIL_FOOTER	Proces/tranzacţie: descrieţi procesul de aplicaţie utilizat în prezent. \n\n- Descriere: descrieţi informaţiile de care aveţi nevoie. \n\nCu stimă,
MAIL_DATA	- Nume aplicaţie:
MAIL_TOOLTIP	Solicitare conţinut
SHARE_TOOLTIP	Partajare conţinut
REQUEST_TEXT	Click pe %spt. a solicita conţinut
REQUEST_LINK	aici
SEARCH_CAP	Căutare
INFO_CAP	Informaţii
SETTINGS_CAP	Setări
BACK_TOOLTIP	Înapoi
SHARE_CONTENT_TOOLTIP	Partajare conţinut
CB_HIDE_OPTION	Nu se mai afişează
MY_ROLES	Rolurile mele
EDIT_ROLES	Modificare roluri
NO_ROLES	Afişare conţinut fără roluri
SELECT_ALL_CAPTION	Selectare tot
USER_CAPTION	Zonă utilizator
READ_MORE	Citire mai mult...
NO_CATEGORY_CAPTION	Alt conţinut
DELETE_FAILED	Operaţie de ştergere nereuşită.
RENAME_FAILED	Operație de redenumire nereușită.
FILE_EXISTS	Fișier cu un nume identic există deja. Introduceți un nume diferit.
LBL_YES	Da
LBL_DELETE	Ştergere
LBL_NO	Nu
LBL_OK	OK
DELETE_DLG_TEXT	Sigur doriţi să ştergeţi documentele selectate (%N)?
LBL_CONCURRENT	Lansare mod simultan
LBL_DA	Asistent desktop
LBL_SIM	Lansare simulare
LBL_CDOC	Deschidere
LBL_DEMO	Lansare mod demo
LBL_NAVI	Lansare tur ghidat
LBL_BOOK	Reproducere carte
LBL_GROUP	Deschidere în bibliotecă
LBL_NAVIGATION	Asistent desktop
LBL_PA	Tur ghidat
LBL_PRACTICE	Lansare mod de exerciţiu
LBL_SIMULATION	Simulare
LBL_BOOKPAGE	Afişare pagină registru
LBL_TEST	Lansare mod de test
LBL_RECORD_DOCUMENT	Înregistrare document
MSG_AUTOMATION_FINISHED	Automatizare terminată
MSG_AUTOMATION_FINISHED_2	Clic pe 'Relansare' pt.a relansa procesul automat.
MSG_AUTOMATION_START	Editaţi valorile de intrare
MSG_AUTOMATION_START_2	Verificaţi sau editaţi următoarele valori. Acestea au fost introduse automat în timpul procesului.
MSG_EPO_DIALOG	Optimizator proces electronic
MSG_NAVI_LIBRARY_NO_APP	Nu există informații disponibile.
LBL_NAVI_NO_MATCH	Nu există niciun rezultat pentru căutarea dvs.
NO_RECORDS	Nu sunt disponibile documente.
MSG_NAVI_LIBRARY_SUBTITLE	Conţinuturi disponibile:
MSG_NAVI_LIBRARY_TITLE	Asistent desktop
MSG_NOT_APPLICABLE	needitabil
MSG_PA_CONTROL_STEP	Acţiune necesară pt.etapă:
MSG_PA_EXPLANATION_STEP	Navigaţi la ecranul reprezentat mai jos.
MSG_PA_FORM_STEP	Câmpuri de intrare obligatorie de completat în formular:
MSG_PA_DIALOG	Tur ghidat
MSG_PA_START_SCREEN	Deschideţi ecranul iniţial.
MSG_PA_STEP_NOT_FOUND	Comutaţi la ecranul necesar
MSG_PA_STEP_NOT_FOUND1	Asiguraţi-vă că aplicaţia ţintă (@{TARGETAPPNAME}) este deschisă.
MSG_PA_STEP_NOT_FOUND2	Navigaţi la ecranul cu controlul evidenţiat reprezentat mai jos.
MSG_STEP_LIGHT	Previzualizare etapă
MSG_STEP_NOT_FOUND	Etapă de tur ghidat negăsită.
MSG_STEP_NOT_FOUND_2	Click pe bara de titlu a aplicaţiei ţintă sau navigaţi până la ecranul corect.<br><br>Click pe 'Previzualizare' pentru a afişa ecranul dorit.
PA_FINISHED	Tur ghidat terminat.
PROJECT_TITLE	Titlu proiect
TRAY_INFO_BUBBLE_HEADING	Tur ghidat
TRAY_INFO_BUBBLE_TEXT	Etapa curentă nu poate fi afişată. Click aici pt. mai multe informaţii.
RESTRICTED_BUBBLE_HEADING	Acţiune blocată
RESTRICTED_BUBBLE_TEXT	Nu puteţi executa acţiuni pănă nu este confirmată etapa curentă.
HELP_TITLE	Ajutor
HELP_INTRO	Ajutorul vă oferă o imagine generală despre principalele părţi şi funcţii ale asistentului de desktop.@{NAVIGATOR}.</br></br><b>Notă:</b> funcţiile disponibile depind de configurarea @{NAVIGATOR}.</br>
HELP_TITLE_DA	Bară laterală şi ferestre
HELP_SIDEBAR_T	Bară laterală
HELP_SIDEBAR_H	Bara laterală vă permite să lansaţi funcţiile principale ale @{NAVIGATOR}. Pt. fiecare funcţie este afişat un buton. Bara laterală poate fi mutată via drag and drop şi poate fi minimizată şi maximizată cu un click pe chenarul barei laterale.
HELP_CONTENT_CONTROL_T	Conţinut
HELP_CONTENT_CONTROL_H	Indică dacă este disponibil conţinut. Deschide fereastra principală cu conţinutul.
HELP_SEARCH_CONTROL_T	Căutare
HELP_SEARCH_CONTROL_H	Deschide căutarea pt.căutare conţinut.
HELP_EXTSEARCH_CONTROL_T	Căutare externă
HELP_EXTSEARCH_CONTROL_H	Deschide căutarea externă pt. căutare conţinut.
HELP_STICKY_CONTROL_T	Adăugare notă adezivă
HELP_STICKY_CONTROL_H	Inserează o notă adezivă pt.fereastra de aplicaţie curentă. Puteţi introduce un text pt.nota dvs.adezivă.
HELP_RECORDING_CONTROL_T	Lansare înregistrare
HELP_RECORDING_CONTROL_H	Lansează înregistrarea unui proces. Procesul înregistrat va fi salvat ca document în Zona de utilizator.
HELP_MAIN_WINDOW_T	Fereastră principală
HELP_MAIN_WINDOW_H	Fereastra principală afişează conţinuturile disponibile pentru un context de pagină specific.</br>În timpul reproducerii unui tur ghidat, fereastra afişează lista de etape.
HELP_HEADER_T	Antet
HELP_HEADER_H	Icon-ul de stare din antet indică dacă este disponibil conţinutul pt.contextul curent.
HELP_CONTENT_TAB_T	Tab de conţinut
HELP_CONTENT_TAB_H	Tab-ul afişează conţinutul disponibil pt. aplicaţia curentă.
HELP_CONTENT_VIEW_T	Imagine conţinut
HELP_CONTENT_VIEW_H	Imaginea de conţinut afişează informaţiile disponibile, modurile şi documentaţia pt. conţinutul selectat.</br>Puteţi utiliza controlul 'Înapoi' pt. a reveni la lista de conţinuturi.
HELP_SEARCH_TAB_T	Tab de căutare
HELP_SEARCH_TAB_H	Pe tab puteţi căuta conţinut specific pt.contextul dvs.curent.
HELP_INFO_TAB_T	Tab info
HELP_INFO_TAB_H	Tab-ul afişează informaţii generale despre @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Tab Zonă de utilizator
HELP_USERAREA_TAB_H	Tab-ul conţine documentele de proces înregistrate. Puteţi deschide, partaja sau şterge un document. Puteţi înregistra alte procese.
HELP_INSTANT_T	Ajutor instantaneu
HELP_INSTANT_H	Cu setarea activată, sunt afişate informaţiile de context suplimentare chiar pe ecranul de aplicaţie curent. Setarea este activată în mod implicit.
HELP_REQCONTENT_T	Solicitare conţinut
HELP_REQCONTENT_H	Deschide o fereastră de e-mail pt.solicitare conţinut lipsă de la autor.
HELP_SETTINGS_T	Setări
HELP_SETTINGS_H	Imaginea conţine setări pt.afişarea de conţinut @{NAVIGATOR}.
HELP_MYROLES_T	Rolurile mele
HELP_MYROLES_H	Această setare afişează conţinut pt.rolul alocat.
HELP_WITHOUTROLES_T	Afişare conţinut fără roluri
HELP_WITHOUTROLES_H	Această setare afişează conţinut fără roluri alocate.
HELP_EDITROLES_T	Roluri
HELP_EDITROLES_H	Toate rolurile utilizate pt.conţinut sunt listate şi pot fi activate sau dezactivate pt.a afişa conţinutul.
HELP_SHARECONTENT_T	Partajare conţinut
HELP_SHARECONTENT_H	Deschide o casetă de dialog cu legătura la conţinut. Legătura poate fi partajată cu alţi utilizatori.
HELP_REQUESTCONTENT_T	Solicitare conţinut
HELP_REQUESTCONTENT_H	Deschide un e-mail predefinit pt.solicitare conţinut pt.un caz specific.
HELP_PLAYBACK_CONTENT_T	Conţinut playback
HELP_PLAYBACK_CONTENT_H	Conţinutul disponibil poate fi lansat sau deschis via butoanele din fereastra de conţinut.
HELP_MINIMIZED_STATUS_T	Stare minimizată
HELP_MINIMIZED_STATUS_H	În cazul în care închideţi fereastra principală, un icon de stare variabil va indica în continuare dacă este disponibil conţinutul pt. contextul curent. Click pe icon pt. a restaura fereastra principală.
HELP_MINIMIZED_MENU_T	Meniu de context
HELP_MINIMIZED_MENU_H	Meniul de context (click dreapta mouse pe icon) include funcţii pt.afişare fereastră principală şi ajutor de context.
HELP_BOOK_WINDOW_T	Fereastră de registru
HELP_BOOK_WINDOW_H	Fereastra de registru este deschisă la reproducere registru. Fereastra principală şi fereastra de conţinut sunt mascate.
HELP_GOTOTOP	Salt sus
HELP_CAPTION	@{NAVIGATOR} Ajutor
NAVHELP_TITLE	Icon de stare și meniu de context
NAVHELP_INTRO	</br>Ajutorul vă oferă o imagine generală despre intrările de icon de stare și meniu de context.
NAVHELP_STATUS_ICON_T	Icon de stare (bară de sarcini)
NAVHELP_STATUS_ICON_H	Icon-ul de stare este poziționat în bara de sarcini și afișează activitățile curente ale @{NAVIGATOR}. Există următoarele stări:
NAVHELP_STATUS_FOUND_T	Conţinut disponibil (icon verde)
NAVHELP_STATUS_FOUND_H	Conţinutul este disponibil pt.contextul curent şi este afişat.
NAVHELP_STATUS_CHECK_T	Verificare conținut (icon galben)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR} verifică contextul curent pentru conținutul disponibil și încarcă conținutul.
NAVHELP_STATUS_NOFOUND_T	Niciun conţinut disponibil (icon roşu)
NAVHELP_STATUS_NOFOUND_H	Conţinutul nu este disponibil pt.contextul curent.
NAVHELP_STANDBY_T	Dezactivat
NAVHELP_STANDBY_H	@{NAVIGATOR} este dezactivat. Un click pe icon-ul de stare (<i>CTRL + F11</i>) dezactivează sau activează @{NAVIGATOR}.
NAVHELP_STATUS_MIN_T	Minimizate
NAVHELP_STATUS_MIN_H	Ferestrele și bară laterală sunt minimizate.
NAVHELP_STATUS_MENU_T	Meniu de context
NAVHELP_STATUS_MENU_H	Meniul de context (click dreapta mouse pe icon) include funcţiile generale ale @{NAVIGATOR}.
NAVHELP_VERSION_T	Afişare versiune
NAVHELP_VERSION_H	Afişează numărul de versiune pentru @{NAVIGATOR} instalat. Aceasta este necesară pt. orice contact cu suportul în caz de probleme.
NAVHELP_JSCONSOLE_T	Consolă JavaScript
NAVHELP_JSCONSOLE_H	Afişează Consola JavaScript pt. a furniza mesaje de eroare detaliate. Aceasta este necesară pt. orice contact cu suportul în caz de probleme.
NAVHELP_NAV_CACHE_T	Ştergere cache local
NAVHELP_NAV_CACHE_H	Şterge cache-ul local pt. conţinut @{NAVIGATOR}.
NAVHELP_RESET_HIDDEN_T	Afişați din nou toate ajutoarele suprimate
NAVHELP_RESET_HIDDEN_H	Resetează elementele de ajutor care au fost setate la 'Mascat' la reproducere.
NAVHELP_EXIT_T	Terminare
NAVHELP_EXIT_H	Opreşte redarea şi închide @{NAVIGATOR}.
IDS_NAVP_ABOUT	Afişare versiune...
IDS_NAVP_CONSOLE	Consolă JavaScript...
IDS_NAVP_DELETE_CACHE	Ştergere cache local
IDS_NAVP_HOOKER	Hooker
IDS_SEARCH_INPUT	Conţinut ajutor de căutare
IDS_CLEAR_SEARCH	Resetare căutare
IDS_NAVP_CLOSE	Terminare
IDS_RESET_CURRENT	Reafişare element de ajutor mascat
IDS_RESET_ALL	Afişați din nou toate ajutoarele suprimate
IDS_RESET_ALL_TIP	Afișați din nou toate sugestiile dezactivate la prima intrare într-un ecran.
IDS_OPEN_RECORD_LBL	Deschidere
IDS_EDIT_RECORD_LBL	Redenumire
IDS_DELETE_RECORD_LBL	Ştergere
IDS_SHARE_RECORD_LBL	Partajare
IDS_EXTERNAL_SEARCH_BTN	Căutare externă
IDS_EXTERNAL_SEARCH_SUB_MENU	Căutare externă
IDS_SHOW_SCREEN_ICON	Afişare asistent desktop
IDS_SHOW_DA	Afişare fereastră principală
IDS_SHOW_CONTENT	Afişare conţinut
IDS_HIDE_CONTENT	Mascare conţinut
IDS_SEARCH_BTN	Căutare
IDS_REQUEST_CONTENT_BTN	Solicitare conţinut
IDS_RECORDING_BTN	Lansare înregistrare
IDS_SHOW_CA_SWITCH	Afişare ajutor de context
