#	Atomi angleškega teksta
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	Tečaj
TOK_TOUR	Učna enota
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	Knjižnica
BTN_ABORT	Izhod
BTN_CLOSE	Izhod
BTN_OK	OK
BTN_CLOSE_DLG	Zapri
BTN_CONTINUE	Naprej
BTN_PREVIEW	Predogled
BTN_PROCEED	Naprej
BTN_RESTART	Vnovični zagon
BTN_SKIP	Preskok koraka
BTN_START	Zagon
BTN_STOP	Zaustavitev
BTN_EXECUTE	Izvedba
CA_SWITCH	Pomoč konteksta
CONTENT_CAP	Vsebina
MAIL_SUBJECT	Zahteva za vsebino za pomočnika za namizje
MAIL_HEADER	Spoštovani avtor,\n\nProsim za vsebino za:
MAIL_FOOTER	- Proces/transakcija: Prosim, opišite aplikacijski proces, ki je trenutno v uporabi. \n\n- Opis: Prosim, opišite informacije, ki jih potrebujete. \n\nLep pozdrav,
MAIL_DATA	- Naziv aplikacije:
MAIL_TOOLTIP	Zahtevanje vsebine
SHARE_TOOLTIP	Skupna raba vsebine
REQUEST_TEXT	Kliknite %s za zahtevanje vsebine
REQUEST_LINK	Tukaj
SEARCH_CAP	Iskanje
INFO_CAP	Informacije
SETTINGS_CAP	Nastavitve
BACK_TOOLTIP	Nazaj
SHARE_CONTENT_TOOLTIP	Skupna raba vsebine
CB_HIDE_OPTION	Ne prikaži več.
MY_ROLES	Moje vloge
EDIT_ROLES	Sprememba vlog
NO_ROLES	Prikaži vsebino brez vlog
SELECT_ALL_CAPTION	Izbira vseh
USER_CAPTION	Uporabniško območje
READ_MORE	Dodatno branje ...
NO_CATEGORY_CAPTION	Druga vsebina
DELETE_FAILED	Postopek brisanja ni uspel.
RENAME_FAILED	Postopek preimenovanja ni uspel.
FILE_EXISTS	Datoteka z enakim imenom že obstaja. Vnesite drugo ime.
LBL_YES	Da
LBL_DELETE	Izbriši
LBL_NO	Ne
LBL_OK	OK
DELETE_DLG_TEXT	Res želite izbrisati izbrane dokumente (%N)?
LBL_CONCURRENT	Zagon sočasnega modusa
LBL_DA	Namizni pomočnik
LBL_SIM	Začetek simulacije
LBL_CDOC	Odpri
LBL_DEMO	Zagon modusa demonstracije
LBL_NAVI	Zagon vodenega ogleda
LBL_BOOK	Predvajaj knjigo
LBL_GROUP	Odpiranje v knjižnici
LBL_NAVIGATION	Namizni pomočnik
LBL_PA	Vodeni ogled
LBL_PRACTICE	Zagon vadbenega modusa
LBL_SIMULATION	Simulacija
LBL_BOOKPAGE	Prikaži stran knjige
LBL_TEST	Zagon testnega modusa
LBL_RECORD_DOCUMENT	Dokument mape
MSG_AUTOMATION_FINISHED	Avtomatizacija je zaključena
MSG_AUTOMATION_FINISHED_2	Za ponovni zagon avtomatičnega procesa kliknite 'Ponovni zagon'.
MSG_AUTOMATION_START	Obdelava vrednosti vnosa
MSG_AUTOMATION_START_2	Preverite ali obdelajte naslednje vrednosti. Te vrednosti bodo med procesom avtomatično vnesene.
MSG_EPO_DIALOG	Elektronski optimizator procesa
MSG_NAVI_LIBRARY_NO_APP	Informacije niso na voljo.
LBL_NAVI_NO_MATCH	Ni rezultatov za vaše iskanje.
NO_RECORDS	Dokumenti niso na voljo.
MSG_NAVI_LIBRARY_SUBTITLE	Razpoložljive vsebine:
MSG_NAVI_LIBRARY_TITLE	Namizni pomočnik
MSG_NOT_APPLICABLE	Urejanje ni možno
MSG_PA_CONTROL_STEP	Potrebna akcija za korak:
MSG_PA_EXPLANATION_STEP	Navigacija na spodaj prikazani ekran.
MSG_PA_FORM_STEP	Obvezna polja za izpolnitev v obrazcu:
MSG_PA_DIALOG	Vodeni ogled
MSG_PA_START_SCREEN	Odpiranje začetnega ekrana.
MSG_PA_STEP_NOT_FOUND	Pojdite na zahtevani ekran
MSG_PA_STEP_NOT_FOUND1	Prepričajte se, da je ciljna aplikacija (@{TARGETAPPNAME}) odprta.
MSG_PA_STEP_NOT_FOUND2	Navigacija na spodaj prikazani ekran s poudarjenim kontrolnikom.
MSG_STEP_LIGHT	Predogled koraka
MSG_STEP_NOT_FOUND	Korak vodene predstavitve ni najden.
MSG_STEP_NOT_FOUND_2	Kliknite naslovno vrstico ciljne aplikacije ali navigirajte na pravilni ekran.<br><br>Za prikaz ustreznega ekrana kliknite 'Predogled'.
PA_FINISHED	Vodeni ogled je končan.
PROJECT_TITLE	Naslov projekta
TRAY_INFO_BUBBLE_HEADING	Vodeni ogled
TRAY_INFO_BUBBLE_TEXT	Trenutnega koraka ni mogoče prikazati. Kliknite tukaj za dodatne informacije.
RESTRICTED_BUBBLE_HEADING	Akcija blokirana
RESTRICTED_BUBBLE_TEXT	Dokler trenutni korak ni potrjen, ne morete izvesti nobenih akcij.
HELP_TITLE	Pomoč
HELP_INTRO	Pomoč vam nudi pregled glavnih delov in funkcij @{NAVIGATOR}.</br></br><b>Upoštevajte: </b> razpoložljive funkcije odvisne od konfiguracije @{NAVIGATOR}.</br>
HELP_TITLE_DA	Stranska vrstica in okna
HELP_SIDEBAR_T	Stranska vrstica
HELP_SIDEBAR_H	Stranska vrstica vam omogoča zagon glavnih funkcij za @{NAVIGATOR}. Za vsako funkcijo je prikazan gumb. Stransko vrstico lahko premaknete s funkcijo povleci in spusti, s klikom na rob stranske vrstice pa lahko stransko vrstico pomanjšate ali povečate.
HELP_CONTENT_CONTROL_T	Vsebina
HELP_CONTENT_CONTROL_H	Označuje, ali je vsebina na voljo. Odpre glavno okno z vsebino.
HELP_SEARCH_CONTROL_T	Iskanje
HELP_SEARCH_CONTROL_H	Odpre iskanje za vsebino iskanja.
HELP_EXTSEARCH_CONTROL_T	Zunanje iskanje
HELP_EXTSEARCH_CONTROL_H	Odpre zunanje iskanje za iskanje vsebine.
HELP_STICKY_CONTROL_T	Dodajanje samolepljivega listka
HELP_STICKY_CONTROL_H	Vstavi samolepljivi listek za trenutno okno aplikacije. Lahko vnesete tekst za svoj samolepljivi listek.
HELP_RECORDING_CONTROL_T	Začni snemanje
HELP_RECORDING_CONTROL_H	Zažene snemanje postopka. Posneti postopek bo shranjen kot dokument v uporabniškem območju.
HELP_MAIN_WINDOW_T	Glavno okno
HELP_MAIN_WINDOW_H	Glavno okno prikazuje razpoložljivo vsebino za določen kontekst strani.</br>Med predvajanjem vodenega ogleda prikazuje okno seznam korakov.
HELP_HEADER_T	Glava
HELP_HEADER_H	Ikona status v glavi prikazuje, ali je vsebina na voljo za trenutni kontekst.
HELP_CONTENT_TAB_T	Jeziček vsebine
HELP_CONTENT_TAB_H	Jeziček prikazuje razpoložljivo vsebino za trenutno aplikacijo.
HELP_CONTENT_VIEW_T	Pogled vsebine
HELP_CONTENT_VIEW_H	Pogled vsebine prikazuje razpoložljive informacije, moduse in dokumentacijo za izbrano vsebino.</br>Izberete lahko kontrolnik 'Nazaj', da se vrnete na seznam vsebine.
HELP_SEARCH_TAB_T	Jeziček iskanje
HELP_SEARCH_TAB_H	Na jezičku lahko iščete določeno vsebino za svoj trenutni kontekst.
HELP_INFO_TAB_T	Jeziček informacije
HELP_INFO_TAB_H	Jeziček prikazuje splošne informacije o @{NAVIGATOR}.
HELP_USERAREA_TAB_T	Jeziček Uporabniško območje
HELP_USERAREA_TAB_H	Jeziček vsebuje dokumente posnetih postopkov. Dokumente lahko odprete, date v skupno rabo ali jih izbrišete. Lahko posnamete dodatne postopke.
HELP_INSTANT_T	Takojšnja pomoč
HELP_INSTANT_H	Z aktivirano nastavitvijo so dodatne informacije konteksta prikazane desno na trenutnem ekranu aplikacije. Nastavitev je privzeto omogočena.
HELP_REQCONTENT_T	Zahtevanje vsebine
HELP_REQCONTENT_H	Odpre okno e-pošte za zahtevanje manjkajoče vsebine od avtorja.
HELP_SETTINGS_T	Nastavitve
HELP_SETTINGS_H	Pogled vsebuje nastavitve za prikaz vsebine za @{NAVIGATOR}.
HELP_MYROLES_T	Moje vloge
HELP_MYROLES_H	Ta nastavitev prikaže vsebino za dodeljeno vlogo.
HELP_WITHOUTROLES_T	Prikaži vsebino brez vlog
HELP_WITHOUTROLES_H	Ta nastavitev prikaže vsebino brez dodeljenih vlog.
HELP_EDITROLES_T	Vloge
HELP_EDITROLES_H	Vse za vsebino uporabljene vloge so navedene in jih je mogoče aktivirati ali deaktivirati za prikaz vsebine.
HELP_SHARECONTENT_T	Skupna raba vsebine
HELP_SHARECONTENT_H	Odpre pogovorno okno s povezavo do vsebine. Povezavo je mogoče dati v skupno rabo z drugimi uporabniki.
HELP_REQUESTCONTENT_T	Zahtevanje vsebine
HELP_REQUESTCONTENT_H	Odpre predhodno določeno e-pošto za pošiljanje zahteve za določeni primer.
HELP_PLAYBACK_CONTENT_T	Playback vsebina
HELP_PLAYBACK_CONTENT_H	Razpoložljivo vsebino je mogoče zagnati ali odpreti z gumbi v oknu vsebine.
HELP_MINIMIZED_STATUS_T	Minimirani status
HELP_MINIMIZED_STATUS_H	Če zaprete glavno okno, bo plavajoča ikona statusa še vedno prikazovala, ali je  vsebina razpoložljiva za trenutni kontekst. Kliknite na ikono za obnovitev glavnega okna.
HELP_MINIMIZED_MENU_T	Priročni meni
HELP_MINIMIZED_MENU_H	Priročni meni (klik z desno tipko miške na ikono) vključuje funkcije za prikaz glavnega okna in pomoči konteksta.
HELP_BOOK_WINDOW_T	Okno knjige
HELP_BOOK_WINDOW_H	Okno knjige se odpre ob predvajanju knjige. Glavno okno in okno vsebine sta skrita.
HELP_GOTOTOP	Pojdi na vrh
HELP_CAPTION	@{NAVIGATOR} Pomoč
NAVHELP_TITLE	Ikona statusa in priročni meni
NAVHELP_INTRO	</br>Pomoč vam nudi pregled ikone statusa in vnosov v priročnem meniju.
NAVHELP_STATUS_ICON_T	Ikona statusa (trak naloge)
NAVHELP_STATUS_ICON_H	Ikona status je na traku naloge in prikazuje trenutne aktivnosti @{NAVIGATOR}. Obstajajo naslednji statusi:
NAVHELP_STATUS_FOUND_T	Vsebina na voljo (zelena ikona)
NAVHELP_STATUS_FOUND_H	Vsebina je na voljo za trenutni kontekst in je prikazana.
NAVHELP_STATUS_CHECK_T	Nalaganje vsebine (rumena ikona)
NAVHELP_STATUS_CHECK_H	@{NAVIGATOR} preveri razpoložljivo vsebino v trenutnem kontekstu in vsebino naloži.
NAVHELP_STATUS_NOFOUND_T	Vsebina ni na voljo (rdeča ikona)
NAVHELP_STATUS_NOFOUND_H	Vsebina ni na voljo za trenutni kontekst.
NAVHELP_STANDBY_T	Onemogočeno
NAVHELP_STANDBY_H	@{NAVIGATOR} je onemogočen. Klik na ikono status (<i>CTRL + F11</i>) onemogoči ali omogoči @{NAVIGATOR}.
NAVHELP_STATUS_MIN_T	Pomanjšano
NAVHELP_STATUS_MIN_H	Okna in stranska vrstica so pomanjšani.
NAVHELP_STATUS_MENU_T	Priročni meni
NAVHELP_STATUS_MENU_H	Priročni medni (klik z desnim miškinim gumbom na ikono) vključuje splošne funkcije za @{NAVIGATOR}.
NAVHELP_VERSION_T	Prikaz verzije
NAVHELP_VERSION_H	Prikazuje številko verzije nameščenega @{NAVIGATOR}. To je potrebno za kakršenkoli kontakt s pomočjo, če pride do težav.
NAVHELP_JSCONSOLE_T	Konzola JavaScript
NAVHELP_JSCONSOLE_H	Prikaže konzolo JavaScript za nudenje detajlnih sporočil o napaki. To je potrebno za kakršenkoli kontakt s pomočjo, če pride do težav.
NAVHELP_NAV_CACHE_T	Brisanje lokalnega predpomnilnika
NAVHELP_NAV_CACHE_H	Izbriše lokalni predpomnilnik vsebine za @{NAVIGATOR}.
NAVHELP_RESET_HIDDEN_T	Znova prikaži vso skrito pomoč
NAVHELP_RESET_HIDDEN_H	Ponastavi elemente pomoči, nastavljene na 'Skrito' med predvajanjem.
NAVHELP_EXIT_T	Izhod
NAVHELP_EXIT_H	Ustavi predvajanje in zapre @{NAVIGATOR}.
IDS_NAVP_ABOUT	Prikaz verzije ...
IDS_NAVP_CONSOLE	Konzola JavaScript ...
IDS_NAVP_DELETE_CACHE	Brisanje lokalnega predpomnilnika
IDS_NAVP_HOOKER	Hooker
IDS_SEARCH_INPUT	Iskanje po vsebini pomoči
IDS_CLEAR_SEARCH	Počisti iskanje
IDS_NAVP_CLOSE	Izhod
IDS_RESET_CURRENT	Znova prikaži skriti element pomoči
IDS_RESET_ALL	Znova prikaži vso skrito pomoč
IDS_RESET_ALL_TIP	Znova prikaži onemogočene nasvete pri prvem prihodu na ekran.
IDS_OPEN_RECORD_LBL	Odpiranje
IDS_EDIT_RECORD_LBL	Preimenovanje
IDS_DELETE_RECORD_LBL	Izbris
IDS_SHARE_RECORD_LBL	Deljenje
IDS_EXTERNAL_SEARCH_BTN	Zunanje iskanje
