#	อะตอมข้อความภาษาอังกฤษ
BULLET	&#149;
NEWLINE	\r\n
TOK_COMPANY	SAP
TOK_LIB	หลักสูตร
TOK_TOUR	บทเรียน
TOK_TRAINER	Desktop Assistant
TOK_AUTOMATION	epo
NAVIGATOR	Desktop Assistant
NAV_LIBRARY	library
BTN_ABORT	ออก
BTN_CLOSE	ออก
BTN_OK	ตกลง
BTN_CLOSE_DLG	ปิด
BTN_CONTINUE	ดำเนินการต่อ
BTN_PREVIEW	แสดงตัวอย่าง
BTN_PROCEED	ดำเนินการต่อ
BTN_RESTART	เริ่มต้นใหม่
BTN_SKIP	ข้ามขั้นตอน
BTN_START	เริ่มต้น
BTN_STOP	หยุด
BTN_EXECUTE	ดำเนินการ
CA_SWITCH	วิธีใช้เนื้อหา
CONTENT_CAP	เนื้อหา
MAIL_SUBJECT	คำขอเนื้อหาสำหรับตัวช่วยเดสก์ทอป
MAIL_HEADER	เรียนผู้เขียน\n\nฉันต้องการขอเนื้อหาสำหรับ:
MAIL_FOOTER	- กระบวนการ/รายการ: กรุณาอธิบายกระบวนการของแอพพลิเคชันที่ใช้งานในขณะนี้ \n\n- คำอธิบาย: กรุณาอธิบายข้อมูลที่คุณต้องการ \n\nขอแสดงความนับถือ
MAIL_DATA	- ชื่อแอพพลิเคชัน:
MAIL_TOOLTIP	ขอเนื้อหา
SHARE_TOOLTIP	แชร์เนื้อหา
REQUEST_TEXT	คลิก %s เพื่อขอเนื้อหา
REQUEST_LINK	ที่นี่
SEARCH_CAP	การค้นหา
INFO_CAP	ข้อมูล
SETTINGS_CAP	การกำหนดค่า
BACK_TOOLTIP	ย้อนกลับ
SHARE_CONTENT_TOOLTIP	แชร์เนื้อหา
CB_HIDE_OPTION	ไม่ต้องแสดงอีก
MY_ROLES	บทบาทของผู้ใช้
EDIT_ROLES	เปลี่ยนแปลงบทบาท
NO_ROLES	แสดงเนื้อหาโดยไม่มีบทบาท
SELECT_ALL_CAPTION	เลือกทั้งหมด
USER_CAPTION	พื้นที่ของผู้ใช้
READ_MORE	อ่านเพิ่มเติม...
NO_CATEGORY_CAPTION	เนื้อหาอื่นๆ
DELETE_FAILED	การดำเนินการลบล้มเหลว
RENAME_FAILED	การดำเนินการเปลี่ยนชื่อล้มเหลว
FILE_EXISTS	มีไฟล์ที่มีชื่อเหมือนกันอยู่แล้ว กรุณาป้อนชื่ออื่น
LBL_YES	ใช่
LBL_DELETE	ลบ
LBL_NO	ไม่ใช่
LBL_OK	ตกลง
DELETE_DLG_TEXT	คุณแน่ใจหรือไม่ว่าต้องการลบเอกสารที่เลือก (%N)?
LBL_CONCURRENT	เริ่มต้นโหมดทำงานเวลาเดียวกัน
LBL_DA	ตัวช่วยเดสก์ทอป
LBL_SIM	เริ่มต้นการจำลอง
LBL_CDOC	เปิด
LBL_DEMO	เริ่มต้นโหมดสาธิต
LBL_NAVI	เริ่มต้นแนะนำการใช้งาน
LBL_BOOK	เล่นหนังสือ
LBL_GROUP	เปิดใน library
LBL_NAVIGATION	ตัวช่วยเดสก์ทอป
LBL_PA	แนะนำการใช้งาน
LBL_PRACTICE	เริ่มต้นโหมดฝึกปฏิบัติ
LBL_SIMULATION	การจำลอง
LBL_BOOKPAGE	แสดงหน้าหนังสือ
LBL_TEST	เริ่มต้นโหมดทดสอบ
LBL_RECORD_DOCUMENT	เอกสารเรคคอร์ด
MSG_AUTOMATION_FINISHED	ระบบปฏิบัติงานอัตโนมัติเสร็จสิ้นแล้ว
MSG_AUTOMATION_FINISHED_2	คลิก 'เริ่มอีกครั้ง' เพื่อเริ่มต้นกระบวนการอัตโนมัติใหม่
MSG_AUTOMATION_START	แก้ไขค่าอินพุท
MSG_AUTOMATION_START_2	ตรวจสอบหรือแก้ไขค่าต่อไปนี้ ค่าเหล่านี้จะถูกป้อนโดยอัตโนมัติในระหว่างกระบวนการ
MSG_EPO_DIALOG	Optimizer กระบวนการทางอิเล็กทรอนิกส์
MSG_NAVI_LIBRARY_NO_APP	ไม่มีข้อมูล
LBL_NAVI_NO_MATCH	ไม่มีผลลัพธ์สำหรับการค้นหาของคุณ
NO_RECORDS	ไม่มีเอกสารที่พร้อมใช้งาน
MSG_NAVI_LIBRARY_SUBTITLE	เนื้อหาที่มีอยู่:
MSG_NAVI_LIBRARY_TITLE	ตัวช่วยเดสก์ทอป
MSG_NOT_APPLICABLE	ไม่สามารถแก้ไขได้
MSG_PA_CONTROL_STEP	การดำเนินการที่จำเป็นสำหรับขั้นตอนนี้:
MSG_PA_EXPLANATION_STEP	เนวิเกตไปยังจอภาพที่แสดงด้านล่าง
MSG_PA_FORM_STEP	ฟิลด์ที่ป้อนข้อมูลในฟอร์ม:
MSG_PA_DIALOG	แนะนำการใช้งาน
MSG_PA_START_SCREEN	เปิดจอภาพเริ่มต้น
MSG_PA_STEP_NOT_FOUND	สลับไปยังจอภาพที่ต้องการ
MSG_PA_STEP_NOT_FOUND1	ตรวจสอบให้แน่ใจว่าแอพพลิเคชันเป้าหมาย (@{TARGETAPPNAME}) เปิดอยู่
MSG_PA_STEP_NOT_FOUND2	เนวิเกตไปยังจอภาพซึ่งมีตัวควบคุมที่เน้นอยู่ที่แสดงด้านล่าง
MSG_STEP_LIGHT	การแสดงตัวอย่างขั้นตอน
MSG_STEP_NOT_FOUND	ไม่พบขั้นตอนการแนะนำการใช้งาน
MSG_STEP_NOT_FOUND_2	คลิกที่แถบชื่อของแอพพลิเคชันเป้าหมาย หรือเนวิเกตไปยังจอภาพด้านขวา<br><br>คลิก 'แสดงตัวอย่าง' เพื่อดูจอภาพที่ต้องการ
PA_FINISHED	เสร็จสิ้นแนะนำการใช้งานแล้ว
PROJECT_TITLE	ชื่อโครงการ
TRAY_INFO_BUBBLE_HEADING	แนะนำการใช้งาน
TRAY_INFO_BUBBLE_TEXT	ไม่สามารถแสดงขั้นตอนปัจจุบัน คลิกที่นี่สำหรับข้อมูลเพิ่มเติม
RESTRICTED_BUBBLE_HEADING	การดำเนินการถูกบล็อค
RESTRICTED_BUBBLE_TEXT	คุณไม่สามารถดำเนินการใดๆ จนกว่าขั้นตอนปัจจุบันจะได้รับการยืนยัน
HELP_TITLE	วิธีใช้
HELP_INTRO	วิธีใช้จะให้ภาพรวมเกี่ยวกับส่วนหลักและฟังก์ชันของ@{NAVIGATOR} </br></br><b>หมายเหตุ:</b> ฟังก์ชันที่มีอยู่จะขึ้นกับการกำหนดรูปแบบของ @{NAVIGATOR} </br>
HELP_TITLE_DA	แถบด้านข้างและวินโดว์
HELP_SIDEBAR_T	แถบด้านข้าง
HELP_SIDEBAR_H	แถบด้านข้างช่วยให้คุณสามารถเริ่มฟังก์ชันหลักของ @{NAVIGATOR} ปุ่มจะแสดงขึ้นสำหรับแต่ละฟังก์ชัน คุณสามารถย้ายแถบด้านข้างได้โดยใช้วิธีลากแล้วปล่อย และสามารถย่อเล็กสุดและขยายใหญ่สุดได้โดยคลิกที่เส้นขอบของแถบด้านข้าง
HELP_CONTENT_CONTROL_T	เนื้อหา
HELP_CONTENT_CONTROL_H	ระบุว่ามีเนื้อหาหรือไม่ และเปิดวินโดว์หลักที่มีเนื้อหานั้น
HELP_SEARCH_CONTROL_T	ค้นหา
HELP_SEARCH_CONTROL_H	เปิดการค้นหาเพื่อค้นหาเนื้อหา
HELP_EXTSEARCH_CONTROL_T	การค้นหาภายนอก
HELP_EXTSEARCH_CONTROL_H	เปิดการค้นหาภายนอกเพื่อค้นหาเนื้อหา
HELP_STICKY_CONTROL_T	เพิ่มบันทึกย่อช่วยเตือน
HELP_STICKY_CONTROL_H	แทรกบันทึกย่อช่วยเตือนสำหรับวินโดว์แอพพลิเคชันปัจจุบัน คุณสามารถป้อนข้อความสำหรับบันทึกย่อช่วยเตือนของคุณได้
HELP_RECORDING_CONTROL_T	เริ่มต้นการบันทึก
HELP_RECORDING_CONTROL_H	เริ่มต้นการบันทึกกระบวนการ กระบวนการที่บันทึกจะถูกเก็บบันทึกไว้ในรูปเอกสารในพื้นที่ของผู้ใช้
HELP_MAIN_WINDOW_T	วินโดว์หลัก
HELP_MAIN_WINDOW_H	วินโดว์หลักจะแสดงเนื้อหาที่มีอยู่สำหรับบริบทของหน้าที่ระบุ</br>ในระหว่างการเล่นแนะนำการใช้งาน วินโดว์จะแสดงรายการขั้นตอน
HELP_HEADER_T	ส่วนหัว
HELP_HEADER_H	ไอคอนสถานะในส่วนหัวระบุว่ามีเนื้อหาสำหรับบริบทปัจจุบัน
HELP_CONTENT_TAB_T	แท็บเนื้อหา
HELP_CONTENT_TAB_H	แท็บจะแสดงเนื้อหาที่มีอยู่สำหรับแอพพลิเคชันปัจจุบัน
HELP_CONTENT_VIEW_T	มุมมองเนื้อหา
HELP_CONTENT_VIEW_H	มุมมองเนื้อหาจะแสดงข้อมูล โหมด และเอกสารอธิบายที่พร้อมใช้งานสำหรับเนื้อหาที่เลือก</br>คุณสามารถใช้ตัวควบคุม 'ย้อนกลับ' เพื่อกลับไปที่รายการเนื้อหาได้
HELP_SEARCH_TAB_T	แท็บการค้นหา
HELP_SEARCH_TAB_H	บนแท็บนี้ คุณสามารถค้นหาเนื้อหาเฉพาะสำหรับบริบทปัจจุบันของคุณ
HELP_INFO_TAB_T	แท็บข้อมูล
HELP_INFO_TAB_H	แท็บจะแสดงข้อมูลทั่วไปเกี่ยวกับ @{NAVIGATOR}
HELP_USERAREA_TAB_T	แท็บพื้นที่ของผู้ใช้
HELP_USERAREA_TAB_H	แท็บมีเอกสารของกระบวนการที่บันทึก คุณสามารถเปิด แชร์ หรือลบเอกสาร คุณสามารถบันทึกกระบวนการเพิ่มเติม
HELP_INSTANT_T	วิธีใช้แบบทันที
HELP_INSTANT_H	โดยใช้การกำหนดค่าที่เปิดใช้งาน ข้อมูลเนื้อหาเพิ่มเติมจะถูกแสดงที่ด้านขวาของจอภาพแอพพลิเคชันปัจจุบัน การกำหนดค่าเปิดใช้งานตามค่าตั้งต้น
HELP_REQCONTENT_T	ขอเนื้อหา
HELP_REQCONTENT_H	เปิดวินโดว์อีเมล์สำหรับการขอเนื้อหาที่ขาดหายไปจากผู้เขียน
HELP_SETTINGS_T	การกำหนดค่า
HELP_SETTINGS_H	มุมมองนี้ประกอบด้วยการกำหนดค่าสำหรับการแสดงผลเนื้อหาของ @{NAVIGATOR}
HELP_MYROLES_T	บทบาทของผู้ใช้
HELP_MYROLES_H	การกำหนดค่านี้จะแสดงเนื้อหาสำหรับบทบาทที่กำหนด
HELP_WITHOUTROLES_T	แสดงเนื้อหาโดยไม่มีบทบาท
HELP_WITHOUTROLES_H	การกำหนดค่านี้จะแสดงเนื้อหาโดยไม่มีบทบาทที่กำหนด
HELP_EDITROLES_T	บทบาท
HELP_EDITROLES_H	บทบาททั้งหมดที่ใช้สำหรับเนื้อหานี้จะถูกแสดงไว้และสามารถเปิดหรือปิดใช้งานในการแสดงเนื้อหาได้
HELP_SHARECONTENT_T	แชร์เนื้อหา
HELP_SHARECONTENT_H	เปิดไดอะลอกบ็อกซ์ที่มีลิงก์ไปยังเนื้อหา ลิงก์นี้สามารถแชร์กับผู้ใช้รายอื่นๆ ได้
HELP_REQUESTCONTENT_T	ขอเนื้อหา
HELP_REQUESTCONTENT_H	เปิดอีเมล์ที่กำหนดไว้ล่วงหน้าเพื่อขอเนื้อหาสำหรับกรณีที่เฉพาะเจาะจง
HELP_PLAYBACK_CONTENT_T	เล่นเนื้อหา
HELP_PLAYBACK_CONTENT_H	เนื้อหาที่มีอยู่สามารถเริ่มหรือเปิดได้โดยใช้ปุ่มในวินโดว์เนื้อหา
HELP_MINIMIZED_STATUS_T	สถานะย่อเล็กสุด
HELP_MINIMIZED_STATUS_H	ในกรณีที่คุณปิดวินโดว์หลัก ไอคอนสถานะแบบลอยตัวจะยังคงระบุว่ามีเนื้อหาสำหรับบริบทปัจจุบันอยู่หรือไม่ คลิกไอคอนเพื่อรีสโตร์วินโดว์หลัก
HELP_MINIMIZED_MENU_T	เมนูเนื้อหา
HELP_MINIMIZED_MENU_H	เมนูเนื้อหา (คลิกเมาส์ขวาบนไอคอน) มีฟังก์ชันสำหรับแสดงวินโดว์หลักและวิธีใช้เนื้อหา
HELP_BOOK_WINDOW_T	วินโดว์หนังสือ
HELP_BOOK_WINDOW_H	วินโดว์หนังสือจะเปิดขึ้นเมื่อเล่นเนื้อหาหนังสือ วินโดว์หลักและวินโดว์เนื้อหาจะถูกซ่อนไว้
HELP_GOTOTOP	ไปที่ด้านบนสุด
HELP_CAPTION	วิธีใช้@{NAVIGATOR}
NAVHELP_TITLE	ไอคอนสถานะและเมนูเนื้อหา
NAVHELP_INTRO	</br>วิธีใช้จะให้ภาพรวมเกี่ยวกับรายการไอคอนสถานะและเมนูเนื้อหา
NAVHELP_STATUS_ICON_T	ไอคอนสถานะ (แถบงาน)
