NAVIGATOR	Desktop Assistant
XRAY	Web Assistant
LIBRARY	library
MANAGER	Manager
form_bubble	Lomakekupla
bform_height	Korkeus
bform_height.h	Määrittää näytettävän lomakekuplan korkeuden pikseleinä.
bform_width	Leveys
bform_width.h	Määrittää näytettävän lomakekuplan leveyden pikseleinä.
bform_position	Sijainti
bform_position.h	Määrittää lomakekuplan sijainnin näytössä (vasen, yläreuna) tasausta 'Vapaa' varten. Arvot annetaan pikseleinä.
paramAutoMergeComplete	Näyttöjen yhdistäminen on päätetty.
form	Lomake
application_contexts	Sovellus
﻿Application	Sovellus
highlight_offset	Siirtymä
AutoBarChooseApp	Valitse sovellus
AutoBarReRecManual	Napsauta objektia.
BubbleOnActivate	Näytä kupla suoraan
ClickOnAAPosition	Voit määrittää suorakulmion napsauttamalla sovellusta.
ClickOnPosition	Napsauta sovelluksen kohtaa.
EnabledOnPgLoad	Aktivoi
HighlightOnActivate	Näytä korostus suoraan
start_from_arbitrary	Aloita omavalintaisesta askeleesta
focus_step	Kohdistuskerros
focus_step.h	Vain opastettu kierros\nNäyttää harmaan kerroksen nykyisessä askeleessa tarvittavan ohjauselementin korostamiseksi.
yes	Kyllä
no	Ei
light_mode	Vuorovaikutteinen tila
light_mode.h	Määrittää, että käyttäjän on navigoitava objektikuplassa seuraavaan askeleeseen. Sivun tunnistusta ei tehdä toiston aikana.
restricted_mode	Rajoitettu tila
restricted_mode.h	Määrittää, että vain nykyinen toimi voidaan suorittaa. Sovellussivun muut ohjauselementit lukitaan. \nAsetusta voidaan käyttää, jos 'Kohdistuskerros' on aktivoitu.
show_highlight	Korostukset
action	Toimi
active_area	Aktiivinen alue
add_application_expl	Lisää selitys
adv	Laajennettu
display_behavior	Näyttökäyttäytyminen
all_values	Kaikki arvot
anim_steps	Animaatioaskeleet
application_context	Sovellus
area	Alue
auto_merge	Yhdistä näyttömakrot
b_height	Korkeus
form_on	Lomaketila
b_percent	Näkyvä kupla (%)
b_hide_option	Piilotusvaihtoehto
b_minimizable	Pienennettävä
b_closable	Suljettava
b_minimized	Pienennetty
b_width	Leveys
b_width.h	Määrittää objektikuplan leveyden pikseleinä.
bmain_minimizable	Pienennettävä
bmain_position	Sijainti
bmain_win_style	Tyyli
bmain_size	Koko
bmain_alignment	Tasaus
bubble	Objektikupla
bubble_offset	Siirtymä
bubblestyle_d	Tyyli
bubblestyle_init	Kuplan tyyli
choose_appl_template	Valitse sovellusprofiili
choose_bool	Valittu arvo
choose_nr	Valittu indeksi
choose_text	Valittu arvo
target_static_text	tallennetaan 'Page Specifierina'.
target_spec_warning	Varoitus: Tätä ohjauselementtiä varten ei ole käytettävissä uudelleentallennustietoja.
prev_step	Edellinen askel
next_step	Seuraava askel
click	Hiiren toimi
click_pos	Napsautuskohta
click_pos_rel	Kuplan sijainti
config_file	Sovellusprofiili
define_target	Näyttö
display	Muokkaa pääkuplaa
display_name	Näytä nimi
drag	Vedä
drop	Pudota
dump_page	Näyttökuva
elem_bubble	Objektikupla
element_type	Objektityyppi
enabled	Aktivoitu
optional	Valinnainen
enter	Hiirisyöttö
executable	Sovellus
explanation_d	Teksti
explanation_d_modified	Käännä manuaalisesti
explanation_long	Selitys
fh_mouseover	Ohje siirrettäessä hiiri kohteen päälle
fh_onelem	Kuvake
fh_tooltip	Työkaluvihje
fh_bubble	Kupla
step_list	Askelluettelo
fieldicon	Objektin kuva
fieldname	Objektin nimi
find	Hae
AutoBarChooseScn	Napsauta vastaavaa näyttöä
frame	Kehys
g_highlight_bgr	Väri
g_highlight_border	Reuna
g_highlight_effect	Tehoste
global	Globaali
hide_on_focuslost	Piilota kohdistuksen hävitessä
hilight	Korostus
input_radio	Valintanappi/valintaruutu
input_text	Syöttöteksti
init	Alusta
key	Avain
key_desc	Pikavalintanäppäin
key_name	Pikanäppäin
key_press	Näppäimen painallus
lclick	Napsautus hiiren ykköspainikkeella
ldblclick	Kaksoisnapsautus hiiren ykköspainikkeella
force_display	Pakota näyttö
auto_execute	Suorita automaattisesti
show_confirmation	Näytä vahvistuspainike
show_confirmation.h	Määrittää, näytetäänkö objektikuplassa toiston aikana vahvistuspainike. Painikkeen avulla käyttäjä voi vahvistaa suoritetun toimen, minkä jälkeen näytetään seuraava vaihe.
link_to_sim	Lisää simulointilinkki
macro_comment	Kommentti
main_bubble	Ikkuna
match_value	Täsmäytä arvo
mini_on_focuslost	Pienennä kohdistuksen hävitessä
enable_tincan	@{NAVIGATOR} - seuranta
nav_check_freq	Päivitystiheys (min)
navigation	Työpöytäavustaja
new_screen_context	Uusi näyttö
no_spike	Ei kärkeä
pa_caption	Opastettu kierros
none	Ei mitään
objname	Objektin nimi
orientation	Suunta
path	Objektipolku
position	Sijainti
rclick	Napsautus hiiren kakkospainikkeella
rdblclick	Kaksoisnapsautus hiiren kakkospainikkeella
record_activearea	Tallenna aktiivinen alue
record_application_context	Tallenna sovellus
no_control	Objektia ei ole käytettävissä napsautetussa sijainnissa.
record_control	Tallenna objekti
record_control_pa	Tallenna opastetun kierroksen vaihe
record_define_target	Tallenna näyttö
record_display	Muokkaa pääkuplaa
record_end_display	Muokkaa kuplaa
record_explanation	Lisää selitys
record_object_context	Tallenna objekti
record_screen_context	Tallenna näyttö
record_target_specializer	Tallenna Page Specifier
record_compatible_application	Tallenna yhteensopiva sovellus
reference	Lähde
regexp	Säännöllinen lauseke
replace	Korvaa
replace_continue	Korvaa ja jatka...
replace_pgkey_attr	Korvaa sivun avainmääritteet
error_regexp	Virheellinen säännöllinen lauseke. Korjaa syöttö.
resize	Muuta ikkunan kokoa
revision	Revisio
sc_config_header	Profiilitiedot
screen	Näyttö
screenhelp	Näytön ohje
screenshot_rect	Näyttökuvan sijainti
select_single	Valitse yksittäinen
selected_merge	Yhdistä valitut näyttömakrot
show_bubble	Näytä suoraan
show_hilight	Näytä korostus
show_on_focus	Näytä kohdistettaessa
source	Lähde
start_unit	Kontekstiohjeen tyyli
subkey	Sallittu alinäppäimenä
script	Skripti
target_name	Otsikko
target_specializer	Page Specifier
text_d	Syöttöteksti
text_d_specializer	Syöttöteksti
tolerance	Näyttömakrojen yhdistämisen toleranssi
translate	Automaattinen käännös
autoTranslate	Käännä projekti
paramReRecordLanguage	Kieli
merge_critical_macros	Yhdistä makrot automaattisesti
merge_critical_macros.h	Jos muunnat simulointeja navigoinneiksi, voit automaattisesti yhdistää tällä tavalla luodut näytöt. Nämä yhdistetään käyttämällä Näyttömakrojen yhdistämisen toleranssi -parametrissa määritettyä toleranssiarvoa.
uid	UID
underline	Alleviivaus
update_control	Päivitä objekti
update_target	Päivitä näyttö
variant	Variantti
win_rect	Ikkunan koko
wizCancel	Peruuta
wizFinish	Päätä
wizNext	Seuraava
wizOk	OK
wizExplanation	Selitys
wizContinue	Jatka
app_info	Näytä sovellus
app_link_to_sim	Lisää simulointilinkki sovellusta varten
screen_info	Näytä näyttö
screen_link_to_sim	Lisää simulointilinkki näyttöä varten
object_info	Näyttövariantti
object_link_to_sim	Lisää simulointilinkki
disabled	Aktivointi poistettu
record_context_assistant_include	Sisällytä @{NAVIGATOR}-projekti
project_id	Projektin otsikko
project_id.h	Parametri sisältää lisätyn projektin. Painikkeen 'Muokkaa linkkiä' avulla voit valita projektin työalueella.
project	Projekti
context_assistant_include	Työpöytäavustajaprojekti
open_expanded	Näytä laajennettu pääkupla
restart_option	Uudelleenkäynnistyspainike
next_project_id	Seuraava projekti
next_project_id.h	Tämän vaihtoehdon avulla määritetään projekti, joka aloitetaan nykyisen projektin päätöksen jälkeen. Uusi prosessi käynnistyy suoraan, eikä loppukuplaa näytetä.
end_unit	Kierroksen loppu
add_end_unit	Lisää prosessin loppu
demo	Demotila
uebung	Harjoitustila
praxis	Rinnakkaistila
test	Testitila
doc	Word-asiakirja
pdf	PDF-asiakirja
html	HTML-asiakirja
ppt	PowerPoint-asiakirja
explanation_type	Kuvake
note	Huomautus
info	Info
tipp	Vihje
warnung	Varoitus
no_image	Ei kuvaketta
display_on	Pääkuplan näyttöpaikka
nav_start	Navigoinnin aloitus
app_focus	Sovelluksen kohdistus
screen_focus	Näytön kohdistus
never	Älä näytä
list_type	Näytön luettelotyyppi
list_type.h	Tämä parametri määrittää tyypin objektien luettelointia varten näyttökontekstissa, jos Näytä kaikki objektitiedot -vaihtoehto on aktivoitu tätä varten.
unordered_list	Luettelomerkit
ordered_list	Numerointi
convert_sn	Generoi työpöytäavustaja
Application	Sovellus
obj_context	Objekti
expl_context	Selitys
record_cntrl_type	Tyyppi
disable_standby	Poista valmiustilan aktivointi (@{NAVIGATOR}) 
disable_standby.h	Määrittää, että @{NAVIGATOR} valmiustilaa ei voi asettaa. Kun vaihtoehdon aktivointi on poistettu, valmiustila voidaan asettaa pikavalinnalla 'Ctrl + F11' tai napsauttamalla tilakuvaketta.
disable_exit	Piilota lopetusmerkintä (@{NAVIGATOR})
disable_exit.h	Määrittää, että 'Lopeta'-merkintä @{NAVIGATOR}n tilakuvakkeen kontekstivalikossa on piilotettu.
bcontent_style	Kuplan tyyli
bcontent_style.h	Tämä asetus määrittää, mitä kuplan tyyliä on käytettävä kuplan näyttöä varten.
cache_properties	Välimuisti
cache_folder	Kansion sijainti
cache_folder.h	Määrittää välimuistikansion 'NavigatorCache' sijainnin. Oletussijainti on '%localappdata%'. Voit syöttää käyttäjän määrittämän sijainnin. \nHuomautus: Välimuistikansion nimeä ei voi muuttaa.
use_caching	Käytä välimuistia
use_caching.h	Aktivoi välimuistin @{NAVIGATOR} käytön.
function_keys	Toimintonäppäimet
minimize_da	Pienennä
minimize_da.h	Määrittää toimintonäppäimen pääikkunan pienentämistä varten.
next_tab	Valitse seuraava välilehti
next_tab.h	Määrittää toimintonäppäimen seuraavan välilehden valitsemista varten pääikkunassa.
next_screen	Siirry seuraavaan näyttöön
next_screen.h	Määrittää toimintonäppäimen valitun projektin seuraavaan näyttöön navigoimiseksi.
back	Palaa
back.h	Määrittää toimintonäppäimen edelliseen näyttöön siirtymiseksi.
toggle_standby	Vaihda valmiustilaa
toggle_standby.h	Määrittää toimintonäppäimen valmiustilan vaihtoa varten.
abort	Keskeytä
abort.h	Määrittää toimintonäppäimen työpöytäavustajan keskeyttämistä varten.
restart	Aloita uudelleen
restart.h	Määrittää toimintonäppäimen työpöytäavustajan uudelleenkäynnistystä varten.
start_pa	Käynnistä työpöytäavustajaprojekti
start_pa.h	Määrittää toimintonäppäimen valitun projektin käynnistystä varten.
start_demo	Käynnistä demotila
start_demo.h	Määrittää toimintonäppäimen valitun demotilan käynnistystä varten.
start_prac	Käynnistä harjoitustila
start_prac.h	Määrittää toimintonäppäimen valitun harjoitustilan käynnistystä varten.
start_test	Käynnistä testitila
start_test.h	Määrittää toimintonäppäimen valitun testitilan käynnistystä varten.
start_concur	Käynnistä rinnakkaistila
start_concur.h	Määrittää toimintonäppäimen valitun rinnakkaistilan käynnistystä varten.
start_book	Käynnistä kirja
start_book.h	Määrittää toimintonäppäimen valitun kirjan käynnistystä varten.
start_group	Avaa libraryssä
start_group.h	Määrittää toimintonäppäimen ryhmän avaamiseksi libraryssä.
toggle_ctx_rec	Vaihda kontekstin tunnistusta
toggle_ctx_rec.h	Määrittää toimintonäppäimen työpöytäavustajan kontekstin tunnistuksen vaihtoa varten.
select_next	Valitse seuraava merkintä
select_next.h	Määrittää toimintonäppäimen seuraavan merkinnän valintaa varten nykyisessä ikkunassa.
select_prev	Valitse edellinen merkintä
select_prev.h	Määrittää toimintonäppäimen edellisen merkinnän valintaa varten nykyisessä ikkunassa.
toggle_warning	Näytä varoitussuorakäyttö
toggle_warning.h	Määrittää toimintonäppäimen työpöytäavustajan varoitussuorakäytön näyttöä varten.
execute_step	Suorita askel
execute_step.h	Määrittää toimintonäppäimen vaiheen suoritusta varten opastetun kierroksen toiston aikana.
copy_link	Kopioi linkki
copy_link.h	Määrittää toimintonäppäimen, jota käytetään valitun kohteen linkin kopioinnissa.
maximize_trainer	Suurenna sisältöikkuna
maximize_trainer.h	Määrittää toimintonäppäimen sisältöikkunan suurentamista varten.
share_email	Jaa sähköpostitse
share_email.h	Määrittää toimintonäppäimen valitun kohteen sisällön jakamista varten sähköpostitse.
start_default	Käynnistä oletussisältö
start_default.h	Määrittää toimintonäppäimen oletustilan tai valitun asiakirjan käynnistystä varten.
show_da_help	Näytä työpöytäavustajan ohje
show_da_help.h	Määrittää toimintonäppäimen työpöytäavustajan ohjeen avaamista varten.
request_content	Pyydä sisältöä
request_content.h	Määrittää toimintonäppäimen sisällön pyyntöä varten sovellussivulle.
search_content	Hae sisältö
search_content.h	Määrittää toimintonäppäimen sisällön hakemiseksi valitun hakutyypin mukaisesti.
show_hidden_elems	Näytä piilotetut apuelementit
show_hidden_elems.h	Määrittää toimintonäppäimen piilotettujen apuelementtien näyttämiseksi.
toggle_side_bar	Näytä/piilota sivupalkki
toggle_side_bar.h	Määrittää toimintonäppäimen sivupalkin näyttämistä ja piilottamista varten.
content_library	Työpöytäavustaja - sisältö ja käyttäytyminen
content_library_window	Työpöytäavustaja - tyyli ja ikkunat
content_library_sidebar	Työpöytäavustaja - sivupalkki
style	Tyyli
style.h	Määrittää työpöytäavustajan komponenttien (pääikkunan, sisältöikkunan, tilakuvakkeen) ulkoasun. Valitse tyyliresurssi luettelosta.
show_only_bar	Näytä vain sivupalkki aloituksen yhteydessä
show_only_bar.h	Määrittää, näytetäänkö työpöytäavustajan aloituksen yhteydessä vain sivupalkki vai myös pääikkuna.
clear_on_mismatch	Poista sisältöluettelo, kun sisällöt ovat epäyhtenäisiä
clear_on_mismatch.h	Määrittää, että sisältöluettelo tyhjennetään, jos kontekstia ei löytynyt. Kun asetuksen aktivointi on poistettu, viimeisen tunnistetun objektin sisältö näytetään.
da_positioning	Pääikkunan tasaus
da_positioning.h	Määrittää pääikkunan tasauksen näytössä. Vaihtoehdon 'Vapaa' avulla sijainti voidaan määrittää parametrissa 'Pääikkunan sijainti'.
bar_positioning	Sivupalkin tasaus
bar_positioning.h	Määrittää sivupalkin tasauksen näytössä.
left_top	Vasen yläreuna
left_center	Keskitys vasemmalle
left_bottom	Vasen alareuna
right_top	Oikea yläreuna
right_center	Keskitys oikealle
top_center	Ylhäällä keskellä
right_bottom	Oikea alareuna
center	Keskikohta
free	Vapaa
list_order	Sisältölajittelu
list_order.h	Määrittää käytettävissä olevan sisällön lajittelun luettelossa.
by_default	Explorer-rakenne
by_name	Aakkosellinen
by_type	Aakkosellinen tyypeittäin
library_position	Pääikkunan sijainti (vapaa)
library_position.h	Määrittää pääikkunan sijainnin näytössä (vasen, yläreuna) tasausta 'Vapaa' varten. Arvot annetaan pikseleinä.
search_url	Hakuryhmä
